team,points,date
Barnsley,0,1997-08-09
West Ham,3,1997-08-09
Blackburn,3,1997-08-09
Derby,0,1997-08-09
Coventry,3,1997-08-09
Chelsea,0,1997-08-09
Everton,0,1997-08-09
Crystal Palace,3,1997-08-09
Leeds,1,1997-08-09
Arsenal,1,1997-08-09
Leicester,3,1997-08-09
Aston Villa,0,1997-08-09
Newcastle,3,1997-08-09
Sheff Wed,0,1997-08-09
Southampton,0,1997-08-09
Bolton,3,1997-08-09
Wimbledon FC,1,1997-08-09
Liverpool,1,1997-08-09
Tottenham,0,1997-08-10
Man Utd,3,1997-08-10
Arsenal,3,1997-08-11
Coventry,0,1997-08-11
Crystal Palace,0,1997-08-12
Barnsley,3,1997-08-12
Aston Villa,0,1997-08-13
Blackburn,3,1997-08-13
Liverpool,0,1997-08-13
Leicester,3,1997-08-13
Man Utd,3,1997-08-13
Southampton,0,1997-08-13
Sheff Wed,0,1997-08-13
Leeds,3,1997-08-13
West Ham,3,1997-08-13
Tottenham,0,1997-08-13
Blackburn,1,1997-08-23
Liverpool,1,1997-08-23
Coventry,1,1997-08-23
Bolton,1,1997-08-23
Everton,3,1997-08-23
West Ham,0,1997-08-23
Leeds,0,1997-08-23
Crystal Palace,3,1997-08-23
Leicester,1,1997-08-23
Man Utd,1,1997-08-23
Newcastle,3,1997-08-23
Aston Villa,0,1997-08-23
Southampton,0,1997-08-23
Arsenal,3,1997-08-23
Tottenham,3,1997-08-23
Derby,0,1997-08-23
Wimbledon FC,1,1997-08-23
Sheff Wed,1,1997-08-23
Barnsley,0,1997-08-24
Chelsea,3,1997-08-24
Blackburn,3,1997-08-25
Sheff Wed,0,1997-08-25
Leeds,0,1997-08-26
Liverpool,3,1997-08-26
Barnsley,3,1997-08-27
Bolton,0,1997-08-27
Coventry,1,1997-08-27
West Ham,1,1997-08-27
Everton,0,1997-08-27
Man Utd,3,1997-08-27
Leicester,1,1997-08-27
Arsenal,1,1997-08-27
Southampton,3,1997-08-27
Crystal Palace,0,1997-08-27
Tottenham,3,1997-08-27
Aston Villa,0,1997-08-27
Wimbledon FC,0,1997-08-27
Chelsea,3,1997-08-27
Arsenal,1,1997-08-30
Tottenham,1,1997-08-30
Aston Villa,3,1997-08-30
Leeds,0,1997-08-30
Chelsea,3,1997-08-30
Southampton,0,1997-08-30
Crystal Palace,0,1997-08-30
Blackburn,3,1997-08-30
Derby,3,1997-08-30
Barnsley,0,1997-08-30
