team,2001,date
Valencia,3,2001-08-25
Real Madrid,0,2001-08-25
Espanyol,3,2001-08-26
Zaragoza,0,2001-08-26
La Coruna,3,2001-08-26
Valladolid,0,2001-08-26
Malaga,3,2001-08-26
Betis,0,2001-08-26
Mallorca,0,2001-08-26
Las Palmas,3,2001-08-26
Osasuna,0,2001-08-26
Celta Vigo,3,2001-08-26
Rayo Vallecano,0,2001-08-26
Villarreal,3,2001-08-26
Real Sociedad,0,2001-08-26
Ath. Bilbao,3,2001-08-26
Sevilla,0,2001-08-26
Barcelona,3,2001-08-26
Tenerife,0,2001-08-26
Alaves,3,2001-08-26
Ath. Bilbao,0,2001-09-08
Mallorca,3,2001-09-08
Las Palmas,0,2001-09-08
La Coruna,3,2001-09-08
Real Madrid,1,2001-09-08
Malaga,1,2001-09-08
Villarreal,3,2001-09-08
Osasuna,0,2001-09-08
Alaves,3,2001-09-09
Real Sociedad,0,2001-09-09
Barcelona,1,2001-09-09
Rayo Vallecano,1,2001-09-09
Betis,3,2001-09-09
Espanyol,0,2001-09-09
Celta Vigo,3,2001-09-09
Tenerife,0,2001-09-09
Valladolid,1,2001-09-09
Valencia,1,2001-09-09
Zaragoza,1,2001-09-09
Sevilla,1,2001-09-09
Betis,3,2001-09-15
Real Madrid,0,2001-09-15
La Coruna,0,2001-09-15
Ath. Bilbao,3,2001-09-15
Mallorca,1,2001-09-15
Alaves,1,2001-09-15
Osasuna,1,2001-09-15
Barcelona,1,2001-09-15
Espanyol,0,2001-09-16
Sevilla,3,2001-09-16
Malaga,0,2001-09-16
Valladolid,3,2001-09-16
Rayo Vallecano,0,2001-09-16
Zaragoza,3,2001-09-16
Real Sociedad,1,2001-09-16
Celta Vigo,1,2001-09-16
Tenerife,3,2001-09-16
Villarreal,0,2001-09-16
Valencia,3,2001-09-16
Las Palmas,0,2001-09-16
Alaves,0,2001-09-22
La Coruna,3,2001-09-22
Barcelona,3,2001-09-22
Tenerife,0,2001-09-22
Las Palmas,1,2001-09-22
Malaga,1,2001-09-22
Real Madrid,3,2001-09-22
Espanyol,0,2001-09-22
Villarreal,3,2001-09-22
Real Sociedad,0,2001-09-22
Ath. Bilbao,1,2001-09-23
Valencia,1,2001-09-23
Celta Vigo,3,2001-09-23
Mallorca,0,2001-09-23
Sevilla,3,2001-09-23
Rayo Vallecano,0,2001-09-23
Valladolid,0,2001-09-23
Betis,3,2001-09-23
Zaragoza,0,2001-09-23
Osasuna,3,2001-09-23
Espanyol,3,2001-09-29
Rayo Vallecano,0,2001-09-29
Malaga,0,2001-09-29
Ath. Bilbao,3,2001-09-29
Real Madrid,1,2001-09-29
Valladolid,1,2001-09-29
Real Sociedad,0,2001-09-29
Barcelona,3,2001-09-29
Betis,3,2001-09-30
Las Palmas,0,2001-09-30
La Coruna,1,2001-09-30
Celta Vigo,1,2001-09-30
Mallorca,0,2001-09-30
Villarreal,3,2001-09-30
Osasuna,3,2001-09-30
Sevilla,0,2001-09-30
Tenerife,1,2001-09-30
Zaragoza,1,2001-09-30
Valencia,1,2001-09-30
Alaves,1,2001-09-30
Alaves,3,2001-10-03
Malaga,0,2001-10-03
Ath. Bilbao,1,2001-10-03
