team,2003,date
Valencia,1,2003-08-30
Valladolid,1,2003-08-30
Albacete,0,2003-08-30
Osasuna,3,2003-08-30
Malaga,1,2003-08-30
Villarreal,1,2003-08-30
Espanyol,1,2003-08-30
Real Sociedad,1,2003-08-30
Ath. Bilbao,0,2003-08-30
Barcelona,3,2003-08-30
Real Madrid,3,2003-08-30
Betis,0,2003-08-30
Sevilla,3,2003-08-31
Atl. Madrid,0,2003-08-31
Zaragoza,0,2003-08-31
La Coruna,3,2003-08-31
Celta Vigo,1,2003-08-31
Murcia,1,2003-08-31
Racing Santander,3,2003-08-31
Mallorca,0,2003-08-31
Barcelona,1,2003-09-02
Sevilla,1,2003-09-02
Real Sociedad,1,2003-09-02
Celta Vigo,1,2003-09-02
Osasuna,0,2003-09-02
Valencia,3,2003-09-02
Villarreal,1,2003-09-02
Real Madrid,1,2003-09-02
Atl. Madrid,3,2003-09-03
Albacete,0,2003-09-03
Betis,1,2003-09-03
Espanyol,1,2003-09-03
La Coruna,3,2003-09-03
Ath. Bilbao,0,2003-09-03
Mallorca,3,2003-09-03
Zaragoza,0,2003-09-03
Murcia,1,2003-09-03
Racing Santander,1,2003-09-03
Valladolid,3,2003-09-03
Malaga,0,2003-09-03
Celta Vigo,0,2003-09-13
Betis,3,2003-09-13
Racing Santander,0,2003-09-13
Real Sociedad,3,2003-09-13
Sevilla,0,2003-09-13
La Coruna,3,2003-09-13
Real Madrid,3,2003-09-13
Valladolid,0,2003-09-13
Albacete,0,2003-09-14
Barcelona,3,2003-09-14
Ath. Bilbao,3,2003-09-14
Mallorca,0,2003-09-14
Espanyol,0,2003-09-14
Villarreal,3,2003-09-14
Valencia,3,2003-09-14
Malaga,0,2003-09-14
Zaragoza,3,2003-09-14
Murcia,0,2003-09-14
Osasuna,3,2003-09-14
Atl. Madrid,0,2003-09-14
Atl. Madrid,0,2003-09-20
Valencia,3,2003-09-20
Barcelona,1,2003-09-20
Osasuna,1,2003-09-20
Malaga,0,2003-09-21
Real Madrid,3,2003-09-21
Murcia,1,2003-09-21
Ath. Bilbao,1,2003-09-21
Betis,1,2003-09-21
Racing Santander,1,2003-09-21
Real Sociedad,3,2003-09-21
Zaragoza,0,2003-09-21
La Coruna,3,2003-09-21
Albacete,0,2003-09-21
Mallorca,1,2003-09-21
Sevilla,1,2003-09-21
Valladolid,3,2003-09-21
Espanyol,0,2003-09-21
Villarreal,1,2003-09-21
Celta Vigo,1,2003-09-21
Valencia,3,2003-09-27
Real Madrid,0,2003-09-27
Ath. Bilbao,3,2003-09-27
Real Sociedad,0,2003-09-27
Celta Vigo,3,2003-09-27
Valladolid,0,2003-09-27
Osasuna,3,2003-09-27
La Coruna,0,2003-09-27
Atl. Madrid,1,2003-09-28
Barcelona,1,2003-09-28
Sevilla,3,2003-09-28
Murcia,0,2003-09-28
Albacete,3,2003-09-28
Mallorca,0,2003-09-28
Espanyol,0,2003-09-28
Malaga,3,2003-09-28
Racing Santander,0,2003-09-28
Villarreal,3,2003-09-28
Zaragoza,0,2003-09-28
Betis,3,2003-09-28
Betis,1,2003-10-04
Ath. Bilbao,1,2003-10-04
La Coruna,3,2003-10-04
Atl. Madrid,0,2003-10-04
Villarreal,1,2003-10-04
Zaragoza,1,2003-10-04
Barcelona,0,2003-10-05
Valencia,3,2003-10-05
Real Madrid,3,2003-10-05
Espanyol,0,2003-10-05
Malaga,3,2003-10-05
Celta Vigo,0,2003-10-05
Mallorca,1,2003-10-05
Osasuna,1,2003-10-05
Murcia,3,2003-10-05
Albacete,0,2003-10-05
Real Sociedad,1,2003-10-05
Sevilla,1,2003-10-05
Valladolid,0,2003-10-05
Racing Santander,3,2003-10-05
Albacete,3,2003-10-18
Real Sociedad,0,2003-10-18
Barcelona,0,2003-10-18
La Coruna,3,2003-10-18
Celta Vigo,0,2003-10-18
Real Madrid,3,2003-10-18
Sevilla,1,2003-10-19
Betis,1,2003-10-19
Atl. Madrid,3,2003-10-19
Mallorca,0,2003-10-19
Osasuna,3,2003-10-19
Murcia,0,2003-10-19
Ath. Bilbao,3,2003-10-19
Villarreal,0,2003-10-19
Racing Santander,3,2003-10-19
Malaga,0,2003-10-19
Valencia,3,2003-10-19
Espanyol,0,2003-10-19
Zaragoza,3,2003-10-19
Valladolid,0,2003-10-19
La Coruna,3,2003-10-25
Valencia,0,2003-10-25
Real Madrid,3,2003-10-25
Racing Santander,0,2003-10-25
Malaga,3,2003-10-25
Zaragoza,0,2003-10-25
Murcia,0,2003-10-26
Atl. Madrid,3,2003-10-26
Mallorca,0,2003-10-26
Barcelona,3,2003-10-26
Betis,3,2003-10-26
Albacete,0,2003-10-26
Espanyol,0,2003-10-26
Celta Vigo,3,2003-10-26
Real Sociedad,3,2003-10-26
Osasuna,0,2003-10-26
Valladolid,3,2003-10-26
Ath. Bilbao,0,2003-10-26
Villarreal,1,2003-10-26
Sevilla,1,2003-10-26
Zaragoza,1,2003-10-28
Real Madrid,1,2003-10-28
Albacete,3,2003-10-29
Villarreal,0,2003-10-29
Ath. Bilbao,3,2003-10-29
Malaga,0,2003-10-29
Barcelona,3,2003-10-29
Murcia,0,2003-10-29
La Coruna,0,2003-10-29
Mallorca,3,2003-10-29
Osasuna,3,2003-10-29
Betis,0,2003-10-29
Racing Santander,0,2003-10-29
Espanyol,3,2003-10-29
Sevilla,1,2003-10-29
Valladolid,1,2003-10-29
Valencia,1,2003-10-29
Celta Vigo,1,2003-10-29
Atl. Madrid,3,2003-10-30
Real Sociedad,0,2003-10-30
Real Madrid,3,2003-11-01
Ath. Bilbao,0,2003-11-01
Celta Vigo,0,2003-11-01
Racing Santander,3,2003-11-01
Murcia,1,2003-11-01
La Coruna,1,2003-11-01
Mallorca,0,2003-11-02
Valencia,3,2003-11-02
Real Sociedad,1,2003-11-02
Barcelona,1,2003-11-02
Betis,0,2003-11-02
Atl. Madrid,3,2003-11-02
Espanyol,0,2003-11-02
Zaragoza,3,2003-11-02
Malaga,3,2003-11-02
Sevilla,0,2003-11-02
Valladolid,3,2003-11-02
Albacete,0,2003-11-02
Villarreal,3,2003-11-02
Osasuna,0,2003-11-02
La Coruna,3,2003-11-08
Real Sociedad,0,2003-11-08
Ath. Bilbao,3,2003-11-08
Espanyol,0,2003-11-08
Zaragoza,1,2003-11-08
Celta Vigo,1,2003-11-08
Sevilla,3,2003-11-09
Real Madrid,0,2003-11-09
Barcelona,3,2003-11-09
Betis,0,2003-11-09
Albacete,0,2003-11-09
Malaga,3,2003-11-09
Atl. Madrid,3,2003-11-09
Villarreal,0,2003-11-09
Mallorca,3,2003-11-09
Murcia,0,2003-11-09
Osasuna,1,2003-11-09
Valladolid,1,2003-11-09
Valencia,0,2003-11-09
Racing Santander,3,2003-11-09
