team,2003,date
Villarreal,3,2003-11-22
Barcelona,0,2003-11-22
Betis,1,2003-11-22
La Coruna,1,2003-11-22
Real Sociedad,0,2003-11-22
Mallorca,3,2003-11-22
Murcia,1,2003-11-23
Valencia,1,2003-11-23
Real Madrid,3,2003-11-23
Albacete,0,2003-11-23
Celta Vigo,0,2003-11-23
Ath. Bilbao,3,2003-11-23
Espanyol,3,2003-11-23
Sevilla,0,2003-11-23
Malaga,1,2003-11-23
Osasuna,1,2003-11-23
Racing Santander,0,2003-11-23
Zaragoza,3,2003-11-23
Valladolid,3,2003-11-23
Atl. Madrid,0,2003-11-23
Atl. Madrid,3,2003-11-29
Malaga,0,2003-11-29
Valencia,3,2003-11-29
Zaragoza,0,2003-11-29
Osasuna,1,2003-11-29
Real Madrid,1,2003-11-29
Murcia,1,2003-11-29
Real Sociedad,1,2003-11-29
La Coruna,0,2003-11-30
Villarreal,3,2003-11-30
Barcelona,1,2003-11-30
Valladolid,1,2003-11-30
Albacete,3,2003-11-30
Espanyol,0,2003-11-30
Ath. Bilbao,0,2003-11-30
Racing Santander,3,2003-11-30
Mallorca,3,2003-11-30
Betis,0,2003-11-30
Sevilla,0,2003-11-30
Celta Vigo,3,2003-11-30
Real Sociedad,1,2003-12-02
Valencia,1,2003-12-02
Real Madrid,3,2003-12-03
Atl. Madrid,0,2003-12-03
Betis,1,2003-12-03
Murcia,1,2003-12-03
Celta Vigo,1,2003-12-03
Albacete,1,2003-12-03
Espanyol,0,2003-12-03
Osasuna,3,2003-12-03
Malaga,3,2003-12-03
Barcelona,0,2003-12-03
Valladolid,1,2003-12-03
La Coruna,1,2003-12-03
Villarreal,0,2003-12-03
Mallorca,3,2003-12-03
Racing Santander,0,2003-12-04
Sevilla,3,2003-12-04
Zaragoza,1,2003-12-04
Ath. Bilbao,1,2003-12-04
Barcelona,0,2003-12-06
Real Madrid,3,2003-12-06
La Coruna,3,2003-12-06
Malaga,0,2003-12-06
Osasuna,3,2003-12-06
Celta Vigo,0,2003-12-06
Real Sociedad,0,2003-12-06
Betis,3,2003-12-06
Valencia,3,2003-12-07
Ath. Bilbao,0,2003-12-07
Atl. Madrid,3,2003-12-07
Espanyol,0,2003-12-07
Albacete,3,2003-12-07
Racing Santander,0,2003-12-07
Mallorca,3,2003-12-07
Valladolid,0,2003-12-07
Murcia,1,2003-12-07
Villarreal,1,2003-12-07
Sevilla,3,2003-12-07
Zaragoza,0,2003-12-07
Celta Vigo,1,2003-12-13
Atl. Madrid,1,2003-12-13
Espanyol,0,2003-12-13
Barcelona,3,2003-12-13
Villarreal,3,2003-12-13
Real Sociedad,0,2003-12-13
Ath. Bilbao,3,2003-12-14
Sevilla,0,2003-12-14
Real Madrid,3,2003-12-14
La Coruna,0,2003-12-14
Betis,0,2003-12-14
Valencia,3,2003-12-14
Malaga,3,2003-12-14
Mallorca,0,2003-12-14
Racing Santander,1,2003-12-14
Osasuna,1,2003-12-14
Valladolid,1,2003-12-14
Murcia,1,2003-12-14
Zaragoza,0,2003-12-14
Albacete,3,2003-12-14
Valencia,3,2003-12-20
Sevilla,0,2003-12-20
Atl. Madrid,1,2003-12-20
Racing Santander,1,2003-12-20
Real Sociedad,0,2003-12-20
Valladolid,3,2003-12-20
Barcelona,1,2003-12-21
Celta Vigo,1,2003-12-21
Mallorca,0,2003-12-21
Real Madrid,3,2003-12-21
Albacete,1,2003-12-21
Ath. Bilbao,1,2003-12-21
Betis,0,2003-12-21
Villarreal,3,2003-12-21
La Coruna,3,2003-12-21
Espanyol,0,2003-12-21
Murcia,0,2003-12-21
Malaga,3,2003-12-21
Osasuna,0,2003-12-21
Zaragoza,3,2003-12-21
Celta Vigo,0,2004-01-03
La Coruna,3,2004-01-03
Zaragoza,1,2004-01-03
Atl. Madrid,1,2004-01-03
Real Madrid,3,2004-01-03
Murcia,0,2004-01-03
Valencia,3,2004-01-04
Villarreal,0,2004-01-04
Racing Santander,3,2004-01-04
Barcelona,0,2004-01-04
Ath. Bilbao,1,2004-01-04
Osasuna,1,2004-01-04
Espanyol,3,2004-01-04
Mallorca,0,2004-01-04
Malaga,0,2004-01-04
Real Sociedad,3,2004-01-04
Sevilla,3,2004-01-04
Albacete,0,2004-01-04
Valladolid,1,2004-01-04
Betis,1,2004-01-04
Real Sociedad,3,2004-01-10
Real Madrid,0,2004-01-10
Albacete,0,2004-01-10
Valencia,3,2004-01-10
Mallorca,0,2004-01-10
Celta Vigo,3,2004-01-10
Atl. Madrid,3,2004-01-11
Ath. Bilbao,0,2004-01-11
Barcelona,3,2004-01-11
Zaragoza,0,2004-01-11
Betis,3,2004-01-11
Malaga,0,2004-01-11
La Coruna,1,2004-01-11
Racing Santander,1,2004-01-11
Murcia,0,2004-01-11
Espanyol,3,2004-01-11
Osasuna,1,2004-01-11
Sevilla,1,2004-01-11
Villarreal,3,2004-01-11
Valladolid,0,2004-01-11
Barcelona,1,2004-01-17
Ath. Bilbao,1,2004-01-17
Murcia,1,2004-01-17
Celta Vigo,1,2004-01-17
Valladolid,1,2004-01-17
Valencia,1,2004-01-17
Betis,1,2004-01-18
Real Madrid,1,2004-01-18
Atl. Madrid,3,2004-01-18
Sevilla,0,2004-01-18
La Coruna,3,2004-01-18
Zaragoza,0,2004-01-18
Mallorca,1,2004-01-18
Racing Santander,1,2004-01-18
Osasuna,1,2004-01-18
Albacete,1,2004-01-18
Real Sociedad,3,2004-01-18
Espanyol,0,2004-01-18
Villarreal,3,2004-01-18
Malaga,0,2004-01-18
Albacete,1,2004-01-24
Atl. Madrid,1,2004-01-24
Real Madrid,3,2004-01-24
Villarreal,0,2004-01-24
Ath. Bilbao,3,2004-01-25
La Coruna,0,2004-01-25
Sevilla,0,2004-01-25
Barcelona,3,2004-01-25
Celta Vigo,0,2004-01-25
Real Sociedad,3,2004-01-25
Espanyol,0,2004-01-25
Betis,3,2004-01-25
Malaga,0,2004-01-25
Valladolid,3,2004-01-25
Racing Santander,3,2004-01-25
Murcia,0,2004-01-25
Valencia,0,2004-01-25
Osasuna,3,2004-01-25
Zaragoza,0,2004-01-25
Mallorca,3,2004-01-25
Betis,3,2004-01-31
Celta Vigo,0,2004-01-31
Atl. Madrid,1,2004-01-31
Osasuna,1,2004-01-31
Malaga,0,2004-01-31
Valencia,3,2004-01-31
La Coruna,3,2004-02-01
Sevilla,0,2004-02-01
Barcelona,3,2004-02-01
Albacete,0,2004-02-01
Mallorca,0,2004-02-01
Ath. Bilbao,3,2004-02-01
Murcia,3,2004-02-01
Zaragoza,0,2004-02-01
Real Sociedad,3,2004-02-01
Racing Santander,0,2004-02-01
Valladolid,0,2004-02-01
Real Madrid,3,2004-02-01
Villarreal,0,2004-02-01
Espanyol,3,2004-02-01
Real Madrid,3,2004-02-07
Malaga,0,2004-02-07
Valencia,3,2004-02-07
Atl. Madrid,0,2004-02-07
Zaragoza,3,2004-02-08
Real Sociedad,0,2004-02-08
Osasuna,0,2004-02-08
Barcelona,3,2004-02-08
Albacete,0,2004-02-08
La Coruna,3,2004-02-08
Ath. Bilbao,3,2004-02-08
Murcia,0,2004-02-08
Celta Vigo,3,2004-02-08
Villarreal,0,2004-02-08
Espanyol,3,2004-02-08
Valladolid,0,2004-02-08
Racing Santander,0,2004-02-08
Betis,3,2004-02-08
Sevilla,3,2004-02-08
Mallorca,0,2004-02-08
Real Sociedad,1,2004-02-14
Ath. Bilbao,1,2004-02-14
Murcia,0,2004-02-14
Sevilla,3,2004-02-14
Real Madrid,1,2004-02-15
Valencia,1,2004-02-15
Barcelona,3,2004-02-15
Atl. Madrid,0,2004-02-15
Betis,3,2004-02-15
Zaragoza,0,2004-02-15
La Coruna,3,2004-02-15
Osasuna,0,2004-02-15
Malaga,3,2004-02-15
Espanyol,0,2004-02-15
Mallorca,1,2004-02-15
Albacete,1,2004-02-15
Valladolid,0,2004-02-15
Celta Vigo,3,2004-02-15
Villarreal,3,2004-02-15
Racing Santander,0,2004-02-15
Celta Vigo,0,2004-02-21
Malaga,3,2004-02-21
Sevilla,3,2004-02-21
Real Sociedad,0,2004-02-21
Valencia,0,2004-02-21
Barcelona,3,2004-02-21
Espanyol,0,2004-02-21
Real Madrid,3,2004-02-21
Atl. Madrid,1,2004-02-21
La Coruna,1,2004-02-21
Ath. Bilbao,1,2004-02-22
Betis,1,2004-02-22
Albacete,3,2004-02-22
Murcia,0,2004-02-22
Osasuna,1,2004-02-22
Mallorca,1,2004-02-22
Racing Santander,3,2004-02-22
Valladolid,0,2004-02-22
Zaragoza,3,2004-02-22
Villarreal,0,2004-02-22
Betis,1,2004-02-28
Sevilla,1,2004-02-28
Valladolid,0,2004-02-28
Zaragoza,3,2004-02-28
La Coruna,0,2004-02-29
Barcelona,3,2004-02-29
Real Madrid,3,2004-02-29
Celta Vigo,0,2004-02-29
Espanyol,3,2004-02-29
Valencia,0,2004-02-29
Malaga,3,2004-02-29
Racing Santander,0,2004-02-29
Mallorca,0,2004-02-29
Atl. Madrid,3,2004-02-29
Murcia,0,2004-02-29
Osasuna,3,2004-02-29
Real Sociedad,0,2004-02-29
Albacete,3,2004-02-29
Villarreal,0,2004-02-29
Ath. Bilbao,3,2004-02-29
Valencia,3,2004-03-06
La Coruna,0,2004-03-06
Celta Vigo,0,2004-03-06
Espanyol,3,2004-03-06
Osasuna,1,2004-03-06
Real Sociedad,1,2004-03-06
Racing Santander,1,2004-03-06
Real Madrid,1,2004-03-06
Atl. Madrid,1,2004-03-07
Murcia,1,2004-03-07
Sevilla,3,2004-03-07
Villarreal,0,2004-03-07
Albacete,3,2004-03-07
Betis,0,2004-03-07
Ath. Bilbao,0,2004-03-07
Valladolid,3,2004-03-07
Barcelona,3,2004-03-07
Mallorca,0,2004-03-07
Zaragoza,3,2004-03-07
Malaga,0,2004-03-07
Real Sociedad,3,2004-03-13
Atl. Madrid,0,2004-03-13
Real Madrid,1,2004-03-13
Zaragoza,1,2004-03-13
Celta Vigo,0,2004-03-14
Valencia,3,2004-03-14
Murcia,0,2004-03-14
Barcelona,3,2004-03-14
Betis,1,2004-03-14
Osasuna,1,2004-03-14
Espanyol,0,2004-03-14
Racing Santander,3,2004-03-14
Malaga,3,2004-03-14
Ath. Bilbao,0,2004-03-14
Mallorca,3,2004-03-14
La Coruna,0,2004-03-14
Valladolid,3,2004-03-14
Sevilla,0,2004-03-14
Villarreal,3,2004-03-14
Albacete,0,2004-03-14
Atl. Madrid,3,2004-03-20
Betis,0,2004-03-20
La Coruna,3,2004-03-20
Murcia,0,2004-03-20
Ath. Bilbao,3,2004-03-20
Real Madrid,0,2004-03-20
Barcelona,3,2004-03-21
Real Sociedad,0,2004-03-21
Valencia,3,2004-03-21
Mallorca,0,2004-03-21
Albacete,3,2004-03-21
Valladolid,0,2004-03-21
Osasuna,3,2004-03-21
Villarreal,0,2004-03-21
Racing Santander,1,2004-03-21
Celta Vigo,1,2004-03-21
Sevilla,0,2004-03-21
Malaga,3,2004-03-21
Zaragoza,1,2004-03-21
Espanyol,1,2004-03-21
Espanyol,3,2004-03-27
Ath. Bilbao,0,2004-03-27
Real Sociedad,0,2004-03-27
La Coruna,3,2004-03-27
Real Madrid,3,2004-03-28
Sevilla,0,2004-03-28
Celta Vigo,0,2004-03-28
Zaragoza,3,2004-03-28
Malaga,1,2004-03-28
Albacete,1,2004-03-28
Murcia,3,2004-03-28
Mallorca,0,2004-03-28
Racing Santander,0,2004-03-28
Valencia,3,2004-03-28
Valladolid,1,2004-03-28
Osasuna,1,2004-03-28
Villarreal,1,2004-03-28
Atl. Madrid,1,2004-03-28
Barcelona,1,2004-04-03
Villarreal,1,2004-04-03
Albacete,0,2004-04-03
Real Madrid,3,2004-04-03
Sevilla,3,2004-04-03
Espanyol,0,2004-04-03
Valencia,3,2004-04-04
Murcia,0,2004-04-04
Atl. Madrid,3,2004-04-04
Valladolid,0,2004-04-04
Ath. Bilbao,1,2004-04-04
Celta Vigo,1,2004-04-04
La Coruna,1,2004-04-04
Betis,1,2004-04-04
Mallorca,1,2004-04-04
Real Sociedad,1,2004-04-04
Osasuna,1,2004-04-04
Malaga,1,2004-04-04
Zaragoza,1,2004-04-04
Racing Santander,1,2004-04-04
Celta Vigo,1,2004-04-10
Sevilla,1,2004-04-10
Malaga,3,2004-04-10
Atl. Madrid,0,2004-04-10
Valladolid,0,2004-04-10
Barcelona,3,2004-04-10
Real Madrid,0,2004-04-11
Osasuna,3,2004-04-11
Zaragoza,0,2004-04-11
Valencia,3,2004-04-11
Betis,0,2004-04-11
Mallorca,3,2004-04-11
Espanyol,1,2004-04-11
Albacete,1,2004-04-11
Racing Santander,0,2004-04-11
Ath. Bilbao,3,2004-04-11
Real Sociedad,3,2004-04-11
Murcia,0,2004-04-11
Villarreal,0,2004-04-11
La Coruna,3,2004-04-11
Betis,1,2004-04-14
Barcelona,1,2004-04-14
Atl. Madrid,0,2004-04-17
Real Madrid,3,2004-04-17
Ath. Bilbao,3,2004-04-17
Zaragoza,0,2004-04-17
La Coruna,1,2004-04-17
Valladolid,1,2004-04-17
Barcelona,3,2004-04-18
Malaga,0,2004-04-18
Valencia,1,2004-04-18
Real Sociedad,1,2004-04-18
Albacete,0,2004-04-18
Celta Vigo,3,2004-04-18
Mallorca,0,2004-04-18
Villarreal,3,2004-04-18
Murcia,0,2004-04-18
Betis,3,2004-04-18
Osasuna,0,2004-04-18
Espanyol,3,2004-04-18
Sevilla,3,2004-04-18
Racing Santander,0,2004-04-18
Malaga,1,2004-04-24
La Coruna,1,2004-04-24
Espanyol,3,2004-04-24
Atl. Madrid,0,2004-04-24
Ath. Bilbao,1,2004-04-25
Valencia,1,2004-04-25
Real Madrid,0,2004-04-25
Barcelona,3,2004-04-25
Betis,3,2004-04-25
Real Sociedad,0,2004-04-25
Celta Vigo,3,2004-04-25
Osasuna,0,2004-04-25
Racing Santander,0,2004-04-25
Albacete,3,2004-04-25
Valladolid,0,2004-04-25
Mallorca,3,2004-04-25
Villarreal,3,2004-04-25
Murcia,0,2004-04-25
Zaragoza,1,2004-04-25
Sevilla,1,2004-04-25
La Coruna,3,2004-05-01
Real Madrid,0,2004-05-01
Atl. Madrid,3,2004-05-01
Celta Vigo,0,2004-05-01
Barcelona,3,2004-05-02
Espanyol,0,2004-05-02
Valencia,3,2004-05-02
Betis,0,2004-05-02
Osasuna,0,2004-05-02
Racing Santander,3,2004-05-02
Albacete,3,2004-05-02
Zaragoza,0,2004-05-02
Mallorca,3,2004-05-02
Malaga,0,2004-05-02
Murcia,3,2004-05-02
Valladolid,0,2004-05-02
Real Sociedad,1,2004-05-02
Villarreal,1,2004-05-02
Sevilla,3,2004-05-02
Ath. Bilbao,0,2004-05-02
Real Madrid,0,2004-05-08
Mallorca,3,2004-05-08
Celta Vigo,3,2004-05-08
Barcelona,0,2004-05-08
Racing Santander,1,2004-05-09
Atl. Madrid,1,2004-05-09
Sevilla,0,2004-05-09
Valencia,3,2004-05-09
Ath. Bilbao,1,2004-05-09
Albacete,1,2004-05-09
Espanyol,3,2004-05-09
La Coruna,0,2004-05-09
Malaga,3,2004-05-09
Murcia,0,2004-05-09
Valladolid,1,2004-05-09
Real Sociedad,1,2004-05-09
Villarreal,3,2004-05-09
Betis,0,2004-05-09
Zaragoza,3,2004-05-09
Osasuna,0,2004-05-09
Villarreal,3,2004-05-14
Valencia,0,2004-05-14
Betis,3,2004-05-15
Valladolid,0,2004-05-15
La Coruna,3,2004-05-15
Celta Vigo,0,2004-05-15
Murcia,3,2004-05-16
Real Madrid,0,2004-05-16
Barcelona,3,2004-05-16
Racing Santander,0,2004-05-16
Atl. Madrid,0,2004-05-16
Zaragoza,3,2004-05-16
Real Sociedad,1,2004-05-16
Malaga,1,2004-05-16
Albacete,0,2004-05-16
Sevilla,3,2004-05-16
Mallorca,3,2004-05-16
Espanyol,0,2004-05-16
Osasuna,0,2004-05-16
Ath. Bilbao,3,2004-05-16
Ath. Bilbao,0,2004-05-23
Atl. Madrid,3,2004-05-23
Celta Vigo,0,2004-05-23
Mallorca,3,2004-05-23
Espanyol,3,2004-05-23
Murcia,0,2004-05-23
Real Madrid,0,2004-05-23
Real Sociedad,3,2004-05-23
Sevilla,3,2004-05-23
Osasuna,0,2004-05-23
Valladolid,3,2004-05-23
Villarreal,0,2004-05-23
Zaragoza,3,2004-05-23
Barcelona,0,2004-05-23
Malaga,0,2004-05-23
Betis,3,2004-05-23
Racing Santander,0,2004-05-23
La Coruna,3,2004-05-23
Valencia,0,2004-05-23
Albacete,3,2004-05-23
