team,1999,date
Malaga,3,11/21/1999
R. Oviedo,0,11/21/1999
Numancia,3,11/21/1999
Rayo Vallecano,0,11/21/1999
Real Madrid,1,11/21/1999
Real Sociedad,1,11/21/1999
Valladolid,0,11/21/1999
Celta Vigo,3,11/21/1999
Sevilla,1,11/27/1999
Malaga,1,11/27/1999
Atl. Madrid,0,11/28/1999
La Coruna,3,11/28/1999
Celta Vigo,3,11/28/1999
Real Madrid,0,11/28/1999
Espanyol,0,11/28/1999
Alaves,3,11/28/1999
Mallorca,3,11/28/1999
Barcelona,0,11/28/1999
R. Oviedo,1,11/28/1999
Valencia,1,11/28/1999
Racing Santander,1,11/28/1999
Betis,1,11/28/1999
Rayo Vallecano,0,11/28/1999
Ath. Bilbao,3,11/28/1999
Real Sociedad,3,11/28/1999
Numancia,0,11/28/1999
Zaragoza,1,11/28/1999
Valladolid,1,11/28/1999
Ath. Bilbao,1,12/4/1999
Real Sociedad,1,12/4/1999
Barcelona,3,12/4/1999
R. Oviedo,0,12/4/1999
Real Madrid,0,12/4/1999
Zaragoza,3,12/4/1999
Valencia,3,12/4/1999
Sevilla,0,12/4/1999
Alaves,1,12/5/1999
Mallorca,1,12/5/1999
Betis,0,12/5/1999
Espanyol,3,12/5/1999
La Coruna,3,12/5/1999
Rayo Vallecano,0,12/5/1999
Malaga,0,12/5/1999
Atl. Madrid,3,12/5/1999
Numancia,3,12/5/1999
Celta Vigo,0,12/5/1999
Valladolid,3,12/5/1999
Racing Santander,0,12/5/1999
Alaves,3,12/8/1999
Racing Santander,0,12/8/1999
Sevilla,3,12/11/1999
Barcelona,0,12/11/1999
Alaves,3,12/12/1999
Betis,0,12/12/1999
Atl. Madrid,0,12/12/1999
Valencia,3,12/12/1999
Celta Vigo,1,12/12/1999
Ath. Bilbao,1,12/12/1999
Espanyol,1,12/12/1999
Valladolid,1,12/12/1999
Mallorca,1,12/12/1999
R. Oviedo,1,12/12/1999
Racing Santander,1,12/12/1999
Real Madrid,1,12/12/1999
Rayo Vallecano,3,12/12/1999
Malaga,0,12/12/1999
Real Sociedad,0,12/12/1999
La Coruna,3,12/12/1999
Zaragoza,1,12/12/1999
Numancia,1,12/12/1999
La Coruna,3,12/18/1999
Celta Vigo,0,12/18/1999
Real Madrid,3,12/18/1999
Espanyol,0,12/18/1999
Valladolid,1,12/18/1999
Alaves,1,12/18/1999
Ath. Bilbao,1,12/19/1999
Zaragoza,1,12/19/1999
Barcelona,3,12/19/1999
Atl. Madrid,0,12/19/1999
Betis,3,12/19/1999
Mallorca,0,12/19/1999
Malaga,1,12/19/1999
Real Sociedad,1,12/19/1999
Numancia,3,12/19/1999
Racing Santander,0,12/19/1999
R. Oviedo,3,12/19/1999
Sevilla,0,12/19/1999
Valencia,3,12/19/1999
Rayo Vallecano,0,12/19/1999
Alaves,0,12/21/1999
Real Madrid,3,12/21/1999
Atl. Madrid,3,12/22/1999
R. Oviedo,0,12/22/1999
Betis,0,12/22/1999
Valladolid,3,12/22/1999
Celta Vigo,0,12/22/1999
Malaga,3,12/22/1999
Espanyol,3,12/22/1999
Numancia,0,12/22/1999
Mallorca,3,12/22/1999
Sevilla,0,12/22/1999
Racing Santander,1,12/22/1999
Ath. Bilbao,1,12/22/1999
Rayo Vallecano,1,12/22/1999
Barcelona,1,12/22/1999
Real Sociedad,1,12/22/1999
Valencia,1,12/22/1999
Zaragoza,3,12/22/1999
La Coruna,0,12/22/1999
Valencia,1,1/4/2000
Celta Vigo,1,1/4/2000
Ath. Bilbao,3,1/5/2000
Espanyol,0,1/5/2000
Barcelona,3,1/5/2000
Real Sociedad,0,1/5/2000
La Coruna,0,1/5/2000
Racing Santander,3,1/5/2000
Malaga,1,1/5/2000
Zaragoza,1,1/5/2000
Mallorca,1,1/5/2000
Valladolid,1,1/5/2000
Numancia,1,1/5/2000
Alaves,1,1/5/2000
R. Oviedo,3,1/5/2000
Rayo Vallecano,0,1/5/2000
Sevilla,3,1/5/2000
Atl. Madrid,0,1/5/2000
Espanyol,1,1/8/2000
La Coruna,1,1/8/2000
Alaves,0,1/9/2000
Ath. Bilbao,3,1/9/2000
Atl. Madrid,3,1/9/2000
Mallorca,0,1/9/2000
Betis,0,1/9/2000
Numancia,3,1/9/2000
Celta Vigo,0,1/9/2000
Barcelona,3,1/9/2000
Racing Santander,0,1/9/2000
Malaga,3,1/9/2000
Rayo Vallecano,3,1/9/2000
Sevilla,0,1/9/2000
Real Sociedad,1,1/9/2000
R. Oviedo,1,1/9/2000
Zaragoza,3,1/9/2000
Valencia,0,1/9/2000
Rayo Vallecano,1,1/15/2000
Atl. Madrid,1,1/15/2000
Alaves,3,1/16/2000
La Coruna,0,1/16/2000
Betis,3,1/16/2000
Ath. Bilbao,0,1/16/2000
Celta Vigo,3,1/16/2000
R. Oviedo,0,1/16/2000
Espanyol,0,1/16/2000
Malaga,3,1/16/2000
Racing Santander,1,1/16/2000
Valencia,1,1/16/2000
Real Sociedad,1,1/16/2000
Sevilla,1,1/16/2000
Valladolid,3,1/16/2000
Numancia,0,1/16/2000
Zaragoza,1,1/16/2000
Barcelona,1,1/16/2000
Real Madrid,3,1/17/2000
Mallorca,0,1/17/2000
La Coruna,3,1/22/2000
Betis,0,1/22/2000
Ath. Bilbao,3,1/23/2000
Valladolid,0,1/23/2000
Atl. Madrid,1,1/23/2000
Real Sociedad,1,1/23/2000
Barcelona,3,1/23/2000
Racing Santander,0,1/23/2000
Malaga,0,1/23/2000
Alaves,3,1/23/2000
Mallorca,3,1/23/2000
Rayo Vallecano,0,1/23/2000
Numancia,1,1/23/2000
Real Madrid,1,1/23/2000
R. Oviedo,3,1/23/2000
Zaragoza,0,1/23/2000
Sevilla,0,1/23/2000
Celta Vigo,3,1/23/2000
Valencia,0,1/23/2000
Espanyol,3,1/23/2000
Real Madrid,3,1/26/2000
Betis,0,1/26/2000
Celta Vigo,0,1/29/2000
Atl. Madrid,3,1/29/2000
Espanyol,1,1/29/2000
Barcelona,1,1/29/2000
Alaves,0,1/30/2000
Valencia,3,1/30/2000
Betis,1,1/30/2000
Malaga,1,1/30/2000
Numancia,3,1/30/2000
Mallorca,0,1/30/2000
Racing Santander,3,1/30/2000
R. Oviedo,0,1/30/2000
Real Madrid,3,1/30/2000
Ath. Bilbao,0,1/30/2000
Real Sociedad,3,1/30/2000
Rayo Vallecano,0,1/30/2000
Valladolid,3,1/30/2000
La Coruna,0,1/30/2000
Zaragoza,3,1/30/2000
Sevilla,0,1/30/2000
Valencia,3,2/5/2000
Betis,0,2/5/2000
Ath. Bilbao,3,2/6/2000
Numancia,0,2/6/2000
Atl. Madrid,1,2/6/2000
Zaragoza,1,2/6/2000
Barcelona,0,2/6/2000
Alaves,3,2/6/2000
La Coruna,3,2/6/2000
Real Madrid,0,2/6/2000
Malaga,1,2/6/2000
Valladolid,1,2/6/2000
Mallorca,3,2/6/2000
Real Sociedad,0,2/6/2000
R. Oviedo,3,2/6/2000
Espanyol,0,2/6/2000
Rayo Vallecano,3,2/6/2000
Celta Vigo,0,2/6/2000
Sevilla,3,2/6/2000
Racing Santander,0,2/6/2000
Ath. Bilbao,1,2/12/2000
Mallorca,1,2/12/2000
Real Madrid,3,2/12/2000
Malaga,0,2/12/2000
Valladolid,1,2/12/2000
Valencia,1,2/12/2000
Alaves,3,2/13/2000
R. Oviedo,0,2/13/2000
Betis,3,2/13/2000
Barcelona,0,2/13/2000
Celta Vigo,3,2/13/2000
Real Sociedad,0,2/13/2000
Espanyol,1,2/13/2000
Sevilla,1,2/13/2000
Numancia,3,2/13/2000
La Coruna,0,2/13/2000
Racing Santander,3,2/13/2000
Atl. Madrid,0,2/13/2000
Zaragoza,1,2/13/2000
Rayo Vallecano,1,2/13/2000
Valladolid,0,2/15/2000
Real Madrid,3,2/15/2000
La Coruna,3,2/19/2000
Ath. Bilbao,0,2/19/2000
Atl. Madrid,1,2/20/2000
Espanyol,1,2/20/2000
Barcelona,3,2/20/2000
Valladolid,0,2/20/2000
Malaga,3,2/20/2000
Numancia,0,2/20/2000
Mallorca,3,2/20/2000
Celta Vigo,0,2/20/2000
R. Oviedo,1,2/20/2000
Betis,1,2/20/2000
Rayo Vallecano,0,2/20/2000
Racing Santander,3,2/20/2000
Real Sociedad,3,2/20/2000
Zaragoza,0,2/20/2000
Sevilla,1,2/20/2000
Alaves,1,2/20/2000
Valencia,1,2/20/2000
Real Madrid,1,2/20/2000
Numancia,0,2/26/2000
Valencia,3,2/26/2000
Real Madrid,3,2/26/2000
Barcelona,0,2/26/2000
Alaves,3,2/27/2000
Atl. Madrid,0,2/27/2000
Ath. Bilbao,1,2/27/2000
Malaga,1,2/27/2000
Betis,1,2/27/2000
Sevilla,1,2/27/2000
Espanyol,3,2/27/2000
Rayo Vallecano,0,2/27/2000
La Coruna,3,2/27/2000
Mallorca,0,2/27/2000
Racing Santander,1,2/27/2000
Real Sociedad,1,2/27/2000
Valladolid,3,2/27/2000
R. Oviedo,0,2/27/2000
Zaragoza,3,2/27/2000
Celta Vigo,0,2/27/2000
Barcelona,3,3/4/2000
Numancia,0,3/4/2000
R. Oviedo,1,3/4/2000
Real Madrid,1,3/4/2000
Valencia,3,3/4/2000
Ath. Bilbao,0,3/4/2000
Atl. Madrid,1,3/5/2000
Betis,1,3/5/2000
Celta Vigo,3,3/5/2000
Racing Santander,0,3/5/2000
Malaga,3,3/5/2000
La Coruna,0,3/5/2000
Mallorca,1,3/5/2000
Zaragoza,1,3/5/2000
Rayo Vallecano,0,3/5/2000
Alaves,3,3/5/2000
Real Sociedad,3,3/5/2000
Espanyol,0,3/5/2000
Sevilla,0,3/5/2000
Valladolid,3,3/5/2000
Ath. Bilbao,0,3/11/2000
Barcelona,3,3/11/2000
Betis,1,3/11/2000
Rayo Vallecano,1,3/11/2000
Real Madrid,3,3/11/2000
Sevilla,0,3/11/2000
Alaves,3,3/12/2000
Real Sociedad,0,3/12/2000
Espanyol,3,3/12/2000
Celta Vigo,0,3/12/2000
La Coruna,3,3/12/2000
Valencia,0,3/12/2000
Malaga,1,3/12/2000
Mallorca,1,3/12/2000
Numancia,1,3/12/2000
R. Oviedo,1,3/12/2000
Racing Santander,0,3/12/2000
Zaragoza,3,3/12/2000
Valladolid,3,3/12/2000
Atl. Madrid,0,3/12/2000
Atl. Madrid,1,3/18/2000
Real Madrid,1,3/18/2000
Barcelona,3,3/18/2000
La Coruna,0,3/18/2000
Valencia,1,3/18/2000
Malaga,1,3/18/2000
Celta Vigo,1,3/19/2000
Alaves,1,3/19/2000
Mallorca,0,3/19/2000
Racing Santander,3,3/19/2000
R. Oviedo,3,3/19/2000
Ath. Bilbao,0,3/19/2000
Rayo Vallecano,3,3/19/2000
Valladolid,0,3/19/2000
Real Sociedad,3,3/19/2000
Betis,0,3/19/2000
Sevilla,3,3/19/2000
Numancia,0,3/19/2000
Zaragoza,1,3/19/2000
Espanyol,1,3/19/2000
Alaves,0,3/25/2000
Zaragoza,3,3/25/2000
Ath. Bilbao,1,3/25/2000
Sevilla,1,3/25/2000
Espanyol,3,3/25/2000
Racing Santander,0,3/25/2000
Malaga,0,3/25/2000
Barcelona,3,3/25/2000
Numancia,3,3/25/2000
Atl. Madrid,0,3/25/2000
Real Madrid,1,3/25/2000
Rayo Vallecano,1,3/25/2000
Valencia,3,3/25/2000
Mallorca,0,3/25/2000
Valladolid,3,3/25/2000
Real Sociedad,0,3/25/2000
Betis,1,3/26/2000
Celta Vigo,1,3/26/2000
La Coruna,3,3/26/2000
R. Oviedo,0,3/26/2000
Real Sociedad,1,4/1/2000
Real Madrid,1,4/1/2000
Atl. Madrid,0,4/2/2000
Ath. Bilbao,3,4/2/2000
Barcelona,3,4/2/2000
Valencia,0,4/2/2000
Celta Vigo,1,4/2/2000
Valladolid,1,4/2/2000
Mallorca,0,4/2/2000
Espanyol,3,4/2/2000
R. Oviedo,1,4/2/2000
Malaga,1,4/2/2000
Racing Santander,1,4/2/2000
Alaves,1,4/2/2000
Rayo Vallecano,1,4/2/2000
Numancia,1,4/2/2000
Sevilla,0,4/2/2000
La Coruna,3,4/2/2000
Zaragoza,3,4/2/2000
Betis,0,4/2/2000
La Coruna,3,4/8/2000
Atl. Madrid,0,4/8/2000
Alaves,1,4/9/2000
Espanyol,1,4/9/2000
Ath. Bilbao,0,4/9/2000
Rayo Vallecano,3,4/9/2000
Barcelona,0,4/9/2000
Mallorca,3,4/9/2000
Betis,1,4/9/2000
Racing Santander,1,4/9/2000
Malaga,3,4/9/2000
Sevilla,0,4/9/2000
Numancia,0,4/9/2000
Real Sociedad,3,4/9/2000
Real Madrid,3,4/9/2000
Celta Vigo,0,4/9/2000
Valencia,3,4/9/2000
R. Oviedo,0,4/9/2000
Valladolid,1,4/9/2000
Zaragoza,1,4/9/2000
R. Oviedo,3,4/15/2000
Barcelona,0,4/15/2000
Sevilla,0,4/15/2000
Valencia,3,4/15/2000
Zaragoza,0,4/15/2000
Real Madrid,3,4/15/2000
Atl. Madrid,1,4/16/2000
Malaga,1,4/16/2000
Celta Vigo,1,4/16/2000
Numancia,1,4/16/2000
Espanyol,3,4/16/2000
Betis,0,4/16/2000
Mallorca,3,4/16/2000
Alaves,0,4/16/2000
Racing Santander,1,4/16/2000
Valladolid,1,4/16/2000
Rayo Vallecano,3,4/16/2000
La Coruna,0,4/16/2000
Real Sociedad,3,4/16/2000
Ath. Bilbao,0,4/16/2000
Ath. Bilbao,3,4/22/2000
Celta Vigo,0,4/22/2000
Barcelona,3,4/22/2000
Sevilla,0,4/22/2000
Malaga,3,4/22/2000
Rayo Vallecano,0,4/22/2000
Numancia,0,4/22/2000
Zaragoza,3,4/22/2000
Real Madrid,0,4/22/2000
Racing Santander,3,4/22/2000
Valencia,3,4/22/2000
Atl. Madrid,0,4/22/2000
Valladolid,3,4/22/2000
Espanyol,0,4/22/2000
Betis,0,4/23/2000
Alaves,3,4/23/2000
La Coruna,3,4/23/2000
Real Sociedad,0,4/23/2000
R. Oviedo,1,4/23/2000
Mallorca,1,4/23/2000
Atl. Madrid,0,4/29/2000
Barcelona,3,4/29/2000
Espanyol,0,4/29/2000
Real Madrid,3,4/29/2000
Rayo Vallecano,0,4/29/2000
Valencia,3,4/29/2000
Alaves,3,4/30/2000
Valladolid,0,4/30/2000
Celta Vigo,3,4/30/2000
La Coruna,0,4/30/2000
Mallorca,3,4/30/2000
Betis,0,4/30/2000
Racing Santander,1,4/30/2000
Numancia,1,4/30/2000
Real Sociedad,1,4/30/2000
Malaga,1,4/30/2000
Sevilla,0,4/30/2000
R. Oviedo,3,4/30/2000
Zaragoza,1,4/30/2000
Ath. Bilbao,1,4/30/2000
Barcelona,0,5/6/2000
Rayo Vallecano,3,5/6/2000
Numancia,3,5/6/2000
Espanyol,0,5/6/2000
Real Madrid,0,5/6/2000
Alaves,3,5/6/2000
Valencia,3,5/6/2000
Real Sociedad,0,5/6/2000
Ath. Bilbao,1,5/7/2000
Racing Santander,1,5/7/2000
La Coruna,1,5/7/2000
Zaragoza,1,5/7/2000
Malaga,0,5/7/2000
Celta Vigo,3,5/7/2000
R. Oviedo,1,5/7/2000
Atl. Madrid,1,5/7/2000
Sevilla,0,5/7/2000
Mallorca,3,5/7/2000
Valladolid,0,5/7/2000
Betis,3,5/7/2000
Alaves,1,5/14/2000
Numancia,1,5/14/2000
Atl. Madrid,1,5/14/2000
Sevilla,1,5/14/2000
Betis,0,5/14/2000
Real Madrid,3,5/14/2000
Celta Vigo,1,5/14/2000
Valencia,1,5/14/2000
Espanyol,1,5/14/2000
Ath. Bilbao,1,5/14/2000
Racing Santander,1,5/14/2000
La Coruna,1,5/14/2000
Rayo Vallecano,0,5/14/2000
R. Oviedo,3,5/14/2000
Real Sociedad,1,5/14/2000
Barcelona,1,5/14/2000
Valladolid,3,5/14/2000
Mallorca,0,5/14/2000
Zaragoza,3,5/14/2000
Malaga,0,5/14/2000
Ath. Bilbao,3,5/19/2000
Alaves,0,5/19/2000
Barcelona,1,5/19/2000
Celta Vigo,1,5/19/2000
La Coruna,3,5/19/2000
Espanyol,0,5/19/2000
Mallorca,0,5/19/2000
Atl. Madrid,3,5/19/2000
Real Madrid,0,5/19/2000
Valladolid,3,5/19/2000
Sevilla,0,5/19/2000
Rayo Vallecano,3,5/19/2000
Valencia,3,5/19/2000
Zaragoza,0,5/19/2000
Malaga,1,5/20/2000
Racing Santander,1,5/20/2000
Numancia,0,5/20/2000
Betis,3,5/20/2000
R. Oviedo,0,5/20/2000
Real Sociedad,3,5/20/2000
