team,1999,date
Ath. Bilbao,3,8/21/1999
Betis,0,8/21/1999
Mallorca,0,8/21/1999
Real Madrid,3,8/21/1999
Valencia,0,8/21/1999
Racing Santander,3,8/21/1999
Atl. Madrid,0,8/22/1999
Rayo Vallecano,3,8/22/1999
Barcelona,3,8/22/1999
Zaragoza,0,8/22/1999
La Coruna,3,8/22/1999
Alaves,0,8/22/1999
Malaga,3,8/22/1999
Espanyol,0,8/22/1999
Numancia,3,8/22/1999
Valladolid,0,8/22/1999
R. Oviedo,3,8/22/1999
Celta Vigo,0,8/22/1999
Sevilla,1,8/22/1999
Real Sociedad,1,8/22/1999
Real Sociedad,3,8/28/1999
Atl. Madrid,0,8/28/1999
Alaves,3,8/29/1999
Malaga,0,8/29/1999
Betis,1,8/29/1999
La Coruna,1,8/29/1999
Celta Vigo,3,8/29/1999
Sevilla,0,8/29/1999
Espanyol,3,8/29/1999
Valencia,0,8/29/1999
Racing Santander,0,8/29/1999
Barcelona,3,8/29/1999
Rayo Vallecano,3,8/29/1999
Mallorca,0,8/29/1999
Real Madrid,3,8/29/1999
Numancia,0,8/29/1999
Valladolid,3,8/29/1999
Ath. Bilbao,0,8/29/1999
Zaragoza,3,8/29/1999
R. Oviedo,0,8/29/1999
Barcelona,3,9/11/1999
Espanyol,0,9/11/1999
La Coruna,3,9/11/1999
Valladolid,0,9/11/1999
Valencia,0,9/11/1999
Alaves,3,9/11/1999
Ath. Bilbao,1,9/12/1999
Real Madrid,1,9/12/1999
Atl. Madrid,0,9/12/1999
Celta Vigo,3,9/12/1999
Malaga,3,9/12/1999
Betis,0,9/12/1999
Mallorca,3,9/12/1999
Numancia,0,9/12/1999
R. Oviedo,0,9/12/1999
Racing Santander,3,9/12/1999
Rayo Vallecano,3,9/12/1999
Real Sociedad,0,9/12/1999
Sevilla,1,9/12/1999
Zaragoza,1,9/12/1999
Alaves,3,9/18/1999
Barcelona,0,9/18/1999
Betis,3,9/18/1999
Valencia,0,9/18/1999
Espanyol,3,9/18/1999
R. Oviedo,0,9/18/1999
Real Madrid,1,9/18/1999
La Coruna,1,9/18/1999
Valladolid,3,9/18/1999
Malaga,0,9/18/1999
Celta Vigo,0,9/19/1999
Rayo Vallecano,3,9/19/1999
Numancia,1,9/19/1999
Ath. Bilbao,1,9/19/1999
Racing Santander,1,9/19/1999
Sevilla,1,9/19/1999
Real Sociedad,3,9/19/1999
Mallorca,0,9/19/1999
Zaragoza,1,9/19/1999
Atl. Madrid,1,9/19/1999
Barcelona,3,9/25/1999
Betis,0,9/25/1999
Malaga,1,9/25/1999
Real Madrid,1,9/25/1999
Real Sociedad,0,9/25/1999
Celta Vigo,3,9/25/1999
Valencia,1,9/25/1999
Valladolid,1,9/25/1999
Atl. Madrid,3,9/26/1999
Racing Santander,0,9/26/1999
La Coruna,0,9/26/1999
Numancia,3,9/26/1999
Mallorca,3,9/26/1999
Ath. Bilbao,0,9/26/1999
R. Oviedo,3,9/26/1999
Alaves,0,9/26/1999
Rayo Vallecano,0,9/26/1999
Zaragoza,3,9/26/1999
Sevilla,0,9/26/1999
Espanyol,3,9/26/1999
Numancia,1,10/2/1999
Malaga,1,10/2/1999
Valladolid,0,10/2/1999
Barcelona,3,10/2/1999
Alaves,1,10/3/1999
Sevilla,1,10/3/1999
Ath. Bilbao,0,10/3/1999
La Coruna,3,10/3/1999
Betis,3,10/3/1999
R. Oviedo,0,10/3/1999
Celta Vigo,3,10/3/1999
Mallorca,0,10/3/1999
Espanyol,3,10/3/1999
Atl. Madrid,0,10/3/1999
Racing Santander,1,10/3/1999
Rayo Vallecano,1,10/3/1999
Real Madrid,0,10/3/1999
Valencia,3,10/3/1999
Zaragoza,3,10/3/1999
Real Sociedad,0,10/3/1999
Atl. Madrid,3,10/12/1999
Alaves,0,10/12/1999
Malaga,0,10/12/1999
Ath. Bilbao,3,10/12/1999
Mallorca,1,10/12/1999
La Coruna,1,10/12/1999
Sevilla,3,10/12/1999
Betis,0,10/12/1999
Barcelona,1,10/13/1999
Real Madrid,1,10/13/1999
Celta Vigo,3,10/13/1999
Zaragoza,0,10/13/1999
R. Oviedo,1,10/13/1999
Valladolid,1,10/13/1999
Rayo Vallecano,3,10/13/1999
Espanyol,0,10/13/1999
Real Sociedad,0,10/13/1999
Racing Santander,3,10/13/1999
Valencia,3,10/13/1999
Numancia,0,10/13/1999
Ath. Bilbao,3,10/16/1999
Valencia,0,10/16/1999
La Coruna,3,10/16/1999
Malaga,0,10/16/1999
Numancia,1,10/16/1999
Barcelona,1,10/16/1999
Racing Santander,3,10/16/1999
Celta Vigo,0,10/16/1999
Real Madrid,1,10/16/1999
R. Oviedo,1,10/16/1999
Alaves,0,10/17/1999
Rayo Vallecano,3,10/17/1999
Betis,3,10/17/1999
Atl. Madrid,0,10/17/1999
Espanyol,1,10/17/1999
Real Sociedad,1,10/17/1999
Valladolid,3,10/17/1999
Sevilla,0,10/17/1999
Zaragoza,3,10/17/1999
Mallorca,0,10/17/1999
Barcelona,3,10/23/1999
Ath. Bilbao,0,10/23/1999
Sevilla,1,10/23/1999
Real Madrid,1,10/23/1999
Valencia,3,10/23/1999
La Coruna,0,10/23/1999
Atl. Madrid,3,10/24/1999
Valladolid,0,10/24/1999
Celta Vigo,3,10/24/1999
Espanyol,0,10/24/1999
Mallorca,3,10/24/1999
Malaga,0,10/24/1999
R. Oviedo,3,10/24/1999
Numancia,0,10/24/1999
Rayo Vallecano,0,10/24/1999
Betis,3,10/24/1999
Real Sociedad,1,10/24/1999
Alaves,1,10/24/1999
Zaragoza,3,10/24/1999
Racing Santander,0,10/24/1999
La Coruna,3,10/30/1999
Barcelona,0,10/30/1999
Malaga,1,10/30/1999
Valencia,1,10/30/1999
Real Madrid,0,10/30/1999
Atl. Madrid,3,10/30/1999
Alaves,3,10/31/1999
Celta Vigo,0,10/31/1999
Ath. Bilbao,1,10/31/1999
R. Oviedo,1,10/31/1999
Betis,3,10/31/1999
Real Sociedad,0,10/31/1999
Espanyol,1,10/31/1999
Zaragoza,1,10/31/1999
Numancia,3,10/31/1999
Sevilla,0,10/31/1999
Racing Santander,1,10/31/1999
Mallorca,1,10/31/1999
Valladolid,0,10/31/1999
Rayo Vallecano,3,10/31/1999
Rayo Vallecano,0,11/6/1999
Real Madrid,3,11/6/1999
Atl. Madrid,1,11/7/1999
Numancia,1,11/7/1999
Barcelona,0,11/7/1999
Malaga,3,11/7/1999
Celta Vigo,3,11/7/1999
Betis,0,11/7/1999
Mallorca,3,11/7/1999
Valencia,0,11/7/1999
R. Oviedo,0,11/7/1999
La Coruna,3,11/7/1999
Racing Santander,1,11/7/1999
Espanyol,1,11/7/1999
Real Sociedad,3,11/7/1999
Valladolid,0,11/7/1999
Sevilla,1,11/7/1999
Ath. Bilbao,1,11/7/1999
Zaragoza,3,11/7/1999
Alaves,0,11/7/1999
Ath. Bilbao,3,11/20/1999
Atl. Madrid,0,11/20/1999
Valencia,3,11/20/1999
Barcelona,0,11/20/1999
Betis,3,11/21/1999
Zaragoza,0,11/21/1999
Espanyol,0,11/21/1999
Mallorca,3,11/21/1999
La Coruna,3,11/21/1999
Sevilla,0,11/21/1999
