team,2000,date
Real Sociedad,0,2000-10-29
Real Madrid,3,2000-10-29
La Coruna,3,2000-10-31
Las Palmas,0,2000-10-31
Alaves,0,2000-11-01
Real Sociedad,3,2000-11-01
Ath. Bilbao,0,2000-11-01
Zaragoza,3,2000-11-01
Barcelona,1,2000-11-01
Numancia,1,2000-11-01
Malaga,3,2000-11-01
Osasuna,0,2000-11-01
R. Oviedo,3,2000-11-01
Rayo Vallecano,0,2000-11-01
Racing Santander,3,2000-11-01
Villarreal,0,2000-11-01
Real Madrid,0,2000-11-01
Mallorca,3,2000-11-01
Valencia,3,2000-11-01
Celta Vigo,0,2000-11-01
Valladolid,1,2000-11-01
Espanyol,1,2000-11-01
Celta Vigo,3,2000-11-04
Malaga,0,2000-11-04
Espanyol,3,2000-11-04
Valencia,0,2000-11-04
Las Palmas,0,2000-11-04
Barcelona,3,2000-11-04
Numancia,3,2000-11-04
Real Madrid,0,2000-11-04
Villarreal,3,2000-11-04
La Coruna,0,2000-11-04
Alaves,3,2000-11-05
R. Oviedo,0,2000-11-05
Osasuna,1,2000-11-05
Ath. Bilbao,1,2000-11-05
Rayo Vallecano,3,2000-11-05
Valladolid,0,2000-11-05
Real Sociedad,0,2000-11-05
Mallorca,3,2000-11-05
Zaragoza,3,2000-11-05
Racing Santander,0,2000-11-05
La Coruna,3,2000-11-11
Zaragoza,0,2000-11-11
Ath. Bilbao,3,2000-11-12
Celta Vigo,0,2000-11-12
Barcelona,0,2000-11-12
Villarreal,3,2000-11-12
Malaga,1,2000-11-12
Espanyol,1,2000-11-12
Mallorca,3,2000-11-12
Numancia,0,2000-11-12
R. Oviedo,3,2000-11-12
Real Sociedad,0,2000-11-12
Racing Santander,1,2000-11-12
Osasuna,1,2000-11-12
Real Madrid,3,2000-11-12
Las Palmas,0,2000-11-12
Valencia,1,2000-11-12
Rayo Vallecano,1,2000-11-12
Valladolid,3,2000-11-12
Alaves,0,2000-11-12
Alaves,1,2000-11-18
Valencia,1,2000-11-18
Las Palmas,3,2000-11-18
Mallorca,0,2000-11-18
Osasuna,1,2000-11-18
La Coruna,1,2000-11-18
Villarreal,0,2000-11-18
Real Madrid,3,2000-11-18
Celta Vigo,1,2000-11-19
Racing Santander,1,2000-11-19
Espanyol,3,2000-11-19
Ath. Bilbao,0,2000-11-19
R. Oviedo,3,2000-11-19
Valladolid,0,2000-11-19
Rayo Vallecano,3,2000-11-19
Malaga,0,2000-11-19
Real Sociedad,3,2000-11-19
Numancia,0,2000-11-19
Zaragoza,3,2000-11-19
Barcelona,0,2000-11-19
Mallorca,3,2000-11-25
Villarreal,0,2000-11-25
Ath. Bilbao,3,2000-11-26
Rayo Vallecano,0,2000-11-26
Barcelona,3,2000-11-26
Osasuna,0,2000-11-26
La Coruna,3,2000-11-26
Celta Vigo,0,2000-11-26
Malaga,3,2000-11-26
Alaves,0,2000-11-26
Numancia,0,2000-11-26
Las Palmas,3,2000-11-26
Racing Santander,0,2000-11-26
Espanyol,3,2000-11-26
Valencia,3,2000-11-26
R. Oviedo,0,2000-11-26
Valladolid,3,2000-11-26
Real Sociedad,0,2000-11-26
Celta Vigo,1,2000-12-02
Barcelona,1,2000-12-02
Espanyol,0,2000-12-02
La Coruna,3,2000-12-02
Osasuna,0,2000-12-02
Real Madrid,3,2000-12-02
Rayo Vallecano,3,2000-12-02
Racing Santander,0,2000-12-02
Valladolid,1,2000-12-02
Valencia,1,2000-12-02
Alaves,3,2000-12-03
Ath. Bilbao,0,2000-12-03
R. Oviedo,3,2000-12-03
Malaga,0,2000-12-03
Real Sociedad,1,2000-12-03
Las Palmas,1,2000-12-03
Villarreal,1,2000-12-03
Numancia,1,2000-12-03
Zaragoza,1,2000-12-03
Mallorca,1,2000-12-03
Las Palmas,0,2000-12-09
Villarreal,3,2000-12-09
Numancia,1,2000-12-09
Zaragoza,1,2000-12-09
Valencia,3,2000-12-09
Real Sociedad,0,2000-12-09
Ath. Bilbao,3,2000-12-10
R. Oviedo,0,2000-12-10
Barcelona,3,2000-12-10
Espanyol,0,2000-12-10
La Coruna,1,2000-12-10
Rayo Vallecano,1,2000-12-10
Malaga,3,2000-12-10
Valladolid,0,2000-12-10
Mallorca,1,2000-12-10
Osasuna,1,2000-12-10
Racing Santander,3,2000-12-10
Alaves,0,2000-12-10
Real Madrid,3,2000-12-10
Celta Vigo,0,2000-12-10
Alaves,3,2000-12-16
La Coruna,0,2000-12-16
Espanyol,0,2000-12-16
Real Madrid,3,2000-12-16
Rayo Vallecano,1,2000-12-16
Barcelona,1,2000-12-16
Real Sociedad,0,2000-12-16
Villarreal,3,2000-12-16
Zaragoza,3,2000-12-16
Las Palmas,0,2000-12-16
Celta Vigo,1,2000-12-17
Mallorca,1,2000-12-17
Osasuna,3,2000-12-17
Numancia,0,2000-12-17
R. Oviedo,3,2000-12-17
Racing Santander,0,2000-12-17
Valencia,3,2000-12-17
Malaga,0,2000-12-17
Valladolid,1,2000-12-17
Ath. Bilbao,1,2000-12-17
Real Madrid,3,2000-12-19
Rayo Vallecano,0,2000-12-19
Ath. Bilbao,1,2000-12-20
Valencia,1,2000-12-20
Barcelona,3,2000-12-20
Alaves,0,2000-12-20
La Coruna,3,2000-12-20
R. Oviedo,0,2000-12-20
Las Palmas,3,2000-12-20
Osasuna,0,2000-12-20
Malaga,3,2000-12-20
Real Sociedad,0,2000-12-20
Mallorca,3,2000-12-20
Espanyol,0,2000-12-20
Numancia,3,2000-12-20
Celta Vigo,0,2000-12-20
Racing Santander,1,2000-12-20
Valladolid,1,2000-12-20
Villarreal,1,2000-12-20
Zaragoza,1,2000-12-20
Malaga,3,2001-01-06
Ath. Bilbao,0,2001-01-06
Alaves,0,2001-01-07
Real Madrid,3,2001-01-07
Celta Vigo,0,2001-01-07
Las Palmas,3,2001-01-07
Espanyol,3,2001-01-07
Numancia,0,2001-01-07
Osasuna,3,2001-01-07
Villarreal,0,2001-01-07
R. Oviedo,0,2001-01-07
Barcelona,3,2001-01-07
Rayo Vallecano,1,2001-01-07
Mallorca,1,2001-01-07
Real Sociedad,1,2001-01-07
Zaragoza,1,2001-01-07
Valencia,3,2001-01-07
Racing Santander,0,2001-01-07
Valladolid,3,2001-01-07
La Coruna,0,2001-01-07
Barcelona,3,2001-01-13
Valladolid,0,2001-01-13
La Coruna,3,2001-01-13
Valencia,0,2001-01-13
Las Palmas,3,2001-01-14
Espanyol,0,2001-01-14
Mallorca,3,2001-01-14
Alaves,0,2001-01-14
Numancia,0,2001-01-14
Rayo Vallecano,3,2001-01-14
Racing Santander,0,2001-01-14
Malaga,3,2001-01-14
Real Madrid,3,2001-01-14
R. Oviedo,0,2001-01-14
Real Sociedad,0,2001-01-14
Ath. Bilbao,3,2001-01-14
Villarreal,3,2001-01-14
Celta Vigo,0,2001-01-14
Zaragoza,3,2001-01-14
Osasuna,0,2001-01-14
Valencia,0,2001-01-20
Barcelona,3,2001-01-20
Alaves,0,2001-01-21
Numancia,3,2001-01-21
Ath. Bilbao,3,2001-01-21
Racing Santander,0,2001-01-21
Celta Vigo,1,2001-01-21
Zaragoza,1,2001-01-21
Espanyol,3,2001-01-21
Villarreal,0,2001-01-21
Malaga,0,2001-01-21
La Coruna,3,2001-01-21
Osasuna,1,2001-01-21
Real Sociedad,1,2001-01-21
R. Oviedo,1,2001-01-21
Mallorca,1,2001-01-21
Rayo Vallecano,1,2001-01-21
Las Palmas,1,2001-01-21
Valladolid,1,2001-01-21
Real Madrid,1,2001-01-21
Real Madrid,3,2001-01-24
Zaragoza,0,2001-01-24
Ath. Bilbao,1,2001-01-27
La Coruna,1,2001-01-27
Espanyol,3,2001-01-27
Zaragoza,0,2001-01-27
Malaga,1,2001-01-27
Barcelona,1,2001-01-27
Alaves,3,2001-01-28
Las Palmas,0,2001-01-28
Celta Vigo,3,2001-01-28
Osasuna,0,2001-01-28
R. Oviedo,3,2001-01-28
Numancia,0,2001-01-28
Racing Santander,0,2001-01-28
Real Sociedad,3,2001-01-28
Rayo Vallecano,0,2001-01-28
Villarreal,3,2001-01-28
Valencia,0,2001-01-28
Real Madrid,3,2001-01-28
Valladolid,3,2001-01-28
Mallorca,0,2001-01-28
Barcelona,3,2001-02-03
Ath. Bilbao,0,2001-02-03
La Coruna,3,2001-02-04
Racing Santander,0,2001-02-04
Las Palmas,3,2001-02-04
R. Oviedo,0,2001-02-04
Mallorca,1,2001-02-04
Valencia,1,2001-02-04
Numancia,1,2001-02-04
Valladolid,1,2001-02-04
Osasuna,0,2001-02-04
Espanyol,3,2001-02-04
Real Madrid,3,2001-02-04
Malaga,0,2001-02-04
Real Sociedad,1,2001-02-04
Celta Vigo,1,2001-02-04
Villarreal,3,2001-02-04
Alaves,0,2001-02-04
Zaragoza,3,2001-02-04
Rayo Vallecano,0,2001-02-04
Ath. Bilbao,3,2001-02-10
Real Madrid,0,2001-02-10
Espanyol,0,2001-02-10
Celta Vigo,3,2001-02-10
La Coruna,3,2001-02-10
Real Sociedad,0,2001-02-10
Rayo Vallecano,3,2001-02-10
Osasuna,0,2001-02-10
Valencia,3,2001-02-10
Numancia,0,2001-02-10
Alaves,3,2001-02-11
Zaragoza,0,2001-02-11
Malaga,0,2001-02-11
Mallorca,3,2001-02-11
R. Oviedo,0,2001-02-11
Villarreal,3,2001-02-11
Racing Santander,3,2001-02-11
Barcelona,0,2001-02-11
Valladolid,3,2001-02-11
Las Palmas,0,2001-02-11
Barcelona,0,2001-02-17
La Coruna,3,2001-02-17
Las Palmas,0,2001-02-17
Valencia,3,2001-02-17
Real Madrid,3,2001-02-17
Racing Santander,0,2001-02-17
Celta Vigo,1,2001-02-18
Rayo Vallecano,1,2001-02-18
Mallorca,3,2001-02-18
Ath. Bilbao,0,2001-02-18
Numancia,3,2001-02-18
Malaga,0,2001-02-18
Osasuna,0,2001-02-18
Alaves,3,2001-02-18
Real Sociedad,3,2001-02-18
Espanyol,0,2001-02-18
Villarreal,3,2001-02-18
Valladolid,0,2001-02-18
Zaragoza,3,2001-02-18
R. Oviedo,0,2001-02-18
La Coruna,1,2001-02-24
Real Madrid,1,2001-02-24
Alaves,1,2001-02-25
Celta Vigo,1,2001-02-25
Ath. Bilbao,3,2001-02-25
Numancia,0,2001-02-25
Barcelona,3,2001-02-25
Real Sociedad,0,2001-02-25
Malaga,3,2001-02-25
Las Palmas,0,2001-02-25
R. Oviedo,0,2001-02-25
Osasuna,3,2001-02-25
Racing Santander,3,2001-02-25
Mallorca,0,2001-02-25
Rayo Vallecano,1,2001-02-25
Espanyol,1,2001-02-25
Valencia,3,2001-02-25
Villarreal,0,2001-02-25
Valladolid,3,2001-02-25
Zaragoza,0,2001-02-25
Real Madrid,1,2001-03-03
Barcelona,1,2001-03-03
Zaragoza,1,2001-03-03
Valencia,1,2001-03-03
Real Sociedad,3,2001-03-03
Rayo Vallecano,0,2001-03-03
Villarreal,0,2001-03-04
Malaga,3,2001-03-04
Las Palmas,1,2001-03-04
Ath. Bilbao,1,2001-03-04
Celta Vigo,3,2001-03-04
R. Oviedo,0,2001-03-04
Espanyol,1,2001-03-04
Alaves,1,2001-03-04
Numancia,3,2001-03-04
Racing Santander,0,2001-03-04
Osasuna,3,2001-03-04
Valladolid,0,2001-03-04
Mallorca,3,2001-03-04
La Coruna,0,2001-03-04
La Coruna,3,2001-03-10
Numancia,0,2001-03-10
Valencia,3,2001-03-10
Osasuna,0,2001-03-10
Ath. Bilbao,1,2001-03-10
Villarreal,1,2001-03-10
Real Madrid,3,2001-03-11
Real Sociedad,0,2001-03-11
Alaves,3,2001-03-11
Rayo Vallecano,0,2001-03-11
Barcelona,1,2001-03-11
Mallorca,1,2001-03-11
Malaga,3,2001-03-11
Zaragoza,0,2001-03-11
R. Oviedo,1,2001-03-11
Espanyol,1,2001-03-11
Racing Santander,3,2001-03-11
Las Palmas,0,2001-03-11
Valladolid,0,2001-03-11
Celta Vigo,3,2001-03-11
Las Palmas,3,2001-03-17
La Coruna,0,2001-03-17
Celta Vigo,3,2001-03-18
Valencia,0,2001-03-18
Espanyol,3,2001-03-18
Valladolid,0,2001-03-18
Mallorca,3,2001-03-18
Real Madrid,0,2001-03-18
Numancia,1,2001-03-18
Barcelona,1,2001-03-18
Osasuna,1,2001-03-18
Malaga,1,2001-03-18
Rayo Vallecano,0,2001-03-18
R. Oviedo,3,2001-03-18
Real Sociedad,1,2001-03-18
Alaves,1,2001-03-18
Villarreal,3,2001-03-18
Racing Santander,0,2001-03-18
Zaragoza,1,2001-03-18
Ath. Bilbao,1,2001-03-18
La Coruna,3,2001-03-31
Villarreal,0,2001-03-31
Malaga,0,2001-03-31
Celta Vigo,3,2001-03-31
Real Madrid,3,2001-03-31
Numancia,0,2001-03-31
Valencia,0,2001-03-31
Espanyol,3,2001-03-31
Ath. Bilbao,0,2001-04-01
Osasuna,3,2001-04-01
Barcelona,3,2001-04-01
Las Palmas,0,2001-04-01
Mallorca,1,2001-04-01
Real Sociedad,1,2001-04-01
R. Oviedo,1,2001-04-01
Alaves,1,2001-04-01
Racing Santander,3,2001-04-01
Zaragoza,0,2001-04-01
Valladolid,0,2001-04-01
Rayo Vallecano,3,2001-04-01
Rayo Vallecano,0,2001-04-07
Valencia,3,2001-04-07
Alaves,3,2001-04-08
Valladolid,0,2001-04-08
Celta Vigo,3,2001-04-08
Ath. Bilbao,0,2001-04-08
Espanyol,0,2001-04-08
Malaga,3,2001-04-08
Las Palmas,0,2001-04-08
Real Madrid,3,2001-04-08
Numancia,0,2001-04-08
Mallorca,3,2001-04-08
Osasuna,1,2001-04-08
Racing Santander,1,2001-04-08
Real Sociedad,3,2001-04-08
R. Oviedo,0,2001-04-08
Villarreal,1,2001-04-08
Barcelona,1,2001-04-08
Zaragoza,3,2001-04-08
La Coruna,0,2001-04-08
Barcelona,1,2001-04-14
Zaragoza,1,2001-04-14
La Coruna,3,2001-04-14
Osasuna,0,2001-04-14
Real Madrid,3,2001-04-14
Villarreal,0,2001-04-14
Valencia,0,2001-04-14
Alaves,3,2001-04-14
Ath. Bilbao,0,2001-04-15
Espanyol,3,2001-04-15
Malaga,1,2001-04-15
Rayo Vallecano,1,2001-04-15
Mallorca,3,2001-04-15
Las Palmas,0,2001-04-15
Numancia,1,2001-04-15
Real Sociedad,1,2001-04-15
Racing Santander,3,2001-04-15
Celta Vigo,0,2001-04-15
Valladolid,3,2001-04-15
R. Oviedo,0,2001-04-15
Celta Vigo,3,2001-04-21
La Coruna,0,2001-04-21
Alaves,0,2001-04-22
Malaga,3,2001-04-22
Espanyol,3,2001-04-22
Racing Santander,0,2001-04-22
Las Palmas,1,2001-04-22
Numancia,1,2001-04-22
Osasuna,3,2001-04-22
Barcelona,0,2001-04-22
R. Oviedo,1,2001-04-22
Valencia,1,2001-04-22
Rayo Vallecano,0,2001-04-22
Ath. Bilbao,3,2001-04-22
Real Sociedad,3,2001-04-22
Valladolid,0,2001-04-22
Villarreal,1,2001-04-22
Mallorca,1,2001-04-22
Zaragoza,0,2001-04-22
Real Madrid,3,2001-04-22
Real Madrid,1,2001-04-28
Osasuna,1,2001-04-28
Valencia,3,2001-04-28
Valladolid,0,2001-04-28
Ath. Bilbao,3,2001-04-29
Alaves,0,2001-04-29
Barcelona,1,2001-04-29
Celta Vigo,1,2001-04-29
La Coruna,3,2001-04-29
Espanyol,0,2001-04-29
Las Palmas,3,2001-04-29
Real Sociedad,0,2001-04-29
Malaga,1,2001-04-29
R. Oviedo,1,2001-04-29
Mallorca,3,2001-04-29
Zaragoza,0,2001-04-29
Numancia,0,2001-04-29
Villarreal,3,2001-04-29
Racing Santander,1,2001-04-29
Rayo Vallecano,1,2001-04-29
Celta Vigo,3,2001-05-05
Real Madrid,0,2001-05-05
Espanyol,1,2001-05-05
Barcelona,1,2001-05-05
Real Sociedad,0,2001-05-05
Valencia,3,2001-05-05
Alaves,3,2001-05-06
Racing Santander,0,2001-05-06
Osasuna,3,2001-05-06
Mallorca,0,2001-05-06
R. Oviedo,3,2001-05-06
Ath. Bilbao,0,2001-05-06
Rayo Vallecano,1,2001-05-06
La Coruna,1,2001-05-06
Valladolid,1,2001-05-06
Malaga,1,2001-05-06
Villarreal,3,2001-05-06
Las Palmas,0,2001-05-06
Zaragoza,3,2001-05-06
Numancia,0,2001-05-06
La Coruna,3,2001-05-11
Alaves,0,2001-05-11
Villarreal,0,2001-05-12
Real Sociedad,3,2001-05-12
Ath. Bilbao,1,2001-05-13
Valladolid,1,2001-05-13
Barcelona,3,2001-05-13
Rayo Vallecano,0,2001-05-13
Las Palmas,3,2001-05-13
Zaragoza,0,2001-05-13
Malaga,3,2001-05-13
Valencia,0,2001-05-13
Mallorca,3,2001-05-13
Celta Vigo,0,2001-05-13
Numancia,3,2001-05-13
Osasuna,0,2001-05-13
Racing Santander,3,2001-05-13
R. Oviedo,0,2001-05-13
Real Madrid,1,2001-05-13
Espanyol,1,2001-05-13
Valencia,3,2001-05-18
Ath. Bilbao,0,2001-05-18
Alaves,0,2001-05-19
Barcelona,3,2001-05-19
Celta Vigo,1,2001-05-20
Numancia,1,2001-05-20
Espanyol,0,2001-05-20
Mallorca,3,2001-05-20
Osasuna,1,2001-05-20
Las Palmas,1,2001-05-20
R. Oviedo,0,2001-05-20
La Coruna,3,2001-05-20
Rayo Vallecano,0,2001-05-20
Real Madrid,3,2001-05-20
Real Sociedad,3,2001-05-20
Malaga,0,2001-05-20
Valladolid,1,2001-05-20
Racing Santander,1,2001-05-20
Zaragoza,1,2001-05-20
Villarreal,1,2001-05-20
Las Palmas,0,2001-05-26
Celta Vigo,3,2001-05-26
Real Madrid,3,2001-05-26
Alaves,0,2001-05-26
Ath. Bilbao,0,2001-05-27
Malaga,3,2001-05-27
Barcelona,0,2001-05-27
R. Oviedo,3,2001-05-27
La Coruna,0,2001-05-27
Valladolid,3,2001-05-27
Mallorca,3,2001-05-27
Rayo Vallecano,0,2001-05-27
Numancia,3,2001-05-27
Espanyol,0,2001-05-27
Racing Santander,1,2001-05-27
Valencia,1,2001-05-27
Villarreal,3,2001-05-27
Osasuna,0,2001-05-27
Zaragoza,1,2001-05-27
Real Sociedad,1,2001-05-27
Alaves,0,2001-06-10
Mallorca,3,2001-06-10
Ath. Bilbao,0,2001-06-10
Real Sociedad,3,2001-06-10
Celta Vigo,3,2001-06-10
Villarreal,0,2001-06-10
Espanyol,3,2001-06-10
Las Palmas,0,2001-06-10
Malaga,3,2001-06-10
Racing Santander,0,2001-06-10
Osasuna,3,2001-06-10
Zaragoza,0,2001-06-10
R. Oviedo,1,2001-06-10
Real Madrid,1,2001-06-10
Rayo Vallecano,3,2001-06-10
Numancia,0,2001-06-10
Valencia,0,2001-06-10
La Coruna,3,2001-06-10
Valladolid,1,2001-06-10
Barcelona,1,2001-06-10
Las Palmas,3,2001-06-16
Rayo Vallecano,0,2001-06-16
Numancia,3,2001-06-16
Alaves,0,2001-06-16
Racing Santander,3,2001-06-16
Ath. Bilbao,0,2001-06-16
Villarreal,3,2001-06-16
Espanyol,0,2001-06-16
Barcelona,3,2001-06-17
Valencia,0,2001-06-17
La Coruna,3,2001-06-17
Malaga,0,2001-06-17
Mallorca,3,2001-06-17
R. Oviedo,0,2001-06-17
Real Madrid,3,2001-06-17
Valladolid,0,2001-06-17
Real Sociedad,0,2001-06-17
Osasuna,3,2001-06-17
Zaragoza,1,2001-06-17
Celta Vigo,1,2001-06-17
