team,2000,date
Barcelona,3,2000-09-09
Malaga,0,2000-09-09
La Coruna,3,2000-09-09
Ath. Bilbao,0,2000-09-09
Real Madrid,3,2000-09-09
Valencia,0,2000-09-09
Real Sociedad,1,2000-09-09
Racing Santander,1,2000-09-09
Zaragoza,0,2000-09-09
Espanyol,3,2000-09-09
Las Palmas,0,2000-09-10
Alaves,3,2000-09-10
Mallorca,1,2000-09-10
Valladolid,1,2000-09-10
Numancia,3,2000-09-10
R. Oviedo,0,2000-09-10
Osasuna,0,2000-09-10
Celta Vigo,3,2000-09-10
Villarreal,0,2000-09-10
Rayo Vallecano,3,2000-09-10
Ath. Bilbao,3,2000-09-16
Barcelona,0,2000-09-16
Malaga,1,2000-09-16
Real Madrid,1,2000-09-16
Racing Santander,0,2000-09-16
La Coruna,3,2000-09-16
Valencia,3,2000-09-16
Mallorca,0,2000-09-16
Valladolid,3,2000-09-16
Numancia,0,2000-09-16
Alaves,0,2000-09-17
Villarreal,3,2000-09-17
Celta Vigo,3,2000-09-17
Real Sociedad,0,2000-09-17
Espanyol,0,2000-09-17
Osasuna,3,2000-09-17
R. Oviedo,1,2000-09-17
Las Palmas,1,2000-09-17
Rayo Vallecano,1,2000-09-17
Zaragoza,1,2000-09-17
Barcelona,3,2000-09-23
Racing Santander,0,2000-09-23
Las Palmas,1,2000-09-23
Valladolid,1,2000-09-23
Real Madrid,3,2000-09-23
Ath. Bilbao,0,2000-09-23
Real Sociedad,1,2000-09-23
La Coruna,1,2000-09-23
Zaragoza,1,2000-09-23
Alaves,1,2000-09-23
Celta Vigo,3,2000-09-24
Espanyol,0,2000-09-24
Mallorca,0,2000-09-24
Malaga,3,2000-09-24
Numancia,0,2000-09-24
Valencia,3,2000-09-24
Osasuna,1,2000-09-24
Rayo Vallecano,1,2000-09-24
Villarreal,3,2000-09-24
R. Oviedo,0,2000-09-24
Racing Santander,1,2000-09-30
Real Madrid,1,2000-09-30
Alaves,3,2000-10-01
Osasuna,0,2000-10-01
Ath. Bilbao,3,2000-10-01
Mallorca,0,2000-10-01
La Coruna,3,2000-10-01
Barcelona,0,2000-10-01
Malaga,0,2000-10-01
Numancia,3,2000-10-01
R. Oviedo,3,2000-10-01
Zaragoza,0,2000-10-01
Rayo Vallecano,3,2000-10-01
Celta Vigo,0,2000-10-01
Valencia,3,2000-10-01
Las Palmas,0,2000-10-01
Valladolid,1,2000-10-01
Villarreal,1,2000-10-01
Espanyol,1,2000-10-14
Rayo Vallecano,1,2000-10-14
Las Palmas,3,2000-10-14
Malaga,0,2000-10-14
Real Madrid,3,2000-10-14
La Coruna,0,2000-10-14
Real Sociedad,0,2000-10-14
Barcelona,3,2000-10-14
Villarreal,1,2000-10-14
Valencia,1,2000-10-14
Celta Vigo,1,2000-10-15
Alaves,1,2000-10-15
Mallorca,3,2000-10-15
Racing Santander,0,2000-10-15
Numancia,1,2000-10-15
Ath. Bilbao,1,2000-10-15
Osasuna,1,2000-10-15
R. Oviedo,1,2000-10-15
Zaragoza,1,2000-10-15
Valladolid,1,2000-10-15
Espanyol,0,2000-10-18
Real Sociedad,3,2000-10-18
Barcelona,3,2000-10-21
Real Madrid,0,2000-10-21
La Coruna,1,2000-10-21
Mallorca,1,2000-10-21
Valencia,3,2000-10-21
Zaragoza,0,2000-10-21
Alaves,3,2000-10-22
Espanyol,0,2000-10-22
Ath. Bilbao,0,2000-10-22
Las Palmas,3,2000-10-22
Malaga,3,2000-10-22
Villarreal,0,2000-10-22
R. Oviedo,3,2000-10-22
Celta Vigo,0,2000-10-22
Racing Santander,3,2000-10-22
Numancia,0,2000-10-22
Rayo Vallecano,3,2000-10-22
Real Sociedad,0,2000-10-22
Valladolid,1,2000-10-22
Osasuna,1,2000-10-22
Las Palmas,3,2000-10-28
Racing Santander,0,2000-10-28
Mallorca,3,2000-10-28
Barcelona,0,2000-10-28
Numancia,0,2000-10-28
La Coruna,3,2000-10-28
Villarreal,1,2000-10-28
Ath. Bilbao,1,2000-10-28
Zaragoza,1,2000-10-28
Malaga,1,2000-10-28
Celta Vigo,3,2000-10-29
Valladolid,0,2000-10-29
Espanyol,3,2000-10-29
R. Oviedo,0,2000-10-29
Osasuna,0,2000-10-29
Valencia,3,2000-10-29
Rayo Vallecano,0,2000-10-29
Alaves,3,2000-10-29
