team,2004,date
Osasuna,3,2004-11-13
Real Sociedad,0,2004-11-13
Valencia,1,2004-11-13
Zaragoza,1,2004-11-13
Betis,3,2004-11-14
Barcelona,0,2004-11-14
Real Madrid,3,2004-11-14
Albacete,0,2004-11-14
Mallorca,1,2004-11-14
Atl. Madrid,1,2004-11-14
Barcelona,3,2004-11-20
Real Madrid,0,2004-11-20
Malaga,0,2004-11-20
Valencia,3,2004-11-20
Villarreal,0,2004-11-20
La Coruna,3,2004-11-20
Real Sociedad,3,2004-11-21
Ath. Bilbao,0,2004-11-21
Atl. Madrid,3,2004-11-21
Numancia,0,2004-11-21
Albacete,1,2004-11-21
Getafe,1,2004-11-21
Levante,0,2004-11-21
Betis,3,2004-11-21
Racing Santander,1,2004-11-21
Osasuna,1,2004-11-21
Sevilla,3,2004-11-21
Espanyol,0,2004-11-21
Zaragoza,0,2004-11-21
Mallorca,3,2004-11-21
Espanyol,3,2004-11-27
Atl. Madrid,0,2004-11-27
Getafe,0,2004-11-27
Barcelona,3,2004-11-27
Ath. Bilbao,3,2004-11-27
Racing Santander,0,2004-11-27
Valencia,3,2004-11-28
Mallorca,0,2004-11-28
Real Madrid,3,2004-11-28
Levante,0,2004-11-28
Betis,3,2004-11-28
Villarreal,0,2004-11-28
La Coruna,1,2004-11-28
Real Sociedad,1,2004-11-28
Malaga,0,2004-11-28
Albacete,3,2004-11-28
Numancia,3,2004-11-28
Zaragoza,0,2004-11-28
Osasuna,3,2004-11-28
Sevilla,0,2004-11-28
Real Sociedad,3,2004-12-04
Betis,0,2004-12-04
Barcelona,3,2004-12-04
Malaga,0,2004-12-04
Albacete,0,2004-12-04
Valencia,3,2004-12-04
Atl. Madrid,3,2004-12-05
Osasuna,0,2004-12-05
Villarreal,1,2004-12-05
Real Madrid,1,2004-12-05
Levante,1,2004-12-05
Getafe,1,2004-12-05
Mallorca,3,2004-12-05
Numancia,0,2004-12-05
Racing Santander,1,2004-12-05
La Coruna,1,2004-12-05
Sevilla,3,2004-12-05
Ath. Bilbao,0,2004-12-05
Zaragoza,0,2004-12-05
Espanyol,3,2004-12-05
Ath. Bilbao,3,2004-12-11
Atl. Madrid,0,2004-12-11
Albacete,0,2004-12-11
Barcelona,3,2004-12-11
Espanyol,3,2004-12-12
Mallorca,0,2004-12-12
Betis,3,2004-12-12
Racing Santander,0,2004-12-12
Getafe,0,2004-12-12
Villarreal,3,2004-12-12
La Coruna,1,2004-12-12
Sevilla,1,2004-12-12
Malaga,3,2004-12-12
Levante,0,2004-12-12
Osasuna,1,2004-12-12
Zaragoza,1,2004-12-12
Valencia,3,2004-12-12
Numancia,0,2004-12-12
Barcelona,1,2004-12-18
Valencia,1,2004-12-18
Racing Santander,0,2004-12-18
Real Madrid,3,2004-12-18
Levante,1,2004-12-18
Albacete,1,2004-12-18
Atl. Madrid,3,2004-12-19
La Coruna,0,2004-12-19
Sevilla,3,2004-12-19
Betis,0,2004-12-19
Mallorca,0,2004-12-19
Osasuna,3,2004-12-19
Numancia,1,2004-12-19
Espanyol,1,2004-12-19
Real Sociedad,1,2004-12-19
Getafe,1,2004-12-19
Villarreal,3,2004-12-19
Malaga,0,2004-12-19
Zaragoza,0,2004-12-19
Ath. Bilbao,3,2004-12-19
Betis,3,2004-12-21
Atl. Madrid,0,2004-12-21
Barcelona,3,2004-12-21
Levante,0,2004-12-21
Real Madrid,0,2004-12-22
Sevilla,3,2004-12-22
Albacete,1,2004-12-22
Villarreal,1,2004-12-22
Ath. Bilbao,3,2004-12-22
Mallorca,0,2004-12-22
Getafe,3,2004-12-22
Racing Santander,0,2004-12-22
La Coruna,0,2004-12-22
Zaragoza,3,2004-12-22
Malaga,0,2004-12-22
Real Sociedad,3,2004-12-22
Osasuna,3,2004-12-22
Numancia,0,2004-12-22
Valencia,3,2004-12-22
Espanyol,0,2004-12-22
Real Madrid,3,2005-01-05
Real Sociedad,0,2005-01-05
Valencia,3,2005-01-08
Levante,0,2005-01-08
Numancia,1,2005-01-08
Ath. Bilbao,1,2005-01-08
Sevilla,1,2005-01-08
Getafe,1,2005-01-08
Villarreal,3,2005-01-09
Barcelona,0,2005-01-09
Atl. Madrid,0,2005-01-09
Real Madrid,3,2005-01-09
Espanyol,3,2005-01-09
Osasuna,0,2005-01-09
Mallorca,1,2005-01-09
La Coruna,1,2005-01-09
Racing Santander,3,2005-01-09
Malaga,0,2005-01-09
Real Sociedad,0,2005-01-09
Albacete,3,2005-01-09
Zaragoza,3,2005-01-09
Betis,0,2005-01-09
Malaga,3,2005-01-15
Sevilla,0,2005-01-15
Getafe,1,2005-01-15
Atl. Madrid,1,2005-01-15
Real Madrid,3,2005-01-16
Zaragoza,0,2005-01-16
Barcelona,3,2005-01-16
Real Sociedad,0,2005-01-16
Albacete,1,2005-01-16
Racing Santander,1,2005-01-16
Ath. Bilbao,1,2005-01-16
Espanyol,1,2005-01-16
Betis,3,2005-01-16
Mallorca,0,2005-01-16
La Coruna,1,2005-01-16
Numancia,1,2005-01-16
Levante,0,2005-01-16
Villarreal,3,2005-01-16
Osasuna,1,2005-01-16
Valencia,1,2005-01-16
Ath. Bilbao,3,2005-01-22
Osasuna,0,2005-01-22
Barcelona,3,2005-01-22
Racing Santander,0,2005-01-22
Real Madrid,3,2005-01-23
Mallorca,0,2005-01-23
Malaga,3,2005-01-23
Atl. Madrid,0,2005-01-23
Albacete,0,2005-01-23
Sevilla,3,2005-01-23
Betis,3,2005-01-23
Numancia,0,2005-01-23
Getafe,3,2005-01-23
Zaragoza,0,2005-01-23
La Coruna,3,2005-01-23
Espanyol,0,2005-01-23
Levante,3,2005-01-23
Real Sociedad,0,2005-01-23
Villarreal,3,2005-01-23
Valencia,0,2005-01-23
Sevilla,0,2005-01-29
Barcelona,3,2005-01-29
Atl. Madrid,3,2005-01-29
Albacete,0,2005-01-29
Valencia,1,2005-01-30
Ath. Bilbao,1,2005-01-30
Numancia,0,2005-01-30
Real Madrid,3,2005-01-30
Espanyol,1,2005-01-30
Betis,1,2005-01-30
Mallorca,3,2005-01-30
Getafe,0,2005-01-30
Osasuna,1,2005-01-30
La Coruna,1,2005-01-30
Racing Santander,1,2005-01-30
Levante,1,2005-01-30
Real Sociedad,0,2005-01-30
Villarreal,3,2005-01-30
Zaragoza,3,2005-01-30
Malaga,0,2005-01-30
Real Madrid,3,2005-02-05
Espanyol,0,2005-02-05
Real Sociedad,1,2005-02-05
Valencia,1,2005-02-05
Barcelona,0,2005-02-06
Atl. Madrid,3,2005-02-06
La Coruna,1,2005-02-06
Ath. Bilbao,1,2005-02-06
Albacete,3,2005-02-06
Zaragoza,0,2005-02-06
Betis,3,2005-02-06
Osasuna,0,2005-02-06
Getafe,3,2005-02-06
Numancia,0,2005-02-06
Levante,0,2005-02-06
Sevilla,3,2005-02-06
Malaga,1,2005-02-06
Mallorca,1,2005-02-06
Villarreal,3,2005-02-06
Racing Santander,0,2005-02-06
Valencia,0,2005-02-12
La Coruna,3,2005-02-12
Zaragoza,0,2005-02-12
Barcelona,3,2005-02-12
Ath. Bilbao,1,2005-02-13
Betis,1,2005-02-13
Osasuna,0,2005-02-13
Real Madrid,3,2005-02-13
Atl. Madrid,1,2005-02-13
Levante,1,2005-02-13
Espanyol,3,2005-02-13
Getafe,0,2005-02-13
