team,2002,date
Racing Santander,0,2002-08-31
Valladolid,3,2002-08-31
Sevilla,0,2002-09-01
Celta Vigo,3,2002-09-01
Barcelona,1,2002-09-01
Atl. Madrid,1,2002-09-01
La Coruna,0,2002-09-01
Betis,3,2002-09-01
Rec. Huelva,0,2002-09-01
Malaga,3,2002-09-01
Villarreal,1,2002-09-01
Osasuna,1,2002-09-01
Mallorca,0,2002-09-01
Valencia,3,2002-09-01
Rayo Vallecano,1,2002-09-01
Alaves,1,2002-09-01
Real Sociedad,3,2002-09-01
Ath. Bilbao,0,2002-09-01
Real Madrid,3,2002-09-02
Espanyol,0,2002-09-02
Ath. Bilbao,0,2002-09-14
Barcelona,3,2002-09-14
Valencia,3,2002-09-14
Rec. Huelva,0,2002-09-14
Osasuna,0,2002-09-14
La Coruna,3,2002-09-14
Malaga,3,2002-09-14
Rayo Vallecano,0,2002-09-14
Atl. Madrid,1,2002-09-15
Sevilla,1,2002-09-15
Valladolid,3,2002-09-15
Villarreal,0,2002-09-15
Celta Vigo,3,2002-09-15
Mallorca,0,2002-09-15
Alaves,0,2002-09-15
Racing Santander,3,2002-09-15
Espanyol,0,2002-09-15
Real Sociedad,3,2002-09-15
Barcelona,3,2002-09-21
Espanyol,0,2002-09-21
La Coruna,3,2002-09-21
Valladolid,0,2002-09-21
Real Madrid,3,2002-09-21
Osasuna,0,2002-09-21
Malaga,1,2002-09-22
Valencia,1,2002-09-22
Mallorca,0,2002-09-22
Atl. Madrid,3,2002-09-22
Rayo Vallecano,3,2002-09-22
Racing Santander,0,2002-09-22
Real Sociedad,1,2002-09-22
Betis,1,2002-09-22
Rec. Huelva,0,2002-09-22
Celta Vigo,3,2002-09-22
Sevilla,1,2002-09-22
Ath. Bilbao,1,2002-09-22
Villarreal,0,2002-09-22
Alaves,3,2002-09-22
Betis,3,2002-09-28
Barcelona,0,2002-09-28
Valladolid,1,2002-09-28
Real Madrid,1,2002-09-28
Alaves,0,2002-09-28
La Coruna,3,2002-09-28
Osasuna,0,2002-09-29
Real Sociedad,3,2002-09-29
Valencia,3,2002-09-29
Rayo Vallecano,0,2002-09-29
Ath. Bilbao,0,2002-09-29
Mallorca,3,2002-09-29
Atl. Madrid,1,2002-09-29
Rec. Huelva,1,2002-09-29
Celta Vigo,1,2002-09-29
Malaga,1,2002-09-29
Espanyol,1,2002-09-29
Sevilla,1,2002-09-29
Racing Santander,1,2002-09-29
Villarreal,1,2002-09-29
Rec. Huelva,0,2002-10-05
Ath. Bilbao,3,2002-10-05
Sevilla,1,2002-10-06
Betis,1,2002-10-06
Barcelona,1,2002-10-06
Osasuna,1,2002-10-06
La Coruna,0,2002-10-06
Racing Santander,3,2002-10-06
Mallorca,3,2002-10-06
Espanyol,0,2002-10-06
Rayo Vallecano,1,2002-10-06
Villarreal,1,2002-10-06
Valencia,0,2002-10-06
Celta Vigo,3,2002-10-06
Malaga,3,2002-10-06
Atl. Madrid,0,2002-10-06
Real Madrid,3,2002-10-06
Alaves,0,2002-10-06
Real Sociedad,3,2002-10-06
Valladolid,0,2002-10-06
Betis,1,2002-10-08
Real Madrid,1,2002-10-08
Atl. Madrid,1,2002-10-19
Valencia,1,2002-10-19
Racing Santander,3,2002-10-19
Real Madrid,0,2002-10-19
Villarreal,3,2002-10-19
La Coruna,0,2002-10-19
Valladolid,3,2002-10-20
Barcelona,0,2002-10-20
Alaves,1,2002-10-20
Real Sociedad,1,2002-10-20
Ath. Bilbao,1,2002-10-20
Malaga,1,2002-10-20
Celta Vigo,0,2002-10-20
Rayo Vallecano,3,2002-10-20
Espanyol,3,2002-10-20
Rec. Huelva,0,2002-10-20
Osasuna,3,2002-10-20
Sevilla,0,2002-10-20
Betis,0,2002-10-20
Mallorca,3,2002-10-20
Celta Vigo,1,2002-10-26
Atl. Madrid,1,2002-10-26
