team,points,date
Charlton,1,1989-08-19
Derby,1,1989-08-19
Coventry,3,1989-08-19
Everton,0,1989-08-19
Liverpool,3,1989-08-19
Man City,0,1989-08-19
Man Utd,3,1989-08-19
Arsenal,0,1989-08-19
Nottm Forest,1,1989-08-19
Aston Villa,1,1989-08-19
QPR,3,1989-08-19
Crystal Palace,0,1989-08-19
Sheff Wed,0,1989-08-19
Norwich,3,1989-08-19
Arsenal,3,1989-08-22
Coventry,0,1989-08-22
Chelsea,1,1989-08-22
QPR,1,1989-08-22
Crystal Palace,1,1989-08-22
Man Utd,1,1989-08-22
Everton,3,1989-08-22
Tottenham,0,1989-08-22
Luton,3,1989-08-22
Sheff Wed,0,1989-08-22
Millwall,1,1989-08-22
Charlton,1,1989-08-22
Aston Villa,1,1989-08-23
Liverpool,1,1989-08-23
Derby,1,1989-08-23
Wimbledon FC,1,1989-08-23
Man City,0,1989-08-23
Southampton,3,1989-08-23
Norwich,1,1989-08-23
Nottm Forest,1,1989-08-23
Arsenal,1,1989-08-26
Wimbledon FC,1,1989-08-26
Aston Villa,1,1989-08-26
Charlton,1,1989-08-26
Chelsea,3,1989-08-26
Sheff Wed,0,1989-08-26
Crystal Palace,0,1989-08-26
Coventry,3,1989-08-26
Derby,3,1989-08-26
Man Utd,0,1989-08-26
Everton,3,1989-08-26
Southampton,0,1989-08-26
Luton,1,1989-08-26
Liverpool,1,1989-08-26
Man City,1,1989-08-26
Tottenham,1,1989-08-26
Millwall,3,1989-08-26
Nottm Forest,0,1989-08-26
Norwich,1,1989-08-26
QPR,1,1989-08-26
Charlton,3,1989-08-29
Chelsea,0,1989-08-29
Southampton,3,1989-08-29
Aston Villa,0,1989-08-29
Wimbledon FC,1,1989-08-29
Millwall,1,1989-08-29
Coventry,3,1989-08-30
Man City,0,1989-08-30
Man Utd,0,1989-08-30
Norwich,3,1989-08-30
Nottm Forest,3,1989-08-30
Derby,0,1989-08-30
QPR,1,1989-08-30
Luton,1,1989-08-30
Sheff Wed,1,1989-08-30
Everton,1,1989-08-30
Arsenal,3,1989-09-09
Sheff Wed,0,1989-09-09
Aston Villa,3,1989-09-09
Tottenham,0,1989-09-09
Chelsea,1,1989-09-09
Nottm Forest,1,1989-09-09
Crystal Palace,3,1989-09-09
Wimbledon FC,0,1989-09-09
Derby,0,1989-09-09
Liverpool,3,1989-09-09
Everton,3,1989-09-09
Man Utd,0,1989-09-09
Luton,3,1989-09-09
Charlton,0,1989-09-09
Man City,3,1989-09-09
QPR,0,1989-09-09
Millwall,3,1989-09-09
Coventry,0,1989-09-09
Norwich,1,1989-09-09
Southampton,1,1989-09-09
Liverpool,3,1989-09-12
Crystal Palace,0,1989-09-12
Charlton,0,1989-09-16
Everton,3,1989-09-16
Coventry,3,1989-09-16
Luton,0,1989-09-16
Liverpool,1,1989-09-16
Norwich,1,1989-09-16
Man Utd,3,1989-09-16
Millwall,0,1989-09-16
Nottm Forest,0,1989-09-16
Arsenal,3,1989-09-16
QPR,0,1989-09-16
Derby,3,1989-09-16
Sheff Wed,3,1989-09-16
Aston Villa,0,1989-09-16
Southampton,1,1989-09-16
Crystal Palace,1,1989-09-16
Tottenham,0,1989-09-16
Chelsea,3,1989-09-16
Wimbledon FC,3,1989-09-16
Man City,0,1989-09-16
Arsenal,3,1989-09-23
Charlton,0,1989-09-23
Aston Villa,0,1989-09-23
QPR,3,1989-09-23
Chelsea,3,1989-09-23
Coventry,0,1989-09-23
Crystal Palace,3,1989-09-23
Nottm Forest,0,1989-09-23
Derby,0,1989-09-23
Southampton,3,1989-09-23
Everton,0,1989-09-23
Liverpool,3,1989-09-23
Luton,1,1989-09-23
Wimbledon FC,1,1989-09-23
Man City,3,1989-09-23
Man Utd,0,1989-09-23
Millwall,3,1989-09-23
Sheff Wed,0,1989-09-23
Norwich,1,1989-09-23
Tottenham,1,1989-09-23
Aston Villa,3,1989-09-30
Derby,0,1989-09-30
Chelsea,1,1989-09-30
Arsenal,1,1989-09-30
Crystal Palace,3,1989-09-30
Everton,0,1989-09-30
Man City,3,1989-09-30
Luton,0,1989-09-30
Millwall,0,1989-09-30
Norwich,3,1989-09-30
Nottm Forest,3,1989-09-30
Charlton,0,1989-09-30
Sheff Wed,1,1989-09-30
Coventry,1,1989-09-30
Southampton,1,1989-09-30
Wimbledon FC,1,1989-09-30
Tottenham,3,1989-09-30
QPR,0,1989-09-30
Arsenal,3,1989-10-14
Man City,0,1989-10-14
Charlton,0,1989-10-14
Tottenham,3,1989-10-14
Coventry,0,1989-10-14
Nottm Forest,3,1989-10-14
Derby,3,1989-10-14
Crystal Palace,0,1989-10-14
Everton,3,1989-10-14
Millwall,0,1989-10-14
Luton,0,1989-10-14
Aston Villa,3,1989-10-14
Man Utd,1,1989-10-14
Sheff Wed,1,1989-10-14
Norwich,3,1989-10-14
Chelsea,0,1989-10-14
QPR,0,1989-10-14
Southampton,3,1989-10-14
Wimbledon FC,0,1989-10-14
Liverpool,3,1989-10-14
Tottenham,3,1989-10-18
Arsenal,0,1989-10-18
Coventry,0,1989-10-21
Man Utd,3,1989-10-21
Crystal Palace,3,1989-10-21
Millwall,0,1989-10-21
Derby,0,1989-10-21
Chelsea,3,1989-10-21
Everton,3,1989-10-21
Arsenal,0,1989-10-21
Luton,3,1989-10-21
Norwich,0,1989-10-21
QPR,0,1989-10-21
Charlton,3,1989-10-21
Southampton,3,1989-10-21
Liverpool,0,1989-10-21
Tottenham,3,1989-10-21
Sheff Wed,0,1989-10-21
Wimbledon FC,0,1989-10-21
Nottm Forest,3,1989-10-21
Man City,0,1989-10-22
Aston Villa,3,1989-10-22
Arsenal,1,1989-10-28
Derby,1,1989-10-28
