Date,Player,Points
1980-01-01,A.M.E. Roberts (WI),646
1980-01-01,C.M. Old (ENG),613
1980-01-01,R.G.D. Willis (ENG),612
1980-01-01,D.K. Lillee (AUS),567
1980-01-01,Sarfraz Nawaz (PAK),561
1980-01-01,I.T. Botham (ENG),525
1980-01-01,J. Garner (WI),514
1980-01-01,M.A. Holding (WI),501
1980-01-01,R.J. Hadlee (NZ),494
1980-01-01,M.H.N. Walker (AUS),491
1980-01-01,M. Hendrick (ENG),489
1980-01-01,D.L. Underwood (ENG),473
1980-01-01,C.E.H. Croft (WI),469
1980-01-01,G. Dymock (AUS),452
1980-01-01,J.K. Lever (ENG),451
1980-01-01,B.L. Cairns (NZ),446
1980-01-01,Imran Khan (PAK),425
1980-01-01,B.J. McKechnie (NZ),407
1980-01-01,Sikander Bakht (PAK),396
1980-01-01,L.S. Pascoe (AUS),394
1980-01-01,J.R. Thomson (AUS),373
1980-01-01,S. Venkataraghavan (IND),365
1980-01-01,G.R. Dilley (ENG),362
1980-01-01,P.H. Edmonds (ENG),343
1980-01-01,G.S. Chappell (AUS),341
1980-01-01,R.M. Hogg (AUS),327
1980-01-01,M. Amarnath (IND),321
1980-01-01,Majid Khan (PAK),307
1980-01-01,D.S. de Silva (SL),298
1980-01-01,G.B. Troup (NZ),293
1980-01-01,G. Miller (ENG),291
1980-01-01,C.L. King (WI),280
1980-01-01,D.R. Parry (WI),274
1980-01-01,Madan Lal (IND),272
1980-01-01,B. Wood (ENG),267
1980-01-01,K.D. Ghavri (IND),255
1980-01-01,P. Willey (ENG),253
1980-01-01,R.D. Jackman (ENG),251
1980-01-01,Javed Miandad (PAK),245
1980-01-01,I.V.A. Richards (WI),245
1980-01-01,Iqbal Qasim (PAK),244
1980-01-01,C.H. Lloyd (WI),241
1980-01-01,L.W. Kaluperuma (SL),236
1980-01-01,Mudassar Nazar (PAK),236
1980-01-01,Wasim Raja (PAK),226
1980-01-01,Kapil Dev (IND),221
1980-01-01,J.V. Coney (NZ),216
1980-01-01,G.A. Gooch (ENG),206
1980-01-01,A.R. Border (AUS),203
1980-01-01,B. Warnapura (SL),202
1980-01-01,G. Boycott (ENG),192
1980-01-01,R.J. Bright (AUS),188
1980-01-01,I.W. Callen (AUS),179
1980-01-01,K.D. Walters (AUS),178
1980-01-01,M.F. Malone (AUS),157
1980-01-01,G.R.A. de Silva (SL),138
1980-01-01,W.W. Daniel (WI),104
1980-01-01,G.N. Yallop (AUS),99
1980-01-01,A.N. Ranasinghe (SL),97
1980-01-01,E.J. Chatfield (NZ),80
1980-01-01,J.F.M. Morrison (NZ),56
1980-01-01,S.T. Clarke (WI),53
1980-01-01,Sadiq Mohammad (PAK),52
1980-01-01,B. Yardley (AUS),50
1980-01-01,I.M. Chappell (AUS),45
1980-01-01,S.L. Boock (NZ),31
1980-01-01,J.M. Wiener (AUS),28
1980-01-01,G.P. Howarth (NZ),27
1980-01-01,W. Larkins (ENG),26
1980-01-01,M.W. Gatting (ENG),21
1980-01-01,J.M. Parker (NZ),20
1980-01-01,H.A. Gomes (WI),20
1980-01-01,M.G. Burgess (NZ),19
1980-01-01,A.I. Kallicharran (WI),19
1980-01-01,S.M. Gavaskar (IND),18
1980-01-01,D.W. Hookes (AUS),16
1980-01-01,G.N. Edwards (NZ),9
1980-01-01,D. Lloyd (ENG),5
1980-01-01,D.W. Randall (ENG),4
1980-01-01,Zaheer Abbas (PAK),0
1980-01-01,B. Reddy (IND),0
1980-01-01,B.A. Edgar (NZ),0
1980-01-01,C.P.S. Chauhan (IND),0
1980-01-01,Yashpal Sharma (IND),0
1980-01-01,J.G. Wright (NZ),0
1980-01-01,G.M. Turner (NZ),0
1980-01-01,A.M.J. Hilditch (AUS),0
1980-01-01,L.R.D. Mendis (SL),0
1980-01-01,R.L. Dias (SL),0
1980-01-01,R.W. Marsh (AUS),0
1980-01-01,Wasim Bari (PAK),0
1980-01-01,B.M. Laird (AUS),0
1980-01-01,P.R. Downton (ENG),0
1980-01-01,R.S. Madugalle (SL),0
1980-01-01,D.A. Murray (WI),0
1980-01-01,S.C. Khanna (IND),0
1980-01-01,W.K. Lees (NZ),0
1980-01-01,S.F.A.F. Bacchus (WI),0
1980-01-01,D.L. Murray (WI),0
1980-01-01,D.L. Bairstow (ENG),0
1980-02-01,A.M.E. Roberts (WI),735
1980-02-01,D.K. Lillee (AUS),687
1980-02-01,R.G.D. Willis (ENG),622
1980-02-01,C.M. Old (ENG),601
1980-02-01,I.T. Botham (ENG),580
1980-02-01,J. Garner (WI),579
1980-02-01,M.A. Holding (WI),576
1980-02-01,Sarfraz Nawaz (PAK),561
1980-02-01,C.E.H. Croft (WI),518
1980-02-01,R.J. Hadlee (NZ),494
1980-02-01,J.K. Lever (ENG),490
1980-02-01,G. Dymock (AUS),488
1980-02-01,M.H.N. Walker (AUS),487
1980-02-01,M. Hendrick (ENG),479
1980-02-01,D.L. Underwood (ENG),464
1980-02-01,B.L. Cairns (NZ),446
1980-02-01,Imran Khan (PAK),425
1980-02-01,L.S. Pascoe (AUS),408
1980-02-01,B.J. McKechnie (NZ),407
1980-02-01,Sikander Bakht (PAK),396
1980-02-01,G.S. Chappell (AUS),387
1980-02-01,S. Venkataraghavan (IND),365
1980-02-01,J.R. Thomson (AUS),364
1980-02-01,G.R. Dilley (ENG),359
1980-02-01,C.L. King (WI),348
1980-02-01,P.H. Edmonds (ENG),336
1980-02-01,R.M. Hogg (AUS),324
1980-02-01,M. Amarnath (IND),321
1980-02-01,P. Willey (ENG),315
1980-02-01,Majid Khan (PAK),307
1980-02-01,D.S. de Silva (SL),298
1980-02-01,G.B. Troup (NZ),293
1980-02-01,G. Miller (ENG),285
1980-02-01,Madan Lal (IND),272
1980-02-01,D.R. Parry (WI),272
1980-02-01,B. Wood (ENG),261
1980-02-01,K.D. Ghavri (IND),255
1980-02-01,J.E. Emburey (ENG),249
1980-02-01,I.V.A. Richards (WI),248
1980-02-01,R.D. Jackman (ENG),246
1980-02-01,Javed Miandad (PAK),245
1980-02-01,Iqbal Qasim (PAK),244
1980-02-01,C.H. Lloyd (WI),236
1980-02-01,Mudassar Nazar (PAK),236
1980-02-01,L.W. Kaluperuma (SL),236
1980-02-01,Wasim Raja (PAK),226
1980-02-01,G.B. Stevenson (ENG),226
1980-02-01,Kapil Dev (IND),221
1980-02-01,J.V. Coney (NZ),216
1980-02-01,B. Warnapura (SL),202
1980-02-01,A.R. Border (AUS),202
1980-02-01,G.A. Gooch (ENG),199
1980-02-01,G. Boycott (ENG),189
1980-02-01,R.J. Bright (AUS),186
1980-02-01,I.W. Callen (AUS),177
1980-02-01,K.D. Walters (AUS),176
1980-02-01,M.F. Malone (AUS),155
1980-02-01,G.R.A. de Silva (SL),138
1980-02-01,W.W. Daniel (WI),102
1980-02-01,G.N. Yallop (AUS),100
1980-02-01,A.N. Ranasinghe (SL),97
1980-02-01,E.J. Chatfield (NZ),80
1980-02-01,J.F.M. Morrison (NZ),56
1980-02-01,A.I. Kallicharran (WI),54
1980-02-01,Sadiq Mohammad (PAK),52
1980-02-01,S.T. Clarke (WI),52
1980-02-01,B. Yardley (AUS),49
1980-02-01,W. Larkins (ENG),36
1980-02-01,S.L. Boock (NZ),31
1980-02-01,H.A. Gomes (WI),28
1980-02-01,G.P. Howarth (NZ),27
1980-02-01,M.W. Gatting (ENG),21
1980-02-01,J.M. Parker (NZ),20
1980-02-01,M.G. Burgess (NZ),19
1980-02-01,S.M. Gavaskar (IND),18
1980-02-01,D.W. Hookes (AUS),16
1980-02-01,G.N. Edwards (NZ),9
1980-02-01,D. Lloyd (ENG),5
1980-02-01,D.W. Randall (ENG),4
1980-02-01,C.P.S. Chauhan (IND),0
1980-02-01,B.M. Laird (AUS),0
1980-02-01,S.J. Rixon (AUS),0
1980-02-01,R.W. Taylor (ENG),0
1980-02-01,B.A. Edgar (NZ),0
1980-02-01,R.L. Dias (SL),0
1980-02-01,D.L. Murray (WI),0
1980-02-01,A.M.J. Hilditch (AUS),0
1980-02-01,B. Reddy (IND),0
1980-02-01,Yashpal Sharma (IND),0
1980-02-01,K.W.R. Fletcher (ENG),0
1980-02-01,W.K. Lees (NZ),0
1980-02-01,R.S. Madugalle (SL),0
1980-02-01,J.G. Wright (NZ),0
1980-02-01,S.C. Khanna (IND),0
1980-02-01,W.M. Darling (AUS),0
1980-02-01,R.B. McCosker (AUS),0
1980-02-01,J.M. Brearley (ENG),0
1980-02-01,D.I. Gower (ENG),0
1980-02-01,D.L. Bairstow (ENG),0
1980-02-01,S.F.A.F. Bacchus (WI),0
1980-03-01,A.M.E. Roberts (WI),731
1980-03-01,D.K. Lillee (AUS),687
1980-03-01,R.G.D. Willis (ENG),622
1980-03-01,C.M. Old (ENG),601
1980-03-01,M.A. Holding (WI),595
1980-03-01,J. Garner (WI),592
1980-03-01,I.T. Botham (ENG),580
1980-03-01,Sarfraz Nawaz (PAK),561
1980-03-01,R.J. Hadlee (NZ),529
1980-03-01,C.E.H. Croft (WI),510
1980-03-01,J.K. Lever (ENG),490
1980-03-01,G. Dymock (AUS),488
1980-03-01,M.H.N. Walker (AUS),487
1980-03-01,M. Hendrick (ENG),479
1980-03-01,B.L. Cairns (NZ),473
1980-03-01,D.L. Underwood (ENG),464
1980-03-01,Imran Khan (PAK),425
1980-03-01,L.S. Pascoe (AUS),408
1980-03-01,B.J. McKechnie (NZ),405
1980-03-01,Sikander Bakht (PAK),396
1980-03-01,C.L. King (WI),387
1980-03-01,G.S. Chappell (AUS),387
1980-03-01,S. Venkataraghavan (IND),365
1980-03-01,J.R. Thomson (AUS),364
1980-03-01,G.R. Dilley (ENG),359
1980-03-01,P.H. Edmonds (ENG),336
1980-03-01,R.M. Hogg (AUS),324
1980-03-01,M. Amarnath (IND),321
1980-03-01,P. Willey (ENG),315
1980-03-01,Majid Khan (PAK),307
1980-03-01,G.B. Troup (NZ),304
1980-03-01,D.R. Parry (WI),303
1980-03-01,D.S. de Silva (SL),298
1980-03-01,G. Miller (ENG),285
1980-03-01,Madan Lal (IND),272
1980-03-01,B. Wood (ENG),261
1980-03-01,K.D. Ghavri (IND),255
1980-03-01,J.E. Emburey (ENG),249
1980-03-01,I.V.A. Richards (WI),247
1980-03-01,R.D. Jackman (ENG),246
1980-03-01,Javed Miandad (PAK),245
1980-03-01,Iqbal Qasim (PAK),244
1980-03-01,L.W. Kaluperuma (SL),236
1980-03-01,Mudassar Nazar (PAK),236
1980-03-01,C.H. Lloyd (WI),235
1980-03-01,Wasim Raja (PAK),226
1980-03-01,G.B. Stevenson (ENG),226
1980-03-01,Kapil Dev (IND),221
1980-03-01,J.V. Coney (NZ),214
1980-03-01,B. Warnapura (SL),202
1980-03-01,A.R. Border (AUS),202
1980-03-01,G.A. Gooch (ENG),199
1980-03-01,G. Boycott (ENG),189
1980-03-01,R.J. Bright (AUS),186
1980-03-01,I.W. Callen (AUS),177
1980-03-01,K.D. Walters (AUS),176
1980-03-01,M.F. Malone (AUS),155
1980-03-01,G.R.A. de Silva (SL),138
1980-03-01,W.W. Daniel (WI),101
1980-03-01,G.N. Yallop (AUS),100
1980-03-01,A.N. Ranasinghe (SL),97
1980-03-01,E.J. Chatfield (NZ),79
1980-03-01,P.E. McEwan (NZ),68
1980-03-01,J.F.M. Morrison (NZ),55
1980-03-01,A.I. Kallicharran (WI),54
1980-03-01,Sadiq Mohammad (PAK),52
1980-03-01,S.T. Clarke (WI),51
1980-03-01,B. Yardley (AUS),49
1980-03-01,G.P. Howarth (NZ),42
1980-03-01,W. Larkins (ENG),36
1980-03-01,S.L. Boock (NZ),31
1980-03-01,H.A. Gomes (WI),28
1980-03-01,M.W. Gatting (ENG),21
1980-03-01,M.G. Burgess (NZ),19
1980-03-01,J.M. Parker (NZ),19
1980-03-01,S.M. Gavaskar (IND),18
1980-03-01,D.W. Hookes (AUS),16
1980-03-01,G.N. Edwards (NZ),9
1980-03-01,D. Lloyd (ENG),5
1980-03-01,D.W. Randall (ENG),4
1980-03-01,D.L. Murray (WI),0
1980-03-01,Yashpal Sharma (IND),0
1980-03-01,J.F. Reid (NZ),0
1980-03-01,B.M. Laird (AUS),0
1980-03-01,R.S. Madugalle (SL),0
1980-03-01,B.A. Edgar (NZ),0
1980-03-01,J.G. Wright (NZ),0
1980-03-01,C.P.S. Chauhan (IND),0
1980-03-01,R.W. Taylor (ENG),0
1980-03-01,G.M. Turner (NZ),0
1980-03-01,B. Reddy (IND),0
1980-03-01,S.C. Khanna (IND),0
1980-03-01,K.W.R. Fletcher (ENG),0
1980-03-01,A.M.J. Hilditch (AUS),0
1980-03-01,R.L. Dias (SL),0
1980-03-01,W.K. Lees (NZ),0
1980-03-01,C.G. Greenidge (WI),0
1980-03-01,A.D. Gaekwad (IND),0
1980-03-01,D.L. Bairstow (ENG),0
1980-03-01,S.F.A.F. Bacchus (WI),0
1980-04-01,A.M.E. Roberts (WI),731
1980-04-01,D.K. Lillee (AUS),687
1980-04-01,R.G.D. Willis (ENG),622
1980-04-01,C.M. Old (ENG),601
1980-04-01,M.A. Holding (WI),595
1980-04-01,J. Garner (WI),592
1980-04-01,I.T. Botham (ENG),580
1980-04-01,Sarfraz Nawaz (PAK),561
1980-04-01,R.J. Hadlee (NZ),529
1980-04-01,C.E.H. Croft (WI),510
1980-04-01,J.K. Lever (ENG),490
1980-04-01,G. Dymock (AUS),488
1980-04-01,M.H.N. Walker (AUS),487
1980-04-01,M. Hendrick (ENG),479
1980-04-01,B.L. Cairns (NZ),473
1980-04-01,D.L. Underwood (ENG),464
1980-04-01,Imran Khan (PAK),425
1980-04-01,L.S. Pascoe (AUS),408
1980-04-01,B.J. McKechnie (NZ),405
1980-04-01,Sikander Bakht (PAK),396
1980-04-01,C.L. King (WI),387
1980-04-01,G.S. Chappell (AUS),387
1980-04-01,S. Venkataraghavan (IND),365
1980-04-01,J.R. Thomson (AUS),364
1980-04-01,G.R. Dilley (ENG),359
1980-04-01,P.H. Edmonds (ENG),336
1980-04-01,R.M. Hogg (AUS),324
1980-04-01,M. Amarnath (IND),321
1980-04-01,P. Willey (ENG),315
1980-04-01,Majid Khan (PAK),307
1980-04-01,G.B. Troup (NZ),304
1980-04-01,D.R. Parry (WI),303
1980-04-01,D.S. de Silva (SL),298
1980-04-01,G. Miller (ENG),285
1980-04-01,Madan Lal (IND),272
1980-04-01,B. Wood (ENG),261
1980-04-01,K.D. Ghavri (IND),255
1980-04-01,J.E. Emburey (ENG),249
1980-04-01,I.V.A. Richards (WI),247
1980-04-01,R.D. Jackman (ENG),246
1980-04-01,Javed Miandad (PAK),245
1980-04-01,Iqbal Qasim (PAK),244
1980-04-01,L.W. Kaluperuma (SL),236
1980-04-01,Mudassar Nazar (PAK),236
1980-04-01,C.H. Lloyd (WI),235
1980-04-01,Wasim Raja (PAK),226
1980-04-01,G.B. Stevenson (ENG),226
1980-04-01,Kapil Dev (IND),221
1980-04-01,J.V. Coney (NZ),214
1980-04-01,B. Warnapura (SL),202
1980-04-01,A.R. Border (AUS),202
1980-04-01,G.A. Gooch (ENG),199
1980-04-01,G. Boycott (ENG),189
1980-04-01,R.J. Bright (AUS),186
1980-04-01,I.W. Callen (AUS),177
1980-04-01,K.D. Walters (AUS),176
1980-04-01,M.F. Malone (AUS),155
1980-04-01,G.R.A. de Silva (SL),138
1980-04-01,W.W. Daniel (WI),101
1980-04-01,G.N. Yallop (AUS),100
1980-04-01,A.N. Ranasinghe (SL),97
1980-04-01,E.J. Chatfield (NZ),79
1980-04-01,P.E. McEwan (NZ),68
1980-04-01,J.F.M. Morrison (NZ),55
1980-04-01,A.I. Kallicharran (WI),54
1980-04-01,Sadiq Mohammad (PAK),52
1980-04-01,S.T. Clarke (WI),51
1980-04-01,B. Yardley (AUS),49
1980-04-01,G.P. Howarth (NZ),42
1980-04-01,W. Larkins (ENG),36
1980-04-01,S.L. Boock (NZ),31
1980-04-01,H.A. Gomes (WI),28
1980-04-01,M.W. Gatting (ENG),21
1980-04-01,M.G. Burgess (NZ),19
1980-04-01,J.M. Parker (NZ),19
1980-04-01,S.M. Gavaskar (IND),18
1980-04-01,D.W. Hookes (AUS),16
1980-04-01,G.N. Edwards (NZ),9
1980-04-01,D. Lloyd (ENG),5
1980-04-01,D.W. Randall (ENG),4
1980-04-01,D.L. Murray (WI),0
1980-04-01,Yashpal Sharma (IND),0
1980-04-01,J.F. Reid (NZ),0
1980-04-01,B.M. Laird (AUS),0
1980-04-01,R.S. Madugalle (SL),0
1980-04-01,B.A. Edgar (NZ),0
1980-04-01,J.G. Wright (NZ),0
1980-04-01,C.P.S. Chauhan (IND),0
1980-04-01,R.W. Taylor (ENG),0
1980-04-01,G.M. Turner (NZ),0
1980-04-01,B. Reddy (IND),0
1980-04-01,S.C. Khanna (IND),0
1980-04-01,K.W.R. Fletcher (ENG),0
1980-04-01,A.M.J. Hilditch (AUS),0
1980-04-01,R.L. Dias (SL),0
1980-04-01,W.K. Lees (NZ),0
1980-04-01,C.G. Greenidge (WI),0
1980-04-01,A.D. Gaekwad (IND),0
1980-04-01,D.L. Bairstow (ENG),0
1980-04-01,S.F.A.F. Bacchus (WI),0
1980-05-01,A.M.E. Roberts (WI),731
1980-05-01,D.K. Lillee (AUS),687
1980-05-01,R.G.D. Willis (ENG),622
1980-05-01,C.M. Old (ENG),601
1980-05-01,M.A. Holding (WI),595
1980-05-01,J. Garner (WI),592
1980-05-01,I.T. Botham (ENG),580
1980-05-01,Sarfraz Nawaz (PAK),561
1980-05-01,R.J. Hadlee (NZ),529
1980-05-01,C.E.H. Croft (WI),510
1980-05-01,J.K. Lever (ENG),490
1980-05-01,G. Dymock (AUS),488
1980-05-01,M.H.N. Walker (AUS),487
1980-05-01,M. Hendrick (ENG),479
1980-05-01,B.L. Cairns (NZ),473
1980-05-01,D.L. Underwood (ENG),464
1980-05-01,Imran Khan (PAK),425
1980-05-01,L.S. Pascoe (AUS),408
1980-05-01,B.J. McKechnie (NZ),405
1980-05-01,Sikander Bakht (PAK),396
1980-05-01,C.L. King (WI),387
1980-05-01,G.S. Chappell (AUS),387
1980-05-01,S. Venkataraghavan (IND),365
1980-05-01,J.R. Thomson (AUS),364
1980-05-01,G.R. Dilley (ENG),359
1980-05-01,P.H. Edmonds (ENG),336
1980-05-01,R.M. Hogg (AUS),324
1980-05-01,M. Amarnath (IND),321
1980-05-01,P. Willey (ENG),315
1980-05-01,Majid Khan (PAK),307
1980-05-01,G.B. Troup (NZ),304
1980-05-01,D.R. Parry (WI),303
1980-05-01,D.S. de Silva (SL),298
1980-05-01,G. Miller (ENG),285
1980-05-01,Madan Lal (IND),272
1980-05-01,B. Wood (ENG),261
1980-05-01,K.D. Ghavri (IND),255
1980-05-01,J.E. Emburey (ENG),249
1980-05-01,I.V.A. Richards (WI),247
1980-05-01,R.D. Jackman (ENG),246
1980-05-01,Javed Miandad (PAK),245
1980-05-01,Iqbal Qasim (PAK),244
1980-05-01,L.W. Kaluperuma (SL),236
1980-05-01,Mudassar Nazar (PAK),236
1980-05-01,C.H. Lloyd (WI),235
1980-05-01,Wasim Raja (PAK),226
1980-05-01,G.B. Stevenson (ENG),226
1980-05-01,Kapil Dev (IND),221
1980-05-01,J.V. Coney (NZ),214
1980-05-01,B. Warnapura (SL),202
1980-05-01,A.R. Border (AUS),202
1980-05-01,G.A. Gooch (ENG),199
1980-05-01,G. Boycott (ENG),189
1980-05-01,R.J. Bright (AUS),186
1980-05-01,I.W. Callen (AUS),177
1980-05-01,K.D. Walters (AUS),176
1980-05-01,M.F. Malone (AUS),155
1980-05-01,G.R.A. de Silva (SL),138
1980-05-01,W.W. Daniel (WI),101
1980-05-01,G.N. Yallop (AUS),100
1980-05-01,A.N. Ranasinghe (SL),97
1980-05-01,E.J. Chatfield (NZ),79
1980-05-01,P.E. McEwan (NZ),68
1980-05-01,J.F.M. Morrison (NZ),55
1980-05-01,A.I. Kallicharran (WI),54
1980-05-01,Sadiq Mohammad (PAK),52
1980-05-01,S.T. Clarke (WI),51
1980-05-01,B. Yardley (AUS),49
1980-05-01,G.P. Howarth (NZ),42
1980-05-01,W. Larkins (ENG),36
1980-05-01,S.L. Boock (NZ),31
1980-05-01,H.A. Gomes (WI),28
1980-05-01,M.W. Gatting (ENG),21
1980-05-01,M.G. Burgess (NZ),19
1980-05-01,J.M. Parker (NZ),19
1980-05-01,S.M. Gavaskar (IND),18
1980-05-01,D.W. Hookes (AUS),16
1980-05-01,G.N. Edwards (NZ),9
1980-05-01,D. Lloyd (ENG),5
1980-05-01,D.W. Randall (ENG),4
1980-05-01,D.L. Murray (WI),0
1980-05-01,Yashpal Sharma (IND),0
1980-05-01,J.F. Reid (NZ),0
1980-05-01,B.M. Laird (AUS),0
1980-05-01,R.S. Madugalle (SL),0
1980-05-01,B.A. Edgar (NZ),0
1980-05-01,J.G. Wright (NZ),0
1980-05-01,C.P.S. Chauhan (IND),0
1980-05-01,R.W. Taylor (ENG),0
1980-05-01,G.M. Turner (NZ),0
1980-05-01,B. Reddy (IND),0
1980-05-01,S.C. Khanna (IND),0
1980-05-01,K.W.R. Fletcher (ENG),0
1980-05-01,A.M.J. Hilditch (AUS),0
1980-05-01,R.L. Dias (SL),0
1980-05-01,W.K. Lees (NZ),0
1980-05-01,C.G. Greenidge (WI),0
1980-05-01,A.D. Gaekwad (IND),0
1980-05-01,D.L. Bairstow (ENG),0
1980-05-01,S.F.A.F. Bacchus (WI),0
1980-06-01,A.M.E. Roberts (WI),739
1980-06-01,D.K. Lillee (AUS),687
1980-06-01,R.G.D. Willis (ENG),645
1980-06-01,C.M. Old (ENG),644
1980-06-01,M.A. Holding (WI),641
1980-06-01,J. Garner (WI),617
1980-06-01,I.T. Botham (ENG),576
1980-06-01,Sarfraz Nawaz (PAK),561
1980-06-01,R.J. Hadlee (NZ),529
1980-06-01,C.E.H. Croft (WI),505
1980-06-01,J.K. Lever (ENG),498
1980-06-01,G. Dymock (AUS),488
1980-06-01,M.H.N. Walker (AUS),487
1980-06-01,M. Hendrick (ENG),474
1980-06-01,B.L. Cairns (NZ),473
1980-06-01,D.L. Underwood (ENG),459
1980-06-01,Imran Khan (PAK),425
1980-06-01,L.S. Pascoe (AUS),408
1980-06-01,B.J. McKechnie (NZ),405
1980-06-01,Sikander Bakht (PAK),396
1980-06-01,G.S. Chappell (AUS),387
1980-06-01,C.L. King (WI),380
1980-06-01,S. Venkataraghavan (IND),365
1980-06-01,J.R. Thomson (AUS),364
1980-06-01,G.R. Dilley (ENG),355
1980-06-01,P.H. Edmonds (ENG),333
1980-06-01,R.M. Hogg (AUS),324
1980-06-01,M. Amarnath (IND),321
1980-06-01,P. Willey (ENG),314
1980-06-01,Majid Khan (PAK),307
1980-06-01,G.B. Troup (NZ),304
1980-06-01,D.R. Parry (WI),300
1980-06-01,D.S. de Silva (SL),298
1980-06-01,G. Miller (ENG),282
1980-06-01,Madan Lal (IND),272
1980-06-01,M.D. Marshall (WI),261
1980-06-01,B. Wood (ENG),259
1980-06-01,K.D. Ghavri (IND),255
1980-06-01,I.V.A. Richards (WI),251
1980-06-01,J.E. Emburey (ENG),247
1980-06-01,Javed Miandad (PAK),245
1980-06-01,Iqbal Qasim (PAK),244
1980-06-01,R.D. Jackman (ENG),244
1980-06-01,Mudassar Nazar (PAK),236
1980-06-01,L.W. Kaluperuma (SL),236
1980-06-01,C.H. Lloyd (WI),233
1980-06-01,Wasim Raja (PAK),226
1980-06-01,G.B. Stevenson (ENG),223
1980-06-01,Kapil Dev (IND),221
1980-06-01,G.A. Gooch (ENG),215
1980-06-01,J.V. Coney (NZ),214
1980-06-01,B. Warnapura (SL),202
1980-06-01,A.R. Border (AUS),202
1980-06-01,G. Boycott (ENG),188
1980-06-01,R.J. Bright (AUS),186
1980-06-01,I.W. Callen (AUS),177
1980-06-01,K.D. Walters (AUS),176
1980-06-01,M.F. Malone (AUS),155
1980-06-01,V.J. Marks (ENG),147
1980-06-01,G.R.A. de Silva (SL),138
1980-06-01,G.N. Yallop (AUS),100
1980-06-01,W.W. Daniel (WI),100
1980-06-01,A.N. Ranasinghe (SL),97
1980-06-01,C.G. Greenidge (WI),85
1980-06-01,E.J. Chatfield (NZ),79
1980-06-01,P.E. McEwan (NZ),68
1980-06-01,J.F.M. Morrison (NZ),55
1980-06-01,A.I. Kallicharran (WI),54
1980-06-01,Sadiq Mohammad (PAK),52
1980-06-01,S.T. Clarke (WI),51
1980-06-01,B. Yardley (AUS),49
1980-06-01,G.P. Howarth (NZ),42
1980-06-01,W. Larkins (ENG),36
1980-06-01,S.L. Boock (NZ),31
1980-06-01,H.A. Gomes (WI),27
1980-06-01,M.W. Gatting (ENG),20
1980-06-01,J.M. Parker (NZ),19
1980-06-01,M.G. Burgess (NZ),19
1980-06-01,S.M. Gavaskar (IND),18
1980-06-01,D.W. Hookes (AUS),16
1980-06-01,G.N. Edwards (NZ),9
1980-06-01,D.W. Randall (ENG),4
1980-06-01,B.A. Edgar (NZ),0
1980-06-01,J.G. Wright (NZ),0
1980-06-01,C.P.S. Chauhan (IND),0
1980-06-01,G.M. Turner (NZ),0
1980-06-01,B. Reddy (IND),0
1980-06-01,R.W. Taylor (ENG),0
1980-06-01,A.M.J. Hilditch (AUS),0
1980-06-01,K.W.R. Fletcher (ENG),0
1980-06-01,B.M. Laird (AUS),0
1980-06-01,Yashpal Sharma (IND),0
1980-06-01,R.L. Dias (SL),0
1980-06-01,W.K. Lees (NZ),0
1980-06-01,R.S. Madugalle (SL),0
1980-06-01,J.F. Reid (NZ),0
1980-06-01,S.C. Khanna (IND),0
1980-06-01,Mohsin Khan (PAK),0
1980-06-01,D.L. Haynes (WI),0
1980-06-01,D.B. Vengsarkar (IND),0
1980-07-01,A.M.E. Roberts (WI),739
1980-07-01,D.K. Lillee (AUS),687
1980-07-01,R.G.D. Willis (ENG),645
1980-07-01,C.M. Old (ENG),644
1980-07-01,M.A. Holding (WI),641
1980-07-01,J. Garner (WI),617
1980-07-01,I.T. Botham (ENG),576
1980-07-01,Sarfraz Nawaz (PAK),561
1980-07-01,R.J. Hadlee (NZ),529
1980-07-01,C.E.H. Croft (WI),505
1980-07-01,J.K. Lever (ENG),498
1980-07-01,G. Dymock (AUS),488
1980-07-01,M.H.N. Walker (AUS),487
1980-07-01,M. Hendrick (ENG),474
1980-07-01,B.L. Cairns (NZ),473
1980-07-01,D.L. Underwood (ENG),459
1980-07-01,Imran Khan (PAK),425
1980-07-01,L.S. Pascoe (AUS),408
1980-07-01,B.J. McKechnie (NZ),405
1980-07-01,Sikander Bakht (PAK),396
1980-07-01,G.S. Chappell (AUS),387
1980-07-01,C.L. King (WI),380
1980-07-01,S. Venkataraghavan (IND),365
1980-07-01,J.R. Thomson (AUS),364
1980-07-01,G.R. Dilley (ENG),355
1980-07-01,P.H. Edmonds (ENG),333
1980-07-01,R.M. Hogg (AUS),324
1980-07-01,M. Amarnath (IND),321
1980-07-01,P. Willey (ENG),314
1980-07-01,Majid Khan (PAK),307
1980-07-01,G.B. Troup (NZ),304
1980-07-01,D.R. Parry (WI),300
1980-07-01,D.S. de Silva (SL),298
1980-07-01,G. Miller (ENG),282
1980-07-01,Madan Lal (IND),272
1980-07-01,M.D. Marshall (WI),261
1980-07-01,B. Wood (ENG),259
1980-07-01,K.D. Ghavri (IND),255
1980-07-01,I.V.A. Richards (WI),251
1980-07-01,J.E. Emburey (ENG),247
1980-07-01,Javed Miandad (PAK),245
1980-07-01,Iqbal Qasim (PAK),244
1980-07-01,R.D. Jackman (ENG),244
1980-07-01,Mudassar Nazar (PAK),236
1980-07-01,L.W. Kaluperuma (SL),236
1980-07-01,C.H. Lloyd (WI),233
1980-07-01,Wasim Raja (PAK),226
1980-07-01,G.B. Stevenson (ENG),223
