team,points,date
Aston Villa,1,1990-08-25
Southampton,1,1990-08-25
Chelsea,3,1990-08-25
Derby,0,1990-08-25
Everton,0,1990-08-25
Leeds,3,1990-08-25
Luton,1,1990-08-25
Crystal Palace,1,1990-08-25
Man Utd,3,1990-08-25
Coventry,0,1990-08-25
Norwich,3,1990-08-25
Sunderland,0,1990-08-25
Nottm Forest,1,1990-08-25
QPR,1,1990-08-25
Sheff Utd,0,1990-08-25
Liverpool,3,1990-08-25
Tottenham,3,1990-08-25
Man City,0,1990-08-25
Wimbledon FC,0,1990-08-25
Arsenal,3,1990-08-25
Crystal Palace,3,1990-08-28
Chelsea,0,1990-08-28
Leeds,1,1990-08-28
Man Utd,1,1990-08-28
Liverpool,3,1990-08-28
Nottm Forest,0,1990-08-28
Southampton,3,1990-08-28
Norwich,0,1990-08-28
Sunderland,1,1990-08-28
Tottenham,1,1990-08-28
Arsenal,3,1990-08-29
Luton,0,1990-08-29
Coventry,3,1990-08-29
Everton,0,1990-08-29
Derby,1,1990-08-29
Sheff Utd,1,1990-08-29
QPR,0,1990-08-29
Wimbledon FC,3,1990-08-29
Arsenal,1,1990-09-01
Tottenham,1,1990-09-01
Coventry,1,1990-09-01
Nottm Forest,1,1990-09-01
Crystal Palace,3,1990-09-01
Sheff Utd,0,1990-09-01
Derby,1,1990-09-01
Wimbledon FC,1,1990-09-01
Leeds,3,1990-09-01
Norwich,0,1990-09-01
Liverpool,3,1990-09-01
Aston Villa,0,1990-09-01
Man City,3,1990-09-01
Everton,0,1990-09-01
QPR,3,1990-09-01
Chelsea,0,1990-09-01
Southampton,0,1990-09-01
Luton,3,1990-09-01
Sunderland,3,1990-09-01
Man Utd,0,1990-09-01
Luton,0,1990-09-04
Man Utd,3,1990-09-04
Man City,3,1990-09-05
Aston Villa,0,1990-09-05
Aston Villa,3,1990-09-08
Coventry,0,1990-09-08
Chelsea,3,1990-09-08
Sunderland,0,1990-09-08
Everton,1,1990-09-08
Arsenal,1,1990-09-08
Luton,3,1990-09-08
Leeds,0,1990-09-08
Man Utd,3,1990-09-08
QPR,0,1990-09-08
Norwich,0,1990-09-08
Crystal Palace,3,1990-09-08
Nottm Forest,3,1990-09-08
Southampton,0,1990-09-08
Sheff Utd,1,1990-09-08
Man City,1,1990-09-08
Tottenham,3,1990-09-08
Derby,0,1990-09-08
Wimbledon FC,0,1990-09-08
Liverpool,3,1990-09-08
Arsenal,3,1990-09-15
Chelsea,0,1990-09-15
Coventry,1,1990-09-15
Wimbledon FC,1,1990-09-15
Crystal Palace,1,1990-09-15
Nottm Forest,1,1990-09-15
Derby,0,1990-09-15
Aston Villa,3,1990-09-15
Leeds,0,1990-09-15
Tottenham,3,1990-09-15
Man City,3,1990-09-15
Norwich,0,1990-09-15
QPR,3,1990-09-15
Luton,0,1990-09-15
Southampton,3,1990-09-15
Sheff Utd,0,1990-09-15
Sunderland,1,1990-09-15
Everton,1,1990-09-15
Liverpool,3,1990-09-16
Man Utd,0,1990-09-16
Aston Villa,1,1990-09-22
QPR,1,1990-09-22
Chelsea,1,1990-09-22
Man City,1,1990-09-22
Everton,0,1990-09-22
Liverpool,3,1990-09-22
Luton,3,1990-09-22
Coventry,0,1990-09-22
Man Utd,3,1990-09-22
Southampton,0,1990-09-22
Norwich,3,1990-09-22
Derby,0,1990-09-22
Nottm Forest,0,1990-09-22
Arsenal,3,1990-09-22
Tottenham,1,1990-09-22
Crystal Palace,1,1990-09-22
Wimbledon FC,1,1990-09-22
Sunderland,1,1990-09-22
Sheff Utd,0,1990-09-23
Leeds,3,1990-09-23
Chelsea,1,1990-09-29
Sheff Utd,1,1990-09-29
Coventry,3,1990-09-29
QPR,0,1990-09-29
Derby,0,1990-09-29
Crystal Palace,3,1990-09-29
Everton,3,1990-09-29
Southampton,0,1990-09-29
Leeds,1,1990-09-29
Arsenal,1,1990-09-29
Man Utd,0,1990-09-29
Nottm Forest,3,1990-09-29
Norwich,0,1990-09-29
Luton,3,1990-09-29
Sunderland,0,1990-09-29
Liverpool,3,1990-09-29
Tottenham,3,1990-09-29
Aston Villa,0,1990-09-29
Wimbledon FC,1,1990-09-29
Man City,1,1990-09-29
Arsenal,3,1990-10-06
Norwich,0,1990-10-06
Aston Villa,3,1990-10-06
Sunderland,0,1990-10-06
Crystal Palace,1,1990-10-06
Leeds,1,1990-10-06
Liverpool,3,1990-10-06
Derby,0,1990-10-06
Man City,3,1990-10-06
Coventry,0,1990-10-06
QPR,1,1990-10-06
Tottenham,1,1990-10-06
Sheff Utd,0,1990-10-06
Wimbledon FC,3,1990-10-06
Southampton,1,1990-10-06
Chelsea,1,1990-10-06
Nottm Forest,3,1990-10-07
Everton,0,1990-10-07
Chelsea,1,1990-10-20
Nottm Forest,1,1990-10-20
Coventry,0,1990-10-20
Southampton,3,1990-10-20
Derby,1,1990-10-20
Man City,1,1990-10-20
Everton,1,1990-10-20
Crystal Palace,1,1990-10-20
Leeds,0,1990-10-20
QPR,3,1990-10-20
Man Utd,0,1990-10-20
Arsenal,3,1990-10-20
Norwich,1,1990-10-20
Liverpool,1,1990-10-20
Sunderland,3,1990-10-20
Luton,0,1990-10-20
Tottenham,3,1990-10-20
Sheff Utd,0,1990-10-20
Wimbledon FC,1,1990-10-20
Aston Villa,1,1990-10-20
Arsenal,3,1990-10-27
Sunderland,0,1990-10-27
Aston Villa,1,1990-10-27
Leeds,1,1990-10-27
Crystal Palace,3,1990-10-27
Wimbledon FC,0,1990-10-27
Liverpool,3,1990-10-27
Chelsea,0,1990-10-27
Luton,1,1990-10-27
Everton,1,1990-10-27
Man City,1,1990-10-27
Man Utd,1,1990-10-27
Nottm Forest,0,1990-10-27
Tottenham,3,1990-10-27
QPR,0,1990-10-27
Norwich,3,1990-10-27
Sheff Utd,0,1990-10-27
Coventry,3,1990-10-27
Southampton,0,1990-10-27
Derby,3,1990-10-27
Chelsea,3,1990-11-03
Aston Villa,0,1990-11-03
Coventry,0,1990-11-03
Arsenal,3,1990-11-03
Derby,3,1990-11-03
Luton,0,1990-11-03
Everton,3,1990-11-03
QPR,0,1990-11-03
Leeds,3,1990-11-03
Nottm Forest,0,1990-11-03
Man Utd,3,1990-11-03
Crystal Palace,0,1990-11-03
Norwich,3,1990-11-03
Sheff Utd,0,1990-11-03
Sunderland,1,1990-11-03
Man City,1,1990-11-03
Wimbledon FC,1,1990-11-03
Southampton,1,1990-11-03
Tottenham,0,1990-11-04
Liverpool,3,1990-11-04
Aston Villa,1,1990-11-10
Nottm Forest,1,1990-11-10
Chelsea,1,1990-11-10
Norwich,1,1990-11-10
Crystal Palace,1,1990-11-10
Arsenal,1,1990-11-10
Derby,1,1990-11-10
Man Utd,1,1990-11-10
Liverpool,3,1990-11-10
Luton,0,1990-11-10
Sheff Utd,1,1990-11-10
Everton,1,1990-11-10
Southampton,3,1990-11-10
QPR,0,1990-11-10
Sunderland,1,1990-11-10
Coventry,1,1990-11-10
Tottenham,3,1990-11-10
Wimbledon FC,0,1990-11-10
Man City,0,1990-11-11
Leeds,3,1990-11-11
Arsenal,3,1990-11-17
Southampton,0,1990-11-17
Coventry,0,1990-11-17
Liverpool,3,1990-11-17
Leeds,3,1990-11-17
Derby,0,1990-11-17
Luton,1,1990-11-17
Man City,1,1990-11-17
Man Utd,3,1990-11-17
Sheff Utd,0,1990-11-17
Norwich,3,1990-11-17
Aston Villa,0,1990-11-17
Nottm Forest,3,1990-11-17
Sunderland,0,1990-11-17
QPR,0,1990-11-17
Crystal Palace,3,1990-11-17
Wimbledon FC,3,1990-11-17
Chelsea,0,1990-11-17
Everton,1,1990-11-18
Tottenham,1,1990-11-18
Coventry,1,1990-11-24
Leeds,1,1990-11-24
Derby,3,1990-11-24
Nottm Forest,0,1990-11-24
Liverpool,1,1990-11-24
Man City,1,1990-11-24
Luton,3,1990-11-24
Aston Villa,0,1990-11-24
QPR,0,1990-11-24
Arsenal,3,1990-11-24
Sheff Utd,0,1990-11-24
Sunderland,3,1990-11-24
Southampton,0,1990-11-24
Crystal Palace,3,1990-11-24
Tottenham,3,1990-11-24
Norwich,0,1990-11-24
Wimbledon FC,3,1990-11-24
Everton,0,1990-11-24
Man Utd,0,1990-11-25
Chelsea,3,1990-11-25
Aston Villa,3,1990-12-01
Sheff Utd,0,1990-12-01
Chelsea,3,1990-12-01
Tottenham,0,1990-12-01
Crystal Palace,3,1990-12-01
Coventry,0,1990-12-01
Everton,0,1990-12-01
Man Utd,3,1990-12-01
Leeds,3,1990-12-01
Southampton,0,1990-12-01
Man City,3,1990-12-01
QPR,0,1990-12-01
Norwich,0,1990-12-01
Wimbledon FC,3,1990-12-01
Nottm Forest,1,1990-12-01
Luton,1,1990-12-01
Sunderland,0,1990-12-01
Derby,3,1990-12-01
Arsenal,3,1990-12-02
Liverpool,0,1990-12-02
Chelsea,3,1990-12-08
Crystal Palace,0,1990-12-08
Everton,3,1990-12-08
Coventry,0,1990-12-08
Luton,1,1990-12-08
Arsenal,1,1990-12-08
Man Utd,1,1990-12-08
Leeds,1,1990-12-08
Norwich,3,1990-12-08
Southampton,0,1990-12-08
Tottenham,1,1990-12-08
Sunderland,1,1990-12-08
Wimbledon FC,3,1990-12-08
QPR,0,1990-12-08
Arsenal,1,1990-12-15
Wimbledon FC,1,1990-12-15
Coventry,1,1990-12-15
Man Utd,1,1990-12-15
Derby,0,1990-12-15
Chelsea,3,1990-12-15
Liverpool,3,1990-12-15
Sheff Utd,0,1990-12-15
Man City,3,1990-12-15
Tottenham,0,1990-12-15
QPR,0,1990-12-15
Nottm Forest,3,1990-12-15
Southampton,1,1990-12-15
Aston Villa,1,1990-12-15
Sunderland,0,1990-12-15
Norwich,3,1990-12-15
Crystal Palace,3,1990-12-16
Luton,0,1990-12-16
Leeds,3,1990-12-16
Everton,0,1990-12-16
Chelsea,3,1990-12-22
Coventry,0,1990-12-22
Liverpool,3,1990-12-22
Southampton,0,1990-12-22
Man City,0,1990-12-22
Crystal Palace,3,1990-12-22
Norwich,3,1990-12-22
Everton,0,1990-12-22
Sheff Utd,3,1990-12-22
Nottm Forest,0,1990-12-22
Tottenham,1,1990-12-22
Luton,1,1990-12-22
Wimbledon FC,0,1990-12-22
Man Utd,3,1990-12-22
Aston Villa,1,1990-12-23
Arsenal,1,1990-12-23
Derby,1,1990-12-23
QPR,1,1990-12-23
Sunderland,0,1990-12-23
Leeds,3,1990-12-23
Arsenal,3,1990-12-26
