,Charlton Athletic,Manchester City,Chelsea,West Ham United,Coventry City,Middlesbrough,Derby County,Southampton,Leeds United,Everton,Leicester City,Aston Villa,Liverpool,Bradford City,Sunderland,Arsenal,Tottenham Hotspur,Ipswich Town,Manchester United,Newcastle United
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Coventry_City_F.C._logo.png/270px-Coventry_City_F.C._logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Bradford_City_AFC.png/195px-Bradford_City_AFC.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Ipswich_Town.svg/225px-Ipswich_Town.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2000-11-25,21,14,16,21,12,11,10,17,21,21,26,23,24,8,23,28,23,27,36,20
2000-11-26,21,14,16,21,12,11,10,17,24,21,26,23,24,8,23,28,23,27,36,23
2000-12-02,21,14,16,24,12,11,13,17,24,21,29,24,27,11,23,31,23,27,39,24
2000-12-03,21,14,19,24,12,11,13,17,24,21,29,24,27,11,23,31,23,27,39,24
2000-12-04,21,14,19,24,12,11,13,17,24,21,29,24,27,11,26,31,23,27,39,24
2000-12-09,22,17,22,25,12,11,13,20,24,21,29,25,27,12,29,34,24,27,40,24
2000-12-10,22,17,22,25,15,11,13,20,24,21,29,25,27,12,29,34,24,30,40,24
2000-12-16,22,18,22,26,15,14,16,20,27,22,32,26,27,12,29,34,24,33,40,27
2000-12-17,22,18,22,26,15,14,16,20,27,22,32,26,30,12,29,34,24,33,40,27
2000-12-18,22,18,22,26,15,14,16,20,27,22,32,26,30,12,29,35,25,33,40,27
2000-12-22,22,18,22,26,16,14,16,21,27,22,32,26,30,12,29,35,25,33,40,27
2000-12-23,25,18,25,26,16,15,19,21,27,22,35,29,33,12,32,35,26,33,43,27
2000-12-26,25,19,26,29,19,18,20,21,27,22,35,29,33,12,35,38,26,34,46,30
2000-12-27,25,19,26,29,19,18,20,24,27,22,35,29,33,12,35,38,26,34,46,30
2000-12-30,28,19,26,29,20,19,20,27,27,22,35,29,33,12,36,39,26,37,47,31
2001-01-01,31,20,29,29,21,20,23,27,28,22,35,29,36,15,39,39,26,37,50,31
2001-01-02,31,20,29,29,21,20,23,27,28,22,35,29,36,15,39,39,29,37,50,31
2001-01-13,32,20,30,29,21,23,23,28,31,23,35,29,39,15,42,40,30,37,53,34
2001-01-14,32,20,30,29,21,23,23,28,31,23,35,29,39,15,42,40,30,40,53,34
2001-01-20,32,21,33,29,21,24,24,29,31,26,36,29,40,15,42,41,31,40,56,37
2001-01-21,32,21,33,29,21,24,24,29,31,26,36,29,40,16,43,41,31,40,56,37
2001-01-22,33,21,33,30,21,24,24,29,31,26,36,29,40,16,43,41,31,40,56,37
2001-01-24,33,21,33,30,21,24,24,29,34,26,36,29,40,16,43,41,31,40,56,37
2001-01-30,36,21,33,30,21,24,24,29,34,26,36,29,40,16,43,44,31,40,56,37
2001-01-31,36,22,36,31,21,25,24,32,37,27,36,29,41,16,43,44,32,40,59,37
2001-02-03,37,23,36,31,21,26,27,32,40,27,39,32,44,16,43,47,33,40,62,37
2001-02-07,37,23,36,31,21,26,27,32,41,28,39,32,44,16,43,47,33,40,62,37
2001-02-10,37,23,37,31,21,27,28,35,42,31,39,33,45,16,44,50,36,40,63,37
2001-02-11,40,23,37,31,21,27,28,35,42,31,39,33,45,16,44,50,36,40,63,37
