team,points,date
Middlesbrough,1,2004-08-14
Newcastle,1,2004-08-14
Aston Villa,3,2004-08-14
Southampton,0,2004-08-14
Blackburn,1,2004-08-14
West Brom,1,2004-08-14
Bolton,3,2004-08-14
Charlton,0,2004-08-14
Man City,1,2004-08-14
Fulham,1,2004-08-14
Norwich,1,2004-08-14
Crystal Palace,1,2004-08-14
Portsmouth,1,2004-08-14
Birmingham,1,2004-08-14
Tottenham,1,2004-08-14
Liverpool,1,2004-08-14
Chelsea,3,2004-08-15
Man Utd,0,2004-08-15
Everton,0,2004-08-15
Arsenal,3,2004-08-15
Man Utd,3,2004-08-21
Norwich,0,2004-08-21
Birmingham,0,2004-08-21
Chelsea,3,2004-08-21
Charlton,3,2004-08-21
Portsmouth,0,2004-08-21
Crystal Palace,0,2004-08-21
Everton,3,2004-08-21
Fulham,3,2004-08-21
Bolton,0,2004-08-21
Liverpool,3,2004-08-21
Man City,0,2004-08-21
Newcastle,0,2004-08-21
Tottenham,3,2004-08-21
Southampton,3,2004-08-21
Blackburn,0,2004-08-21
Arsenal,3,2004-08-22
Middlesbrough,0,2004-08-22
West Brom,1,2004-08-22
Aston Villa,1,2004-08-22
Crystal Palace,0,2004-08-24
Chelsea,3,2004-08-24
Birmingham,3,2004-08-24
Man City,0,2004-08-24
Charlton,3,2004-08-25
Aston Villa,0,2004-08-25
Newcastle,1,2004-08-25
Norwich,1,2004-08-25
Arsenal,3,2004-08-25
Blackburn,0,2004-08-25
Fulham,0,2004-08-25
Middlesbrough,3,2004-08-25
Southampton,0,2004-08-25
Bolton,3,2004-08-25
West Brom,1,2004-08-25
Tottenham,1,2004-08-25
Norwich,0,2004-08-28
Arsenal,3,2004-08-28
Aston Villa,3,2004-08-28
Newcastle,0,2004-08-28
Chelsea,3,2004-08-28
Southampton,0,2004-08-28
Everton,3,2004-08-28
West Brom,0,2004-08-28
Man City,3,2004-08-28
Charlton,0,2004-08-28
Middlesbrough,3,2004-08-28
Crystal Palace,0,2004-08-28
Tottenham,3,2004-08-28
Birmingham,0,2004-08-28
Blackburn,1,2004-08-28
Man Utd,1,2004-08-28
Bolton,3,2004-08-29
Liverpool,0,2004-08-29
Portsmouth,3,2004-08-30
Fulham,0,2004-08-30
Man Utd,1,2004-08-30
Everton,1,2004-08-30
Portsmouth,3,2004-09-11
Crystal Palace,0,2004-09-11
Bolton,1,2004-09-11
Man Utd,1,2004-09-11
Fulham,0,2004-09-11
Arsenal,3,2004-09-11
Liverpool,3,2004-09-11
West Brom,0,2004-09-11
Man City,0,2004-09-11
Everton,3,2004-09-11
Middlesbrough,3,2004-09-11
Birmingham,0,2004-09-11
Newcastle,3,2004-09-11
Blackburn,0,2004-09-11
Aston Villa,1,2004-09-11
Chelsea,1,2004-09-11
Tottenham,1,2004-09-12
Norwich,1,2004-09-12
Charlton,1,2004-09-13
Southampton,1,2004-09-13
Birmingham,1,2004-09-18
Charlton,1,2004-09-18
Blackburn,3,2004-09-18
Portsmouth,0,2004-09-18
Crystal Palace,0,2004-09-18
Man City,3,2004-09-18
Norwich,1,2004-09-18
Aston Villa,1,2004-09-18
West Brom,1,2004-09-18
Fulham,1,2004-09-18
Arsenal,1,2004-09-18
Bolton,1,2004-09-18
Chelsea,1,2004-09-19
Tottenham,1,2004-09-19
Everton,3,2004-09-19
Middlesbrough,0,2004-09-19
Southampton,0,2004-09-19
Newcastle,3,2004-09-19
Man Utd,3,2004-09-20
Liverpool,0,2004-09-20
Bolton,1,2004-09-25
Birmingham,1,2004-09-25
Aston Villa,1,2004-09-25
Crystal Palace,1,2004-09-25
Fulham,3,2004-09-25
Southampton,0,2004-09-25
Liverpool,3,2004-09-25
Norwich,0,2004-09-25
Man City,0,2004-09-25
Arsenal,3,2004-09-25
Newcastle,3,2004-09-25
West Brom,0,2004-09-25
Tottenham,0,2004-09-25
Man Utd,3,2004-09-25
Middlesbrough,0,2004-09-25
Chelsea,3,2004-09-25
Portsmouth,0,2004-09-26
Everton,3,2004-09-26
Charlton,3,2004-09-27
Blackburn,0,2004-09-27
West Brom,3,2004-10-02
Bolton,0,2004-10-02
Arsenal,3,2004-10-02
Charlton,0,2004-10-02
Blackburn,1,2004-10-02
Aston Villa,1,2004-10-02
Everton,0,2004-10-02
Tottenham,3,2004-10-02
Norwich,1,2004-10-02
Portsmouth,1,2004-10-02
Southampton,1,2004-10-02
Man City,1,2004-10-02
Chelsea,3,2004-10-03
Liverpool,0,2004-10-03
Birmingham,1,2004-10-03
Newcastle,1,2004-10-03
Man Utd,1,2004-10-03
Middlesbrough,1,2004-10-03
Crystal Palace,3,2004-10-04
Fulham,0,2004-10-04
Man City,3,2004-10-16
Chelsea,0,2004-10-16
Arsenal,3,2004-10-16
Aston Villa,0,2004-10-16
Blackburn,0,2004-10-16
Middlesbrough,3,2004-10-16
Bolton,3,2004-10-16
Crystal Palace,0,2004-10-16
Everton,3,2004-10-16
Southampton,0,2004-10-16
Fulham,0,2004-10-16
Liverpool,3,2004-10-16
West Brom,1,2004-10-16
Norwich,1,2004-10-16
Birmingham,1,2004-10-16
Man Utd,1,2004-10-16
Charlton,1,2004-10-17
Newcastle,1,2004-10-17
Portsmouth,3,2004-10-18
Tottenham,0,2004-10-18
Liverpool,3,2004-10-23
Charlton,0,2004-10-23
Aston Villa,3,2004-10-23
Fulham,0,2004-10-23
Chelsea,3,2004-10-23
Blackburn,0,2004-10-23
Crystal Palace,3,2004-10-23
West Brom,0,2004-10-23
Tottenham,0,2004-10-23
Bolton,3,2004-10-23
Norwich,0,2004-10-23
Everton,3,2004-10-23
Man Utd,3,2004-10-24
Arsenal,0,2004-10-24
Middlesbrough,1,2004-10-24
Portsmouth,1,2004-10-24
Newcastle,3,2004-10-24
Man City,0,2004-10-24
Southampton,1,2004-10-24
Birmingham,1,2004-10-24
Blackburn,1,2004-10-30
Liverpool,1,2004-10-30
Arsenal,1,2004-10-30
Southampton,1,2004-10-30
Charlton,0,2004-10-30
Middlesbrough,3,2004-10-30
Everton,1,2004-10-30
Aston Villa,1,2004-10-30
Fulham,3,2004-10-30
Tottenham,0,2004-10-30
Portsmouth,3,2004-10-30
Man Utd,0,2004-10-30
West Brom,0,2004-10-30
Chelsea,3,2004-10-30
Birmingham,0,2004-10-30
Crystal Palace,3,2004-10-30
Bolton,3,2004-10-31
Newcastle,0,2004-10-31
Man City,1,2004-11-01
Norwich,1,2004-11-01
Crystal Palace,1,2004-11-06
Arsenal,1,2004-11-06
Chelsea,3,2004-11-06
Everton,0,2004-11-06
Liverpool,0,2004-11-06
Birmingham,3,2004-11-06
Norwich,1,2004-11-06
Blackburn,1,2004-11-06
Southampton,1,2004-11-06
West Brom,1,2004-11-06
Tottenham,0,2004-11-06
Charlton,3,2004-11-06
Aston Villa,3,2004-11-06
Portsmouth,0,2004-11-06
Man Utd,1,2004-11-07
Man City,1,2004-11-07
Newcastle,0,2004-11-07
Fulham,3,2004-11-07
Middlesbrough,1,2004-11-07
Bolton,1,2004-11-07
Birmingham,0,2004-11-13
Everton,3,2004-11-13
Bolton,0,2004-11-13
Aston Villa,3,2004-11-13
Charlton,3,2004-11-13
Norwich,0,2004-11-13
Fulham,0,2004-11-13
Chelsea,3,2004-11-13
Liverpool,3,2004-11-13
Crystal Palace,0,2004-11-13
Man City,1,2004-11-13
Blackburn,1,2004-11-13
Southampton,3,2004-11-13
Portsmouth,0,2004-11-13
Tottenham,0,2004-11-13
Arsenal,3,2004-11-13
Newcastle,0,2004-11-14
Man Utd,3,2004-11-14
West Brom,0,2004-11-14
Middlesbrough,3,2004-11-14
Portsmouth,0,2004-11-20
Man City,3,2004-11-20
Chelsea,1,2004-11-20
Bolton,1,2004-11-20
Arsenal,1,2004-11-20
West Brom,1,2004-11-20
Crystal Palace,0,2004-11-20
Newcastle,3,2004-11-20
Everton,3,2004-11-20
Fulham,0,2004-11-20
Middlesbrough,3,2004-11-20
Liverpool,0,2004-11-20
Norwich,3,2004-11-20
Southampton,0,2004-11-20
Man Utd,3,2004-11-20
Charlton,0,2004-11-20
Blackburn,1,2004-11-21
Birmingham,1,2004-11-21
Aston Villa,3,2004-11-22
Tottenham,0,2004-11-22
Man City,3,2004-11-27
Aston Villa,0,2004-11-27
Birmingham,1,2004-11-27
Norwich,1,2004-11-27
Bolton,0,2004-11-27
Portsmouth,3,2004-11-27
Charlton,0,2004-11-27
Chelsea,3,2004-11-27
Southampton,1,2004-11-27
Crystal Palace,1,2004-11-27
West Brom,0,2004-11-27
Man Utd,3,2004-11-27
Fulham,0,2004-11-27
Blackburn,3,2004-11-27
Liverpool,3,2004-11-28
Arsenal,0,2004-11-28
Tottenham,3,2004-11-28
Middlesbrough,0,2004-11-28
Newcastle,1,2004-11-28
Everton,1,2004-11-28
Blackburn,0,2004-12-04
Tottenham,3,2004-12-04
Arsenal,3,2004-12-04
Birmingham,0,2004-12-04
Aston Villa,1,2004-12-04
Liverpool,1,2004-12-04
Everton,3,2004-12-04
Bolton,0,2004-12-04
Man Utd,3,2004-12-04
Southampton,0,2004-12-04
Norwich,0,2004-12-04
Fulham,3,2004-12-04
Portsmouth,3,2004-12-04
West Brom,0,2004-12-04
Chelsea,3,2004-12-04
Newcastle,0,2004-12-04
Crystal Palace,0,2004-12-05
Charlton,3,2004-12-05
Middlesbrough,3,2004-12-06
Man City,0,2004-12-06
Crystal Palace,1,2004-12-11
Blackburn,1,2004-12-11
Man City,0,2004-12-11
Tottenham,3,2004-12-11
Newcastle,1,2004-12-11
Portsmouth,1,2004-12-11
Norwich,3,2004-12-11
Bolton,0,2004-12-11
Southampton,1,2004-12-11
Middlesbrough,1,2004-12-11
West Brom,0,2004-12-11
Charlton,3,2004-12-11
Everton,3,2004-12-11
Liverpool,0,2004-12-11
Arsenal,1,2004-12-12
Chelsea,1,2004-12-12
Aston Villa,0,2004-12-12
Birmingham,3,2004-12-12
Fulham,1,2004-12-13
Man Utd,1,2004-12-13
Liverpool,1,2004-12-14
Portsmouth,1,2004-12-14
Man Utd,3,2004-12-18
Crystal Palace,0,2004-12-18
Blackburn,1,2004-12-18
Everton,1,2004-12-18
Bolton,0,2004-12-18
Man City,3,2004-12-18
Chelsea,3,2004-12-18
Norwich,0,2004-12-18
Middlesbrough,3,2004-12-18
Aston Villa,0,2004-12-18
Tottenham,3,2004-12-18
Southampton,0,2004-12-18
Birmingham,3,2004-12-18
West Brom,0,2004-12-18
Portsmouth,0,2004-12-19
Arsenal,3,2004-12-19
Liverpool,3,2004-12-19
Newcastle,0,2004-12-19
Charlton,3,2004-12-20
Fulham,0,2004-12-20
West Brom,0,2004-12-26
Liverpool,3,2004-12-26
Birmingham,3,2004-12-26
Middlesbrough,0,2004-12-26
Blackburn,1,2004-12-26
Newcastle,1,2004-12-26
Everton,3,2004-12-26
Man City,0,2004-12-26
Man Utd,3,2004-12-26
Bolton,0,2004-12-26
Norwich,0,2004-12-26
Tottenham,3,2004-12-26
Crystal Palace,0,2004-12-26
Portsmouth,3,2004-12-26
Arsenal,3,2004-12-26
Fulham,0,2004-12-26
Chelsea,3,2004-12-26
Aston Villa,0,2004-12-26
Southampton,1,2004-12-26
Charlton,1,2004-12-26
Aston Villa,0,2004-12-28
Man Utd,3,2004-12-28
Liverpool,3,2004-12-28
Southampton,0,2004-12-28
Bolton,0,2004-12-28
Blackburn,3,2004-12-28
Charlton,3,2004-12-28
Everton,0,2004-12-28
Fulham,0,2004-12-28
Birmingham,3,2004-12-28
Man City,1,2004-12-28
West Brom,1,2004-12-28
Middlesbrough,3,2004-12-28
Norwich,0,2004-12-28
Portsmouth,0,2004-12-28
Chelsea,3,2004-12-28
Tottenham,1,2004-12-28
Crystal Palace,1,2004-12-28
Newcastle,0,2004-12-29
Arsenal,3,2004-12-29
Middlesbrough,0,2005-01-01
Man Utd,3,2005-01-01
Aston Villa,3,2005-01-01
