team,points,date
Charlton,0,2001-08-18
Everton,3,2001-08-18
Derby,3,2001-08-18
Blackburn,0,2001-08-18
Leeds,3,2001-08-18
Southampton,0,2001-08-18
Leicester,0,2001-08-18
Bolton,3,2001-08-18
Liverpool,3,2001-08-18
West Ham,0,2001-08-18
Middlesbrough,0,2001-08-18
Arsenal,3,2001-08-18
Sunderland,3,2001-08-18
Ipswich,0,2001-08-18
Tottenham,1,2001-08-18
Aston Villa,1,2001-08-18
Chelsea,1,2001-08-19
Newcastle,1,2001-08-19
Man Utd,3,2001-08-19
Fulham,0,2001-08-19
Everton,1,2001-08-20
Tottenham,1,2001-08-20
Arsenal,0,2001-08-21
Leeds,3,2001-08-21
Bolton,3,2001-08-21
Middlesbrough,0,2001-08-21
Ipswich,3,2001-08-21
Derby,0,2001-08-21
Blackburn,1,2001-08-22
Man Utd,1,2001-08-22
Fulham,3,2001-08-22
Sunderland,0,2001-08-22
Arsenal,3,2001-08-25
Leicester,0,2001-08-25
Blackburn,3,2001-08-25
Tottenham,0,2001-08-25
Everton,3,2001-08-25
Middlesbrough,0,2001-08-25
Fulham,1,2001-08-25
Derby,1,2001-08-25
Ipswich,0,2001-08-25
Charlton,3,2001-08-25
Southampton,0,2001-08-25
Chelsea,3,2001-08-25
West Ham,1,2001-08-25
Leeds,1,2001-08-25
Aston Villa,1,2001-08-26
Man Utd,1,2001-08-26
Newcastle,1,2001-08-26
Sunderland,1,2001-08-26
Bolton,3,2001-08-27
Liverpool,0,2001-08-27
Chelsea,1,2001-09-08
Arsenal,1,2001-09-08
Derby,1,2001-09-08
West Ham,1,2001-09-08
Leeds,1,2001-09-08
Bolton,1,2001-09-08
Leicester,1,2001-09-08
Ipswich,1,2001-09-08
Liverpool,0,2001-09-08
Aston Villa,3,2001-09-08
Man Utd,3,2001-09-08
Everton,0,2001-09-08
Middlesbrough,0,2001-09-08
Newcastle,3,2001-09-08
Sunderland,3,2001-09-08
Blackburn,0,2001-09-08
Charlton,1,2001-09-09
Fulham,1,2001-09-09
Tottenham,3,2001-09-09
Southampton,0,2001-09-09
Bolton,0,2001-09-15
Southampton,3,2001-09-15
Derby,0,2001-09-15
Leicester,3,2001-09-15
Everton,0,2001-09-15
Liverpool,3,2001-09-15
Fulham,0,2001-09-15
Arsenal,3,2001-09-15
Middlesbrough,3,2001-09-15
West Ham,0,2001-09-15
Newcastle,3,2001-09-15
Man Utd,0,2001-09-15
Aston Villa,1,2001-09-16
Sunderland,1,2001-09-16
Charlton,0,2001-09-16
Leeds,3,2001-09-16
Ipswich,1,2001-09-16
Blackburn,1,2001-09-16
Tottenham,0,2001-09-16
Chelsea,3,2001-09-16
Leicester,0,2001-09-17
Middlesbrough,3,2001-09-17
Blackburn,1,2001-09-19
Bolton,1,2001-09-19
Sunderland,0,2001-09-19
Tottenham,3,2001-09-19
Arsenal,1,2001-09-22
Bolton,1,2001-09-22
Blackburn,3,2001-09-22
Everton,0,2001-09-22
Leicester,1,2001-09-22
Fulham,1,2001-09-22
Liverpool,3,2001-09-22
Tottenham,0,2001-09-22
Man Utd,3,2001-09-22
Ipswich,0,2001-09-22
Sunderland,1,2001-09-22
Charlton,1,2001-09-22
Chelsea,1,2001-09-23
Middlesbrough,1,2001-09-23
Leeds,3,2001-09-23
Derby,0,2001-09-23
West Ham,3,2001-09-23
Newcastle,0,2001-09-23
Southampton,0,2001-09-24
Aston Villa,3,2001-09-24
Newcastle,3,2001-09-26
Leicester,0,2001-09-26
Bolton,0,2001-09-29
Sunderland,3,2001-09-29
Charlton,3,2001-09-29
Leicester,0,2001-09-29
Derby,0,2001-09-29
Arsenal,3,2001-09-29
Everton,3,2001-09-29
West Ham,0,2001-09-29
Middlesbrough,0,2001-09-29
Southampton,3,2001-09-29
Tottenham,0,2001-09-29
Man Utd,3,2001-09-29
Aston Villa,3,2001-09-30
Blackburn,0,2001-09-30
Fulham,1,2001-09-30
Chelsea,1,2001-09-30
Ipswich,0,2001-09-30
Leeds,3,2001-09-30
Newcastle,0,2001-09-30
Liverpool,3,2001-09-30
Bolton,0,2001-10-13
Newcastle,3,2001-10-13
Charlton,1,2001-10-13
Middlesbrough,1,2001-10-13
Chelsea,3,2001-10-13
Leicester,0,2001-10-13
Ipswich,1,2001-10-13
Everton,1,2001-10-13
Liverpool,1,2001-10-13
Leeds,1,2001-10-13
Southampton,0,2001-10-13
Arsenal,3,2001-10-13
Sunderland,0,2001-10-13
Man Utd,3,2001-10-13
Aston Villa,3,2001-10-14
Fulham,0,2001-10-14
Blackburn,3,2001-10-14
West Ham,0,2001-10-14
Tottenham,3,2001-10-15
Derby,0,2001-10-15
Arsenal,1,2001-10-20
Blackburn,1,2001-10-20
Derby,1,2001-10-20
Charlton,1,2001-10-20
Everton,3,2001-10-20
Aston Villa,0,2001-10-20
Leicester,0,2001-10-20
Liverpool,3,2001-10-20
Man Utd,0,2001-10-20
Bolton,3,2001-10-20
West Ham,3,2001-10-20
Southampton,0,2001-10-20
Fulham,1,2001-10-21
Ipswich,1,2001-10-21
Leeds,1,2001-10-21
Chelsea,1,2001-10-21
Newcastle,0,2001-10-21
Tottenham,3,2001-10-21
Middlesbrough,3,2001-10-22
Sunderland,0,2001-10-22
Aston Villa,3,2001-10-24
Charlton,0,2001-10-24
Southampton,1,2001-10-24
Ipswich,1,2001-10-24
West Ham,3,2001-10-24
Chelsea,0,2001-10-24
Aston Villa,3,2001-10-27
Bolton,0,2001-10-27
Charlton,0,2001-10-27
Liverpool,3,2001-10-27
Everton,0,2001-10-27
Newcastle,3,2001-10-27
Fulham,3,2001-10-27
Southampton,0,2001-10-27
Man Utd,1,2001-10-27
Leeds,1,2001-10-27
Sunderland,1,2001-10-27
Arsenal,1,2001-10-27
Tottenham,3,2001-10-27
Middlesbrough,0,2001-10-27
Derby,1,2001-10-28
Chelsea,1,2001-10-28
Ipswich,0,2001-10-28
West Ham,3,2001-10-28
Blackburn,1,2001-10-29
Leicester,1,2001-10-29
Bolton,1,2001-11-03
Everton,1,2001-11-03
Leicester,3,2001-11-03
Sunderland,0,2001-11-03
Middlesbrough,3,2001-11-03
Derby,0,2001-11-03
Newcastle,3,2001-11-03
Aston Villa,0,2001-11-03
Southampton,0,2001-11-03
Blackburn,3,2001-11-03
West Ham,0,2001-11-03
Fulham,3,2001-11-03
Arsenal,0,2001-11-04
Charlton,3,2001-11-04
Chelsea,3,2001-11-04
Ipswich,0,2001-11-04
Leeds,3,2001-11-04
Tottenham,0,2001-11-04
Liverpool,3,2001-11-04
Man Utd,0,2001-11-04
Aston Villa,1,2001-11-17
Middlesbrough,1,2001-11-17
Blackburn,1,2001-11-17
Liverpool,1,2001-11-17
Derby,3,2001-11-17
Southampton,0,2001-11-17
Fulham,3,2001-11-17
Newcastle,0,2001-11-17
Man Utd,3,2001-11-17
Leicester,0,2001-11-17
Tottenham,1,2001-11-17
Arsenal,1,2001-11-17
Everton,1,2001-11-18
Chelsea,1,2001-11-18
Ipswich,0,2001-11-18
Bolton,3,2001-11-18
Sunderland,3,2001-11-18
Leeds,0,2001-11-18
Charlton,1,2001-11-19
West Ham,1,2001-11-19
Bolton,1,2001-11-24
Fulham,1,2001-11-24
Chelsea,1,2001-11-24
Blackburn,1,2001-11-24
Leicester,1,2001-11-24
Everton,1,2001-11-24
Newcastle,3,2001-11-24
Derby,0,2001-11-24
Southampton,3,2001-11-24
Charlton,0,2001-11-24
West Ham,0,2001-11-24
Tottenham,3,2001-11-24
Arsenal,3,2001-11-25
Man Utd,0,2001-11-25
Leeds,1,2001-11-25
Aston Villa,1,2001-11-25
Liverpool,3,2001-11-25
Sunderland,0,2001-11-25
Middlesbrough,1,2001-11-25
Ipswich,1,2001-11-25
Aston Villa,0,2001-12-01
Leicester,3,2001-12-01
Blackburn,0,2001-12-01
Middlesbrough,3,2001-12-01
Charlton,1,2001-12-01
Newcastle,1,2001-12-01
Derby,0,2001-12-01
Liverpool,3,2001-12-01
Ipswich,0,2001-12-01
