team,points,date
Sunderland,0,2008-08-16
Liverpool,3,2008-08-16
Bolton,3,2008-08-16
Stoke,0,2008-08-16
Everton,0,2008-08-16
Blackburn,3,2008-08-16
Hull,3,2008-08-16
Fulham,0,2008-08-16
Middlesbrough,3,2008-08-16
Tottenham,0,2008-08-16
West Ham,3,2008-08-16
Wigan,0,2008-08-16
Arsenal,3,2008-08-16
West Brom,0,2008-08-16
Man Utd,1,2008-08-17
Newcastle,1,2008-08-17
Aston Villa,3,2008-08-17
Man City,0,2008-08-17
Chelsea,3,2008-08-17
Portsmouth,0,2008-08-17
Fulham,3,2008-08-23
Arsenal,0,2008-08-23
Blackburn,1,2008-08-23
Hull,1,2008-08-23
Liverpool,3,2008-08-23
Middlesbrough,0,2008-08-23
Newcastle,3,2008-08-23
Bolton,0,2008-08-23
Stoke,3,2008-08-23
Aston Villa,0,2008-08-23
Tottenham,0,2008-08-23
Sunderland,3,2008-08-23
West Brom,0,2008-08-23
Everton,3,2008-08-23
Man City,3,2008-08-24
West Ham,0,2008-08-24
Wigan,0,2008-08-24
Chelsea,3,2008-08-24
Portsmouth,0,2008-08-25
Man Utd,3,2008-08-25
Arsenal,3,2008-08-30
Newcastle,0,2008-08-30
Bolton,1,2008-08-30
West Brom,1,2008-08-30
Everton,0,2008-08-30
Portsmouth,3,2008-08-30
Hull,0,2008-08-30
Wigan,3,2008-08-30
Middlesbrough,3,2008-08-30
Stoke,0,2008-08-30
West Ham,3,2008-08-30
Blackburn,0,2008-08-30
Aston Villa,1,2008-08-31
Liverpool,1,2008-08-31
Sunderland,0,2008-08-31
Man City,3,2008-08-31
Chelsea,1,2008-08-31
Tottenham,1,2008-08-31
Man City,0,2008-09-13
Chelsea,3,2008-09-13
Blackburn,0,2008-09-13
Arsenal,3,2008-09-13
Fulham,3,2008-09-13
Bolton,0,2008-09-13
Newcastle,0,2008-09-13
Hull,3,2008-09-13
Portsmouth,3,2008-09-13
Middlesbrough,0,2008-09-13
West Brom,3,2008-09-13
West Ham,0,2008-09-13
Wigan,1,2008-09-13
Sunderland,1,2008-09-13
Liverpool,3,2008-09-13
Man Utd,0,2008-09-13
Stoke,0,2008-09-14
Everton,3,2008-09-14
Tottenham,0,2008-09-15
Aston Villa,3,2008-09-15
Bolton,0,2008-09-20
Arsenal,3,2008-09-20
Blackburn,3,2008-09-20
Fulham,0,2008-09-20
Liverpool,1,2008-09-20
Stoke,1,2008-09-20
West Ham,3,2008-09-20
Newcastle,0,2008-09-20
Sunderland,3,2008-09-20
Middlesbrough,0,2008-09-20
Hull,1,2008-09-21
Everton,1,2008-09-21
Man City,3,2008-09-21
Portsmouth,0,2008-09-21
Tottenham,1,2008-09-21
Wigan,1,2008-09-21
Chelsea,1,2008-09-21
Man Utd,1,2008-09-21
West Brom,0,2008-09-21
Aston Villa,3,2008-09-21
Arsenal,0,2008-09-27
Hull,3,2008-09-27
Aston Villa,3,2008-09-27
Sunderland,0,2008-09-27
Fulham,0,2008-09-27
West Ham,3,2008-09-27
Man Utd,3,2008-09-27
Bolton,0,2008-09-27
Middlesbrough,0,2008-09-27
West Brom,3,2008-09-27
Newcastle,0,2008-09-27
Blackburn,3,2008-09-27
Stoke,0,2008-09-27
Chelsea,3,2008-09-27
Everton,0,2008-09-27
Liverpool,3,2008-09-27
Wigan,3,2008-09-28
Man City,0,2008-09-28
Portsmouth,3,2008-09-28
Tottenham,0,2008-09-28
Blackburn,0,2008-10-04
Man Utd,3,2008-10-04
Sunderland,1,2008-10-04
Arsenal,1,2008-10-04
West Brom,3,2008-10-04
Fulham,0,2008-10-04
Wigan,0,2008-10-04
Middlesbrough,3,2008-10-04
Everton,1,2008-10-05
Newcastle,1,2008-10-05
Chelsea,3,2008-10-05
Aston Villa,0,2008-10-05
Man City,0,2008-10-05
Liverpool,3,2008-10-05
Portsmouth,3,2008-10-05
Stoke,0,2008-10-05
Tottenham,0,2008-10-05
Hull,3,2008-10-05
West Ham,0,2008-10-05
Bolton,3,2008-10-05
Man Utd,3,2008-10-18
West Brom,0,2008-10-18
Arsenal,3,2008-10-18
Everton,0,2008-10-18
Aston Villa,1,2008-10-18
Portsmouth,1,2008-10-18
Bolton,1,2008-10-18
Blackburn,1,2008-10-18
Fulham,1,2008-10-18
Sunderland,1,2008-10-18
Liverpool,3,2008-10-18
Wigan,0,2008-10-18
Middlesbrough,0,2008-10-18
Chelsea,3,2008-10-18
Stoke,3,2008-10-19
Tottenham,0,2008-10-19
Hull,3,2008-10-19
West Ham,0,2008-10-19
Newcastle,1,2008-10-20
Man City,1,2008-10-20
Blackburn,1,2008-10-25
Middlesbrough,1,2008-10-25
West Brom,0,2008-10-25
Hull,3,2008-10-25
Sunderland,3,2008-10-25
Newcastle,0,2008-10-25
Everton,1,2008-10-25
Man Utd,1,2008-10-25
Portsmouth,1,2008-10-26
Fulham,1,2008-10-26
West Ham,0,2008-10-26
Arsenal,3,2008-10-26
Man City,3,2008-10-26
Stoke,0,2008-10-26
Tottenham,3,2008-10-26
Bolton,0,2008-10-26
Wigan,0,2008-10-26
Aston Villa,3,2008-10-26
Chelsea,0,2008-10-26
Liverpool,3,2008-10-26
Newcastle,3,2008-10-28
West Brom,0,2008-10-28
Arsenal,1,2008-10-29
Tottenham,1,2008-10-29
Bolton,0,2008-10-29
Everton,3,2008-10-29
Liverpool,3,2008-10-29
Portsmouth,0,2008-10-29
Man Utd,3,2008-10-29
West Ham,0,2008-10-29
Middlesbrough,3,2008-10-29
Man City,0,2008-10-29
Aston Villa,3,2008-10-29
Blackburn,0,2008-10-29
Fulham,3,2008-10-29
Wigan,0,2008-10-29
Hull,0,2008-10-29
Chelsea,3,2008-10-29
Stoke,3,2008-10-29
Sunderland,0,2008-10-29
Tottenham,3,2008-11-01
Liverpool,0,2008-11-01
Chelsea,3,2008-11-01
Sunderland,0,2008-11-01
Man Utd,3,2008-11-01
Hull,0,2008-11-01
Middlesbrough,1,2008-11-01
West Ham,1,2008-11-01
Portsmouth,0,2008-11-01
Wigan,3,2008-11-01
Stoke,3,2008-11-01
Arsenal,0,2008-11-01
West Brom,1,2008-11-01
Blackburn,1,2008-11-01
Everton,3,2008-11-01
Fulham,0,2008-11-01
Bolton,3,2008-11-02
Man City,0,2008-11-02
