team,points,date
Aston Villa,3,1995-08-19
Man Utd,0,1995-08-19
Blackburn,3,1995-08-19
QPR,0,1995-08-19
Chelsea,1,1995-08-19
Everton,1,1995-08-19
Liverpool,3,1995-08-19
Sheff Wed,0,1995-08-19
Man City,1,1995-08-19
Tottenham,1,1995-08-19
Newcastle,3,1995-08-19
Coventry,0,1995-08-19
Southampton,0,1995-08-19
Nottm Forest,3,1995-08-19
West Ham,0,1995-08-19
Leeds,3,1995-08-19
Wimbledon FC,3,1995-08-19
Bolton,0,1995-08-19
Arsenal,1,1995-08-20
Middlesbrough,1,1995-08-20
Leeds,3,1995-08-21
Liverpool,0,1995-08-21
Bolton,0,1995-08-22
Newcastle,3,1995-08-22
Coventry,3,1995-08-23
Man City,0,1995-08-23
Everton,0,1995-08-23
Arsenal,3,1995-08-23
Man Utd,3,1995-08-23
West Ham,0,1995-08-23
Nottm Forest,1,1995-08-23
Chelsea,1,1995-08-23
QPR,0,1995-08-23
Wimbledon FC,3,1995-08-23
Sheff Wed,3,1995-08-23
Blackburn,0,1995-08-23
Tottenham,0,1995-08-23
Aston Villa,3,1995-08-23
Bolton,3,1995-08-26
Blackburn,0,1995-08-26
Coventry,1,1995-08-26
Arsenal,1,1995-08-26
Everton,3,1995-08-26
Southampton,0,1995-08-26
Leeds,3,1995-08-26
Aston Villa,0,1995-08-26
Man Utd,3,1995-08-26
Wimbledon FC,0,1995-08-26
Middlesbrough,3,1995-08-26
Chelsea,0,1995-08-26
Nottm Forest,1,1995-08-26
West Ham,1,1995-08-26
QPR,3,1995-08-26
Man City,0,1995-08-26
Tottenham,0,1995-08-26
Liverpool,3,1995-08-26
Sheff Wed,0,1995-08-27
Newcastle,3,1995-08-27
Blackburn,0,1995-08-28
Man Utd,3,1995-08-28
Arsenal,1,1995-08-29
Nottm Forest,1,1995-08-29
Aston Villa,3,1995-08-30
Bolton,0,1995-08-30
Chelsea,1,1995-08-30
Coventry,1,1995-08-30
Liverpool,3,1995-08-30
QPR,0,1995-08-30
Man City,0,1995-08-30
Everton,3,1995-08-30
Newcastle,3,1995-08-30
Middlesbrough,0,1995-08-30
Southampton,1,1995-08-30
Leeds,1,1995-08-30
West Ham,1,1995-08-30
Tottenham,1,1995-08-30
Wimbledon FC,1,1995-08-30
Sheff Wed,1,1995-08-30
Blackburn,1,1995-09-09
Aston Villa,1,1995-09-09
Bolton,1,1995-09-09
Middlesbrough,1,1995-09-09
Coventry,1,1995-09-09
Nottm Forest,1,1995-09-09
Everton,0,1995-09-09
Man Utd,3,1995-09-09
QPR,0,1995-09-09
Sheff Wed,3,1995-09-09
Southampton,3,1995-09-09
Newcastle,0,1995-09-09
Tottenham,3,1995-09-09
Leeds,0,1995-09-09
Wimbledon FC,3,1995-09-09
Liverpool,0,1995-09-09
Man City,0,1995-09-10
Arsenal,3,1995-09-10
West Ham,0,1995-09-11
Chelsea,3,1995-09-11
Middlesbrough,1,1995-09-12
Southampton,1,1995-09-12
Arsenal,3,1995-09-16
West Ham,0,1995-09-16
Aston Villa,3,1995-09-16
Wimbledon FC,0,1995-09-16
Chelsea,3,1995-09-16
Southampton,0,1995-09-16
Leeds,0,1995-09-16
QPR,3,1995-09-16
Liverpool,3,1995-09-16
Blackburn,0,1995-09-16
Man Utd,3,1995-09-16
Bolton,0,1995-09-16
Middlesbrough,3,1995-09-16
Coventry,0,1995-09-16
Newcastle,3,1995-09-16
Man City,0,1995-09-16
Sheff Wed,0,1995-09-16
Tottenham,3,1995-09-16
Nottm Forest,3,1995-09-17
Everton,0,1995-09-17
Arsenal,3,1995-09-23
Southampton,0,1995-09-23
Aston Villa,1,1995-09-23
Nottm Forest,1,1995-09-23
Blackburn,3,1995-09-23
Coventry,0,1995-09-23
Liverpool,3,1995-09-23
Bolton,0,1995-09-23
Man City,0,1995-09-23
Middlesbrough,3,1995-09-23
Sheff Wed,1,1995-09-23
Man Utd,1,1995-09-23
West Ham,3,1995-09-23
Everton,0,1995-09-23
Wimbledon FC,0,1995-09-23
Leeds,3,1995-09-23
Newcastle,3,1995-09-24
Chelsea,0,1995-09-24
QPR,0,1995-09-25
Tottenham,3,1995-09-25
Bolton,0,1995-09-30
QPR,3,1995-09-30
Chelsea,3,1995-09-30
Arsenal,0,1995-09-30
Coventry,0,1995-09-30
Aston Villa,3,1995-09-30
Leeds,3,1995-09-30
Sheff Wed,0,1995-09-30
Middlesbrough,3,1995-09-30
Blackburn,0,1995-09-30
Nottm Forest,3,1995-09-30
Man City,0,1995-09-30
Tottenham,3,1995-09-30
Wimbledon FC,0,1995-09-30
Everton,0,1995-10-01
Newcastle,3,1995-10-01
Man Utd,1,1995-10-01
Liverpool,1,1995-10-01
Southampton,1,1995-10-02
West Ham,1,1995-10-02
Aston Villa,0,1995-10-14
Chelsea,3,1995-10-14
Blackburn,3,1995-10-14
Southampton,0,1995-10-14
Bolton,1,1995-10-14
Everton,1,1995-10-14
Leeds,0,1995-10-14
Arsenal,3,1995-10-14
Liverpool,1,1995-10-14
Coventry,1,1995-10-14
Man Utd,3,1995-10-14
Man City,0,1995-10-14
QPR,0,1995-10-14
Newcastle,3,1995-10-14
Tottenham,0,1995-10-14
Nottm Forest,3,1995-10-14
Sheff Wed,0,1995-10-15
Middlesbrough,3,1995-10-15
Wimbledon FC,0,1995-10-16
West Ham,3,1995-10-16
Arsenal,3,1995-10-21
Aston Villa,0,1995-10-21
Chelsea,0,1995-10-21
Man Utd,3,1995-10-21
Coventry,0,1995-10-21
Sheff Wed,3,1995-10-21
Man City,1,1995-10-21
Leeds,1,1995-10-21
Middlesbrough,3,1995-10-21
QPR,0,1995-10-21
Newcastle,3,1995-10-21
Wimbledon FC,0,1995-10-21
Nottm Forest,3,1995-10-21
Bolton,0,1995-10-21
West Ham,1,1995-10-21
Blackburn,1,1995-10-21
Everton,1,1995-10-22
Tottenham,1,1995-10-22
Southampton,0,1995-10-22
Liverpool,3,1995-10-22
Aston Villa,3,1995-10-28
Everton,0,1995-10-28
Blackburn,3,1995-10-28
Chelsea,0,1995-10-28
Leeds,3,1995-10-28
Coventry,0,1995-10-28
Liverpool,3,1995-10-28
Man City,0,1995-10-28
Man Utd,3,1995-10-28
Middlesbrough,0,1995-10-28
QPR,1,1995-10-28
Nottm Forest,1,1995-10-28
Sheff Wed,0,1995-10-28
West Ham,3,1995-10-28
Wimbledon FC,0,1995-10-28
Southampton,3,1995-10-28
Tottenham,1,1995-10-29
Newcastle,1,1995-10-29
Bolton,3,1995-10-30
Arsenal,0,1995-10-30
Arsenal,3,1995-11-04
Man Utd,0,1995-11-04
Chelsea,1,1995-11-04
Sheff Wed,1,1995-11-04
Coventry,0,1995-11-04
Tottenham,3,1995-11-04
Man City,3,1995-11-04
Bolton,0,1995-11-04
Middlesbrough,1,1995-11-04
Leeds,1,1995-11-04
Newcastle,3,1995-11-04
Liverpool,0,1995-11-04
Southampton,3,1995-11-04
QPR,0,1995-11-04
West Ham,0,1995-11-04
Aston Villa,3,1995-11-04
Everton,3,1995-11-05
Blackburn,0,1995-11-05
Nottm Forest,3,1995-11-06
Wimbledon FC,0,1995-11-06
Newcastle,3,1995-11-08
Blackburn,0,1995-11-08
Aston Villa,1,1995-11-18
Newcastle,1,1995-11-18
Blackburn,3,1995-11-18
Nottm Forest,0,1995-11-18
Bolton,0,1995-11-18
West Ham,3,1995-11-18
Leeds,3,1995-11-18
Chelsea,0,1995-11-18
Liverpool,0,1995-11-18
Everton,3,1995-11-18
Man Utd,3,1995-11-18
Southampton,0,1995-11-18
Sheff Wed,1,1995-11-18
Man City,1,1995-11-18
Tottenham,3,1995-11-18
Arsenal,0,1995-11-18
Wimbledon FC,1,1995-11-18
Middlesbrough,1,1995-11-18
QPR,1,1995-11-19
Coventry,1,1995-11-19
Southampton,0,1995-11-20
Aston Villa,3,1995-11-20
Arsenal,3,1995-11-21
Sheff Wed,0,1995-11-21
Middlesbrough,0,1995-11-21
Tottenham,3,1995-11-21
Chelsea,3,1995-11-22
Bolton,0,1995-11-22
Coventry,0,1995-11-22
