team,points,date
Everton,0,2009-08-15
Arsenal,3,2009-08-15
Aston Villa,0,2009-08-15
Wigan,3,2009-08-15
Blackburn,0,2009-08-15
Man City,3,2009-08-15
Bolton,0,2009-08-15
Sunderland,3,2009-08-15
Portsmouth,0,2009-08-15
Fulham,3,2009-08-15
Stoke,3,2009-08-15
Burnley,0,2009-08-15
Tottenham,3,2009-08-16
Liverpool,0,2009-08-16
Man Utd,3,2009-08-16
Birmingham,0,2009-08-16
Sunderland,0,2009-08-18
Chelsea,3,2009-08-18
Wigan,0,2009-08-18
Wolves,3,2009-08-18
Liverpool,3,2009-08-19
Stoke,0,2009-08-19
Birmingham,3,2009-08-19
Portsmouth,0,2009-08-19
Burnley,3,2009-08-19
Man Utd,0,2009-08-19
Hull,0,2009-08-19
Tottenham,3,2009-08-19
Arsenal,3,2009-08-22
Portsmouth,0,2009-08-22
Birmingham,1,2009-08-22
Stoke,1,2009-08-22
Hull,3,2009-08-22
Bolton,0,2009-08-22
Man City,3,2009-08-22
Wolves,0,2009-08-22
Sunderland,3,2009-08-22
Blackburn,0,2009-08-22
Wigan,0,2009-08-22
Man Utd,3,2009-08-22
Fulham,0,2009-08-23
Chelsea,3,2009-08-23
Burnley,3,2009-08-23
Everton,0,2009-08-23
West Ham,0,2009-08-23
Tottenham,3,2009-08-23
Liverpool,0,2009-08-24
Aston Villa,3,2009-08-24
Man Utd,3,2009-08-29
Arsenal,0,2009-08-29
Blackburn,1,2009-08-29
West Ham,1,2009-08-29
Bolton,0,2009-08-29
Liverpool,3,2009-08-29
Stoke,3,2009-08-29
Sunderland,0,2009-08-29
Tottenham,3,2009-08-29
Birmingham,0,2009-08-29
Wolves,1,2009-08-29
Hull,1,2009-08-29
Chelsea,3,2009-08-29
Burnley,0,2009-08-29
Aston Villa,3,2009-08-30
Fulham,0,2009-08-30
Everton,3,2009-08-30
Wigan,0,2009-08-30
Portsmouth,0,2009-08-30
Man City,3,2009-08-30
Tottenham,0,2009-09-12
Man Utd,3,2009-09-12
Blackburn,3,2009-09-12
Wolves,0,2009-09-12
Liverpool,3,2009-09-12
Burnley,0,2009-09-12
Man City,3,2009-09-12
Arsenal,0,2009-09-12
Portsmouth,0,2009-09-12
Bolton,3,2009-09-12
Stoke,0,2009-09-12
Chelsea,3,2009-09-12
Sunderland,3,2009-09-12
Hull,0,2009-09-12
Wigan,3,2009-09-12
West Ham,0,2009-09-12
Fulham,3,2009-09-13
Everton,0,2009-09-13
Birmingham,0,2009-09-13
Aston Villa,3,2009-09-13
West Ham,0,2009-09-19
Liverpool,3,2009-09-19
Arsenal,3,2009-09-19
Wigan,0,2009-09-19
Aston Villa,3,2009-09-19
Portsmouth,0,2009-09-19
Bolton,1,2009-09-19
Stoke,1,2009-09-19
Hull,0,2009-09-19
Birmingham,3,2009-09-19
Burnley,3,2009-09-19
Sunderland,0,2009-09-19
Chelsea,3,2009-09-20
Tottenham,0,2009-09-20
Everton,3,2009-09-20
Blackburn,0,2009-09-20
Wolves,3,2009-09-20
Fulham,0,2009-09-20
Man Utd,3,2009-09-20
Man City,0,2009-09-20
Fulham,0,2009-09-26
Arsenal,3,2009-09-26
Birmingham,0,2009-09-26
Bolton,3,2009-09-26
Blackburn,3,2009-09-26
Aston Villa,0,2009-09-26
Liverpool,3,2009-09-26
Hull,0,2009-09-26
Stoke,0,2009-09-26
Man Utd,3,2009-09-26
Tottenham,3,2009-09-26
Burnley,0,2009-09-26
Wigan,3,2009-09-26
Chelsea,0,2009-09-26
Portsmouth,0,2009-09-26
Everton,3,2009-09-26
Sunderland,3,2009-09-27
Wolves,0,2009-09-27
Man City,3,2009-09-28
West Ham,0,2009-09-28
Man Utd,1,2009-10-03
Sunderland,1,2009-10-03
Bolton,1,2009-10-03
Tottenham,1,2009-10-03
Burnley,3,2009-10-03
Birmingham,0,2009-10-03
Hull,3,2009-10-03
Wigan,0,2009-10-03
Wolves,0,2009-10-03
Portsmouth,3,2009-10-03
Chelsea,3,2009-10-04
Liverpool,0,2009-10-04
Everton,1,2009-10-04
Stoke,1,2009-10-04
West Ham,1,2009-10-04
Fulham,1,2009-10-04
Arsenal,3,2009-10-04
Blackburn,0,2009-10-04
Aston Villa,1,2009-10-05
Man City,1,2009-10-05
Arsenal,3,2009-10-17
Birmingham,0,2009-10-17
Everton,1,2009-10-17
Wolves,1,2009-10-17
Man Utd,3,2009-10-17
Bolton,0,2009-10-17
Portsmouth,0,2009-10-17
Tottenham,3,2009-10-17
Stoke,3,2009-10-17
West Ham,0,2009-10-17
Sunderland,3,2009-10-17
Liverpool,0,2009-10-17
Aston Villa,3,2009-10-17
Chelsea,0,2009-10-17
Wigan,1,2009-10-18
Man City,1,2009-10-18
Blackburn,3,2009-10-18
Burnley,0,2009-10-18
Fulham,3,2009-10-19
Hull,0,2009-10-19
Chelsea,3,2009-10-24
Blackburn,0,2009-10-24
Birmingham,3,2009-10-24
Sunderland,0,2009-10-24
Burnley,0,2009-10-24
Wigan,3,2009-10-24
Hull,1,2009-10-24
Portsmouth,1,2009-10-24
Tottenham,0,2009-10-24
Stoke,3,2009-10-24
Wolves,1,2009-10-24
Aston Villa,1,2009-10-24
West Ham,1,2009-10-25
Arsenal,1,2009-10-25
Man City,1,2009-10-25
Fulham,1,2009-10-25
Liverpool,3,2009-10-25
Man Utd,0,2009-10-25
Bolton,3,2009-10-25
Everton,0,2009-10-25
Man Utd,3,2009-10-31
Blackburn,0,2009-10-31
Bolton,0,2009-10-31
Chelsea,3,2009-10-31
Burnley,3,2009-10-31
Hull,0,2009-10-31
Everton,1,2009-10-31
Aston Villa,1,2009-10-31
Fulham,3,2009-10-31
Liverpool,0,2009-10-31
Portsmouth,3,2009-10-31
Wigan,0,2009-10-31
Stoke,1,2009-10-31
Wolves,1,2009-10-31
Sunderland,1,2009-10-31
West Ham,1,2009-10-31
Arsenal,3,2009-10-31
Tottenham,0,2009-10-31
Birmingham,1,2009-11-01
Man City,1,2009-11-01
West Ham,3,2009-11-04
Aston Villa,0,2009-11-04
Wolves,0,2009-11-07
Arsenal,3,2009-11-07
Aston Villa,3,2009-11-07
