team,points,date
Arsenal,3,1999-08-07
Leicester,0,1999-08-07
Chelsea,3,1999-08-07
Sunderland,0,1999-08-07
Coventry,0,1999-08-07
Southampton,3,1999-08-07
Leeds,1,1999-08-07
Derby,1,1999-08-07
Middlesbrough,0,1999-08-07
Bradford City,3,1999-08-07
Newcastle,0,1999-08-07
Aston Villa,3,1999-08-07
Sheff Wed,0,1999-08-07
Liverpool,3,1999-08-07
Watford,0,1999-08-07
Wimbledon FC,3,1999-08-07
West Ham,3,1999-08-07
Tottenham,0,1999-08-07
Everton,1,1999-08-08
Man Utd,1,1999-08-08
Tottenham,3,1999-08-09
Newcastle,0,1999-08-09
Derby,0,1999-08-10
Arsenal,3,1999-08-10
Sunderland,3,1999-08-10
Watford,0,1999-08-10
Wimbledon FC,0,1999-08-10
Middlesbrough,3,1999-08-10
Aston Villa,3,1999-08-11
Everton,0,1999-08-11
Leicester,3,1999-08-11
Coventry,0,1999-08-11
Man Utd,3,1999-08-11
Sheff Wed,0,1999-08-11
Southampton,0,1999-08-11
Leeds,3,1999-08-11
Bradford City,1,1999-08-14
Sheff Wed,1,1999-08-14
Derby,0,1999-08-14
Middlesbrough,3,1999-08-14
Leicester,1,1999-08-14
Chelsea,1,1999-08-14
Liverpool,0,1999-08-14
Watford,3,1999-08-14
Man Utd,3,1999-08-14
Leeds,0,1999-08-14
Sunderland,1,1999-08-14
Arsenal,1,1999-08-14
Tottenham,3,1999-08-14
Everton,0,1999-08-14
Wimbledon FC,1,1999-08-14
Coventry,1,1999-08-14
Southampton,3,1999-08-15
Newcastle,0,1999-08-15
Aston Villa,1,1999-08-16
West Ham,1,1999-08-16
Chelsea,3,1999-08-21
Aston Villa,0,1999-08-21
Coventry,3,1999-08-21
Derby,0,1999-08-21
Everton,3,1999-08-21
Southampton,0,1999-08-21
Leeds,3,1999-08-21
Sunderland,0,1999-08-21
Middlesbrough,3,1999-08-21
Liverpool,0,1999-08-21
Newcastle,1,1999-08-21
Wimbledon FC,1,1999-08-21
Sheff Wed,0,1999-08-21
Tottenham,3,1999-08-21
Watford,3,1999-08-21
Bradford City,0,1999-08-21
West Ham,3,1999-08-21
Leicester,0,1999-08-21
Arsenal,0,1999-08-22
Man Utd,3,1999-08-22
Leeds,0,1999-08-23
Liverpool,3,1999-08-23
Middlesbrough,0,1999-08-24
Leicester,3,1999-08-24
Watford,0,1999-08-24
Aston Villa,3,1999-08-24
Arsenal,3,1999-08-25
Bradford City,0,1999-08-25
Coventry,0,1999-08-25
Man Utd,3,1999-08-25
Everton,3,1999-08-25
Wimbledon FC,0,1999-08-25
Newcastle,0,1999-08-25
Sunderland,3,1999-08-25
Sheff Wed,0,1999-08-25
Derby,3,1999-08-25
Aston Villa,3,1999-08-28
Middlesbrough,0,1999-08-28
Bradford City,0,1999-08-28
West Ham,3,1999-08-28
Derby,3,1999-08-28
Everton,0,1999-08-28
Liverpool,3,1999-08-28
Arsenal,0,1999-08-28
Southampton,3,1999-08-28
Sheff Wed,0,1999-08-28
Tottenham,0,1999-08-28
Leeds,3,1999-08-28
Wimbledon FC,0,1999-08-28
Chelsea,3,1999-08-28
Sunderland,1,1999-08-29
Coventry,1,1999-08-29
Leicester,3,1999-08-30
Watford,0,1999-08-30
Man Utd,3,1999-08-30
Newcastle,0,1999-08-30
Arsenal,3,1999-09-11
Aston Villa,0,1999-09-11
Chelsea,3,1999-09-11
Newcastle,0,1999-09-11
Coventry,0,1999-09-11
Leeds,3,1999-09-11
Liverpool,0,1999-09-11
Man Utd,3,1999-09-11
Middlesbrough,3,1999-09-11
Southampton,0,1999-09-11
Sheff Wed,0,1999-09-11
Everton,3,1999-09-11
Sunderland,3,1999-09-11
Leicester,0,1999-09-11
West Ham,3,1999-09-11
Watford,0,1999-09-11
Wimbledon FC,1,1999-09-11
Derby,1,1999-09-11
Bradford City,1,1999-09-12
Tottenham,1,1999-09-12
Aston Villa,3,1999-09-18
Bradford City,0,1999-09-18
Derby,0,1999-09-18
Sunderland,3,1999-09-18
Leicester,1,1999-09-18
Liverpool,1,1999-09-18
Man Utd,1,1999-09-18
Wimbledon FC,1,1999-09-18
Southampton,0,1999-09-18
Arsenal,3,1999-09-18
Watford,3,1999-09-18
Chelsea,0,1999-09-18
Everton,3,1999-09-19
West Ham,0,1999-09-19
Leeds,3,1999-09-19
Middlesbrough,0,1999-09-19
Newcastle,3,1999-09-19
Sheff Wed,0,1999-09-19
Tottenham,3,1999-09-19
Coventry,0,1999-09-19
Arsenal,3,1999-09-25
Watford,0,1999-09-25
Coventry,3,1999-09-25
West Ham,0,1999-09-25
Derby,0,1999-09-25
Bradford City,3,1999-09-25
Leeds,3,1999-09-25
Newcastle,0,1999-09-25
Leicester,3,1999-09-25
Aston Villa,0,1999-09-25
Man Utd,1,1999-09-25
Southampton,1,1999-09-25
Middlesbrough,0,1999-09-25
Chelsea,3,1999-09-25
Sunderland,3,1999-09-25
Sheff Wed,0,1999-09-25
Wimbledon FC,1,1999-09-26
Tottenham,1,1999-09-26
Liverpool,0,1999-09-27
Everton,3,1999-09-27
Aston Villa,1,1999-10-02
Liverpool,1,1999-10-02
Bradford City,0,1999-10-02
Sunderland,3,1999-10-02
Everton,1,1999-10-02
Coventry,1,1999-10-02
Sheff Wed,3,1999-10-02
