team,points,date
Arsenal,1,1991-08-17
QPR,1,1991-08-17
Chelsea,1,1991-08-17
Wimbledon FC,1,1991-08-17
Coventry,0,1991-08-17
Man City,3,1991-08-17
Liverpool,3,1991-08-17
Oldham,0,1991-08-17
Man Utd,3,1991-08-17
Notts Co,0,1991-08-17
Norwich,1,1991-08-17
Sheff Utd,1,1991-08-17
Nottm Forest,3,1991-08-17
Everton,0,1991-08-17
Sheff Wed,0,1991-08-17
Aston Villa,3,1991-08-17
Southampton,0,1991-08-17
Tottenham,3,1991-08-17
West Ham,1,1991-08-17
Luton,1,1991-08-17
Everton,3,1991-08-20
Arsenal,0,1991-08-20
Leeds,3,1991-08-20
Nottm Forest,0,1991-08-20
Notts Co,3,1991-08-20
Southampton,0,1991-08-20
Sheff Utd,1,1991-08-20
West Ham,1,1991-08-20
Aston Villa,0,1991-08-21
Man Utd,3,1991-08-21
Coventry,3,1991-08-21
Luton,0,1991-08-21
Man City,3,1991-08-21
Liverpool,0,1991-08-21
Oldham,3,1991-08-21
Chelsea,0,1991-08-21
QPR,0,1991-08-21
Norwich,3,1991-08-21
Aston Villa,3,1991-08-24
Arsenal,0,1991-08-24
Everton,1,1991-08-24
Man Utd,1,1991-08-24
Leeds,1,1991-08-24
Sheff Wed,1,1991-08-24
Luton,1,1991-08-24
Liverpool,1,1991-08-24
Man City,3,1991-08-24
Crystal Palace,0,1991-08-24
Notts Co,0,1991-08-24
Nottm Forest,3,1991-08-24
Oldham,1,1991-08-24
Norwich,1,1991-08-24
QPR,1,1991-08-24
Coventry,1,1991-08-24
Sheff Utd,0,1991-08-24
Southampton,3,1991-08-24
Tottenham,0,1991-08-24
Chelsea,3,1991-08-24
Wimbledon FC,3,1991-08-24
West Ham,0,1991-08-24
Arsenal,3,1991-08-27
Luton,0,1991-08-27
Crystal Palace,3,1991-08-27
Wimbledon FC,0,1991-08-27
Liverpool,3,1991-08-27
QPR,0,1991-08-27
Chelsea,1,1991-08-28
Notts Co,1,1991-08-28
Coventry,3,1991-08-28
Sheff Utd,0,1991-08-28
Man Utd,3,1991-08-28
Oldham,0,1991-08-28
Norwich,1,1991-08-28
Man City,1,1991-08-28
Nottm Forest,0,1991-08-28
Tottenham,3,1991-08-28
Sheff Wed,3,1991-08-28
Everton,0,1991-08-28
Southampton,0,1991-08-28
Leeds,3,1991-08-28
West Ham,3,1991-08-28
Aston Villa,0,1991-08-28
Arsenal,3,1991-08-31
Man City,0,1991-08-31
Chelsea,3,1991-08-31
Luton,0,1991-08-31
Coventry,0,1991-08-31
Wimbledon FC,3,1991-08-31
Crystal Palace,3,1991-08-31
Sheff Utd,0,1991-08-31
Liverpool,3,1991-08-31
Everton,0,1991-08-31
Man Utd,1,1991-08-31
Leeds,1,1991-08-31
Norwich,0,1991-08-31
Tottenham,3,1991-08-31
Nottm Forest,3,1991-08-31
Oldham,0,1991-08-31
Sheff Wed,3,1991-08-31
QPR,0,1991-08-31
Southampton,1,1991-08-31
Aston Villa,1,1991-08-31
West Ham,0,1991-08-31
Notts Co,3,1991-08-31
Everton,1,1991-09-03
Norwich,1,1991-09-03
Leeds,1,1991-09-03
Arsenal,1,1991-09-03
Notts Co,3,1991-09-03
Sheff Wed,0,1991-09-03
Oldham,3,1991-09-03
Coventry,0,1991-09-03
Sheff Utd,0,1991-09-03
Chelsea,3,1991-09-03
Wimbledon FC,0,1991-09-03
Man Utd,3,1991-09-03
Aston Villa,0,1991-09-04
Crystal Palace,3,1991-09-04
Luton,3,1991-09-04
Southampton,0,1991-09-04
Man City,3,1991-09-04
Nottm Forest,0,1991-09-04
QPR,1,1991-09-04
West Ham,1,1991-09-04
Arsenal,0,1991-09-07
Coventry,3,1991-09-07
Aston Villa,1,1991-09-07
Tottenham,1,1991-09-07
Everton,1,1991-09-07
Crystal Palace,1,1991-09-07
Leeds,3,1991-09-07
Man City,0,1991-09-07
Man Utd,3,1991-09-07
Norwich,0,1991-09-07
Notts Co,0,1991-09-07
Liverpool,3,1991-09-07
Oldham,3,1991-09-07
Sheff Utd,0,1991-09-07
QPR,1,1991-09-07
Southampton,1,1991-09-07
Sheff Wed,3,1991-09-07
Nottm Forest,0,1991-09-07
West Ham,1,1991-09-07
Chelsea,1,1991-09-07
Wimbledon FC,3,1991-09-07
Luton,0,1991-09-07
Chelsea,0,1991-09-14
Leeds,3,1991-09-14
Coventry,3,1991-09-14
Notts Co,0,1991-09-14
Crystal Palace,0,1991-09-14
Arsenal,3,1991-09-14
Liverpool,1,1991-09-14
Aston Villa,1,1991-09-14
Luton,3,1991-09-14
Oldham,0,1991-09-14
Man City,0,1991-09-14
Sheff Wed,3,1991-09-14
Norwich,3,1991-09-14
West Ham,0,1991-09-14
Nottm Forest,3,1991-09-14
Wimbledon FC,0,1991-09-14
Sheff Utd,3,1991-09-14
Everton,0,1991-09-14
Southampton,0,1991-09-14
Man Utd,3,1991-09-14
Tottenham,3,1991-09-14
QPR,0,1991-09-14
Crystal Palace,0,1991-09-17
West Ham,3,1991-09-17
Luton,0,1991-09-17
QPR,3,1991-09-17
Man City,0,1991-09-17
Everton,3,1991-09-17
Sheff Utd,0,1991-09-17
Notts Co,3,1991-09-17
Chelsea,3,1991-09-18
Aston Villa,0,1991-09-18
Coventry,1,1991-09-18
Leeds,1,1991-09-18
Norwich,3,1991-09-18
Sheff Wed,0,1991-09-18
Southampton,3,1991-09-18
Wimbledon FC,0,1991-09-18
Arsenal,3,1991-09-21
Sheff Utd,0,1991-09-21
Aston Villa,3,1991-09-21
Nottm Forest,0,1991-09-21
Everton,3,1991-09-21
Coventry,0,1991-09-21
Leeds,3,1991-09-21
Liverpool,0,1991-09-21
Man Utd,3,1991-09-21
Luton,0,1991-09-21
Notts Co,1,1991-09-21
Norwich,1,1991-09-21
Oldham,0,1991-09-21
Crystal Palace,3,1991-09-21
QPR,1,1991-09-21
Chelsea,1,1991-09-21
Sheff Wed,3,1991-09-21
Southampton,0,1991-09-21
West Ham,0,1991-09-21
Man City,3,1991-09-21
Wimbledon FC,0,1991-09-21
Tottenham,3,1991-09-21
Chelsea,1,1991-09-28
Everton,1,1991-09-28
Coventry,3,1991-09-28
Aston Villa,0,1991-09-28
Crystal Palace,1,1991-09-28
QPR,1,1991-09-28
Liverpool,1,1991-09-28
Sheff Wed,1,1991-09-28
Luton,1,1991-09-28
Notts Co,1,1991-09-28
Man City,0,1991-09-28
Oldham,3,1991-09-28
Norwich,1,1991-09-28
Leeds,1,1991-09-28
Nottm Forest,1,1991-09-28
West Ham,1,1991-09-28
Sheff Utd,1,1991-09-28
Wimbledon FC,1,1991-09-28
Southampton,0,1991-09-28
Arsenal,3,1991-09-28
Tottenham,0,1991-09-28
Man Utd,3,1991-09-28
Crystal Palace,3,1991-10-01
Leeds,0,1991-10-01
Wimbledon FC,3,1991-10-02
Sheff Wed,0,1991-10-02
Arsenal,3,1991-10-05
Chelsea,0,1991-10-05
Aston Villa,3,1991-10-05
Luton,0,1991-10-05
Everton,3,1991-10-05
Tottenham,0,1991-10-05
Leeds,3,1991-10-05
Sheff Utd,0,1991-10-05
Oldham,1,1991-10-05
Southampton,1,1991-10-05
QPR,0,1991-10-05
Nottm Forest,3,1991-10-05
Sheff Wed,3,1991-10-05
Crystal Palace,0,1991-10-05
West Ham,0,1991-10-05
Coventry,3,1991-10-05
Wimbledon FC,3,1991-10-05
Norwich,0,1991-10-05
Man Utd,1,1991-10-06
Liverpool,1,1991-10-06
Notts Co,0,1991-10-06
Man City,3,1991-10-06
Chelsea,1,1991-10-19
Liverpool,1,1991-10-19
Coventry,0,1991-10-19
Crystal Palace,3,1991-10-19
Everton,0,1991-10-19
Aston Villa,3,1991-10-19
Luton,1,1991-10-19
Sheff Wed,1,1991-10-19
Man Utd,1,1991-10-19
Arsenal,1,1991-10-19
Notts Co,0,1991-10-19
Leeds,3,1991-10-19
Oldham,1,1991-10-19
West Ham,1,1991-10-19
Sheff Utd,3,1991-10-19
Nottm Forest,0,1991-10-19
Southampton,1,1991-10-19
Norwich,1,1991-10-19
Tottenham,0,1991-10-19
Man City,3,1991-10-19
Wimbledon FC,0,1991-10-19
QPR,3,1991-10-19
Arsenal,3,1991-10-26
Notts Co,0,1991-10-26
Aston Villa,3,1991-10-26
Wimbledon FC,0,1991-10-26
Crystal Palace,1,1991-10-26
Chelsea,1,1991-10-26
Leeds,3,1991-10-26
Oldham,0,1991-10-26
Liverpool,3,1991-10-26
Coventry,0,1991-10-26
Man City,3,1991-10-26
Sheff Utd,0,1991-10-26
Norwich,3,1991-10-26
Luton,0,1991-10-26
Nottm Forest,0,1991-10-26
Southampton,3,1991-10-26
QPR,3,1991-10-26
Everton,0,1991-10-26
Sheff Wed,3,1991-10-26
Man Utd,0,1991-10-26
West Ham,3,1991-10-26
Tottenham,0,1991-10-26
Arsenal,0,1991-11-02
West Ham,3,1991-11-02
Coventry,0,1991-11-02
Chelsea,3,1991-11-02
Liverpool,0,1991-11-02
Crystal Palace,3,1991-11-02
Luton,0,1991-11-02
Everton,3,1991-11-02
Man Utd,3,1991-11-02
Sheff Utd,0,1991-11-02
Norwich,1,1991-11-02
Nottm Forest,1,1991-11-02
Notts Co,3,1991-11-02
Oldham,0,1991-11-02
QPR,0,1991-11-02
Aston Villa,3,1991-11-02
Sheff Wed,1,1991-11-02
Tottenham,1,1991-11-02
Southampton,0,1991-11-02
Man City,3,1991-11-02
Wimbledon FC,1,1991-11-02
Leeds,1,1991-11-02
Aston Villa,3,1991-11-16
Notts Co,0,1991-11-16
Chelsea,0,1991-11-16
Norwich,3,1991-11-16
Crystal Palace,3,1991-11-16
Southampton,0,1991-11-16
Everton,3,1991-11-16
Wimbledon FC,0,1991-11-16
Leeds,3,1991-11-16
QPR,0,1991-11-16
Man City,1,1991-11-16
Man Utd,1,1991-11-16
Nottm Forest,3,1991-11-16
Coventry,0,1991-11-16
Oldham,1,1991-11-16
Arsenal,1,1991-11-16
Tottenham,3,1991-11-16
Luton,0,1991-11-16
Sheff Utd,3,1991-11-17
Sheff Wed,0,1991-11-17
West Ham,1,1991-11-17
Liverpool,1,1991-11-17
Everton,3,1991-11-23
Notts Co,0,1991-11-23
Luton,1,1991-11-23
Man City,1,1991-11-23
Man Utd,3,1991-11-23
West Ham,0,1991-11-23
Norwich,3,1991-11-23
Coventry,0,1991-11-23
Nottm Forest,3,1991-11-23
Crystal Palace,0,1991-11-23
QPR,0,1991-11-23
Oldham,3,1991-11-23
Sheff Wed,1,1991-11-23
Arsenal,1,1991-11-23
Southampton,3,1991-11-23
Chelsea,0,1991-11-23
Tottenham,0,1991-11-23
Sheff Utd,3,1991-11-23
Wimbledon FC,1,1991-11-23
Liverpool,1,1991-11-23
Aston Villa,0,1991-11-24
Leeds,3,1991-11-24
Chelsea,3,1991-11-30
Nottm Forest,0,1991-11-30
Coventry,3,1991-11-30
Southampton,0,1991-11-30
Crystal Palace,0,1991-11-30
Man Utd,3,1991-11-30
Leeds,3,1991-11-30
Everton,0,1991-11-30
Liverpool,3,1991-11-30
Norwich,0,1991-11-30
Man City,1,1991-11-30
Wimbledon FC,1,1991-11-30
Notts Co,0,1991-11-30
QPR,3,1991-11-30
Oldham,3,1991-11-30
Aston Villa,0,1991-11-30
Sheff Utd,1,1991-11-30
Luton,1,1991-11-30
West Ham,0,1991-11-30
Sheff Wed,3,1991-11-30
Arsenal,3,1991-12-01
Tottenham,0,1991-12-01
Aston Villa,3,1991-12-07
Man City,0,1991-12-07
Everton,3,1991-12-07
West Ham,0,1991-12-07
Luton,0,1991-12-07
Leeds,3,1991-12-07
Man Utd,3,1991-12-07
Coventry,0,1991-12-07
Norwich,1,1991-12-07
Crystal Palace,1,1991-12-07
QPR,3,1991-12-07
Sheff Utd,0,1991-12-07
Sheff Wed,3,1991-12-07
Chelsea,0,1991-12-07
Southampton,1,1991-12-07
Liverpool,1,1991-12-07
Tottenham,3,1991-12-07
Notts Co,0,1991-12-07
Wimbledon FC,3,1991-12-07
Oldham,0,1991-12-07
Nottm Forest,3,1991-12-08
Arsenal,0,1991-12-08
Leeds,1,1991-12-14
Tottenham,1,1991-12-14
Liverpool,3,1991-12-14
Nottm Forest,0,1991-12-14
Man City,1,1991-12-14
QPR,1,1991-12-14
Oldham,1,1991-12-14
Everton,1,1991-12-14
Sheff Utd,3,1991-12-14
Aston Villa,0,1991-12-14
Chelsea,0,1991-12-15
Man Utd,3,1991-12-15
Tottenham,0,1991-12-18
Liverpool,3,1991-12-18
Luton,3,1991-12-20
Coventry,0,1991-12-20
Southampton,1,1991-12-20
Notts Co,1,1991-12-20
Arsenal,3,1991-12-21
Everton,0,1991-12-21
Chelsea,3,1991-12-21
Oldham,0,1991-12-21
Liverpool,1,1991-12-21
Man City,1,1991-12-21
Norwich,0,1991-12-21
QPR,3,1991-12-21
Sheff Wed,3,1991-12-21
Wimbledon FC,0,1991-12-21
West Ham,1,1991-12-21
Sheff Utd,1,1991-12-21
Crystal Palace,0,1991-12-22
Tottenham,3,1991-12-22
Nottm Forest,1,1991-12-22
Leeds,1,1991-12-22
Aston Villa,3,1991-12-26
West Ham,0,1991-12-26
Everton,0,1991-12-26
Sheff Wed,3,1991-12-26
Leeds,1,1991-12-26
Southampton,1,1991-12-26
Luton,3,1991-12-26
Arsenal,0,1991-12-26
Man City,3,1991-12-26
Norwich,0,1991-12-26
Notts Co,3,1991-12-26
Chelsea,0,1991-12-26
Oldham,0,1991-12-26
Man Utd,3,1991-12-26
QPR,1,1991-12-26
Liverpool,1,1991-12-26
Sheff Utd,0,1991-12-26
Coventry,3,1991-12-26
Tottenham,0,1991-12-26
Nottm Forest,3,1991-12-26
Wimbledon FC,1,1991-12-26
Crystal Palace,1,1991-12-26
Aston Villa,3,1991-12-28
Southampton,0,1991-12-28
Everton,1,1991-12-28
Liverpool,1,1991-12-28
Luton,3,1991-12-28
Chelsea,0,1991-12-28
Man City,3,1991-12-28
Arsenal,0,1991-12-28
Notts Co,3,1991-12-28
West Ham,0,1991-12-28
Oldham,3,1991-12-28
Nottm Forest,0,1991-12-28
QPR,1,1991-12-28
Sheff Wed,1,1991-12-28
Sheff Utd,1,1991-12-28
Crystal Palace,1,1991-12-28
Tottenham,3,1991-12-28
Norwich,0,1991-12-28
Wimbledon FC,1,1991-12-28
Coventry,1,1991-12-28
Leeds,1,1991-12-29
Man Utd,1,1991-12-29
Arsenal,1,1992-01-01
Wimbledon FC,1,1992-01-01
Chelsea,1,1992-01-01
Man City,1,1992-01-01
Coventry,0,1992-01-01
Tottenham,3,1992-01-01
Crystal Palace,3,1992-01-01
Notts Co,0,1992-01-01
Liverpool,3,1992-01-01
Sheff Utd,0,1992-01-01
Man Utd,0,1992-01-01
QPR,3,1992-01-01
Norwich,3,1992-01-01
Aston Villa,0,1992-01-01
Nottm Forest,1,1992-01-01
Luton,1,1992-01-01
Sheff Wed,1,1992-01-01
Oldham,1,1992-01-01
Southampton,0,1992-01-01
Everton,3,1992-01-01
West Ham,0,1992-01-01
Leeds,3,1992-01-01
Arsenal,1,1992-01-11
Aston Villa,1,1992-01-11
Chelsea,3,1992-01-11
Tottenham,0,1992-01-11
Coventry,1,1992-01-11
QPR,1,1992-01-11
Crystal Palace,1,1992-01-11
Man City,1,1992-01-11
Liverpool,3,1992-01-11
Luton,0,1992-01-11
Man Utd,3,1992-01-11
Everton,0,1992-01-11
Norwich,0,1992-01-11
Oldham,3,1992-01-11
Nottm Forest,1,1992-01-11
Notts Co,1,1992-01-11
Southampton,0,1992-01-11
Sheff Utd,3,1992-01-11
West Ham,1,1992-01-11
Wimbledon FC,1,1992-01-11
Sheff Wed,0,1992-01-12
Leeds,3,1992-01-12
Aston Villa,0,1992-01-18
Sheff Wed,3,1992-01-18
Leeds,1,1992-01-18
Crystal Palace,1,1992-01-18
Luton,0,1992-01-18
West Ham,3,1992-01-18
Man City,3,1992-01-18
Coventry,0,1992-01-18
Notts Co,1,1992-01-18
Man Utd,1,1992-01-18
Oldham,0,1992-01-18
Liverpool,3,1992-01-18
QPR,1,1992-01-18
Arsenal,1,1992-01-18
Sheff Utd,3,1992-01-18
Norwich,0,1992-01-18
Tottenham,0,1992-01-18
Southampton,3,1992-01-18
Wimbledon FC,0,1992-01-18
Chelsea,3,1992-01-18
Everton,1,1992-01-19
Nottm Forest,1,1992-01-19
Man Utd,3,1992-01-22
Aston Villa,0,1992-01-22
Tottenham,1,1992-01-25
Oldham,1,1992-01-25
Liverpool,3,1992-01-28
Arsenal,0,1992-01-28
Arsenal,1,1992-02-01
Man Utd,1,1992-02-01
Crystal Palace,0,1992-02-01
Coventry,3,1992-02-01
Leeds,3,1992-02-01
Notts Co,0,1992-02-01
Liverpool,0,1992-02-01
Chelsea,3,1992-02-01
Man City,3,1992-02-01
Tottenham,0,1992-02-01
Norwich,3,1992-02-01
Southampton,0,1992-02-01
Nottm Forest,0,1992-02-01
Sheff Utd,3,1992-02-01
QPR,1,1992-02-01
Wimbledon FC,1,1992-02-01
Sheff Wed,3,1992-02-01
Luton,0,1992-02-01
West Ham,3,1992-02-01
Oldham,0,1992-02-01
Aston Villa,1,1992-02-02
Everton,1,1992-02-02
Chelsea,1,1992-02-08
Crystal Palace,1,1992-02-08
Coventry,1,1992-02-08
Liverpool,1,1992-02-08
Everton,1,1992-02-08
QPR,1,1992-02-08
Luton,3,1992-02-08
Norwich,0,1992-02-08
Man Utd,1,1992-02-08
Sheff Wed,1,1992-02-08
Notts Co,0,1992-02-08
Arsenal,3,1992-02-08
Oldham,3,1992-02-08
Leeds,0,1992-02-08
Sheff Utd,3,1992-02-08
Man City,0,1992-02-08
Wimbledon FC,3,1992-02-08
Aston Villa,0,1992-02-08
Arsenal,1,1992-02-11
Norwich,1,1992-02-11
Chelsea,1,1992-02-12
Southampton,1,1992-02-12
Arsenal,3,1992-02-15
Sheff Wed,0,1992-02-15
Man City,3,1992-02-15
Luton,0,1992-02-15
Oldham,3,1992-02-15
QPR,0,1992-02-15
Tottenham,0,1992-02-16
Crystal Palace,3,1992-02-16
Aston Villa,3,1992-02-22
Oldham,0,1992-02-22
Luton,3,1992-02-22
Sheff Utd,0,1992-02-22
Man Utd,3,1992-02-22
Crystal Palace,0,1992-02-22
Norwich,3,1992-02-22
Liverpool,0,1992-02-22
Nottm Forest,1,1992-02-22
Chelsea,1,1992-02-22
QPR,1,1992-02-22
Notts Co,1,1992-02-22
Sheff Wed,3,1992-02-22
West Ham,0,1992-02-22
Southampton,1,1992-02-22
Coventry,1,1992-02-22
Tottenham,1,1992-02-22
Arsenal,1,1992-02-22
Wimbledon FC,3,1992-02-22
Man City,0,1992-02-22
Everton,1,1992-02-23
Leeds,1,1992-02-23
Crystal Palace,1,1992-02-25
Luton,1,1992-02-25
Notts Co,1,1992-02-25
Wimbledon FC,1,1992-02-25
Man Utd,1,1992-02-26
Chelsea,1,1992-02-26
Chelsea,0,1992-02-29
Sheff Wed,3,1992-02-29
Coventry,1,1992-02-29
Man Utd,1,1992-02-29
Crystal Palace,0,1992-02-29
Norwich,3,1992-02-29
Leeds,3,1992-02-29
Luton,0,1992-02-29
Liverpool,1,1992-02-29
Southampton,1,1992-02-29
Man City,3,1992-02-29
Aston Villa,0,1992-02-29
Oldham,0,1992-02-29
Wimbledon FC,3,1992-02-29
Sheff Utd,1,1992-02-29
QPR,1,1992-02-29
West Ham,0,1992-02-29
Everton,3,1992-02-29
Crystal Palace,1,1992-03-03
Nottm Forest,1,1992-03-03
Leeds,1,1992-03-03
Aston Villa,1,1992-03-03
Southampton,3,1992-03-03
West Ham,0,1992-03-03
Coventry,1,1992-03-04
Norwich,1,1992-03-04
Everton,3,1992-03-07
Oldham,0,1992-03-07
Luton,1,1992-03-07
