team,points,date
Arsenal,0,1992-08-15
Norwich,3,1992-08-15
Chelsea,1,1992-08-15
Oldham,1,1992-08-15
Coventry,3,1992-08-15
Middlesbrough,0,1992-08-15
Crystal Palace,1,1992-08-15
Blackburn,1,1992-08-15
Everton,1,1992-08-15
Sheff Wed,1,1992-08-15
Ipswich,1,1992-08-15
Aston Villa,1,1992-08-15
Leeds,3,1992-08-15
Wimbledon FC,0,1992-08-15
Sheff Utd,3,1992-08-15
Man Utd,0,1992-08-15
Southampton,1,1992-08-15
Tottenham,1,1992-08-15
Nottm Forest,3,1992-08-16
Liverpool,0,1992-08-16
Man City,1,1992-08-17
QPR,1,1992-08-17
Blackburn,3,1992-08-18
Arsenal,0,1992-08-18
Wimbledon FC,0,1992-08-18
Ipswich,3,1992-08-18
Aston Villa,1,1992-08-19
Leeds,1,1992-08-19
Liverpool,3,1992-08-19
Sheff Utd,0,1992-08-19
Man Utd,0,1992-08-19
Everton,3,1992-08-19
Middlesbrough,3,1992-08-19
Man City,0,1992-08-19
Norwich,3,1992-08-19
Chelsea,0,1992-08-19
Oldham,1,1992-08-19
Crystal Palace,1,1992-08-19
QPR,3,1992-08-19
Southampton,0,1992-08-19
Sheff Wed,3,1992-08-19
Nottm Forest,0,1992-08-19
Tottenham,0,1992-08-19
Coventry,3,1992-08-19
Aston Villa,1,1992-08-22
Southampton,1,1992-08-22
Blackburn,3,1992-08-22
Man City,0,1992-08-22
Man Utd,1,1992-08-22
Ipswich,1,1992-08-22
Middlesbrough,3,1992-08-22
Leeds,0,1992-08-22
Norwich,1,1992-08-22
Everton,1,1992-08-22
Oldham,3,1992-08-22
Nottm Forest,0,1992-08-22
QPR,3,1992-08-22
Sheff Utd,0,1992-08-22
Sheff Wed,1,1992-08-22
Chelsea,1,1992-08-22
Tottenham,1,1992-08-22
Crystal Palace,1,1992-08-22
Wimbledon FC,0,1992-08-22
Coventry,3,1992-08-22
Liverpool,0,1992-08-23
Arsenal,3,1992-08-23
Southampton,0,1992-08-24
Man Utd,3,1992-08-24
Crystal Palace,1,1992-08-25
Sheff Wed,1,1992-08-25
Everton,3,1992-08-25
Aston Villa,0,1992-08-25
Ipswich,1,1992-08-25
Liverpool,1,1992-08-25
Leeds,3,1992-08-25
Tottenham,0,1992-08-25
Sheff Utd,1,1992-08-25
Wimbledon FC,1,1992-08-25
