team,points,date
Blackburn,1,1998-08-15
Derby,1,1998-08-15
Coventry,3,1998-08-15
Chelsea,0,1998-08-15
Everton,1,1998-08-15
Aston Villa,1,1998-08-15
Man Utd,1,1998-08-15
Leicester,1,1998-08-15
Middlesbrough,1,1998-08-15
Leeds,1,1998-08-15
Newcastle,1,1998-08-15
Charlton,1,1998-08-15
Sheff Wed,0,1998-08-15
West Ham,3,1998-08-15
Wimbledon FC,3,1998-08-15
Tottenham,0,1998-08-15
Southampton,0,1998-08-16
Liverpool,3,1998-08-16
Arsenal,3,1998-08-17
Nottm Forest,0,1998-08-17
Aston Villa,3,1998-08-22
Middlesbrough,0,1998-08-22
Charlton,3,1998-08-22
Southampton,0,1998-08-22
Chelsea,1,1998-08-22
Newcastle,1,1998-08-22
Derby,1,1998-08-22
Wimbledon FC,1,1998-08-22
Leicester,3,1998-08-22
Everton,0,1998-08-22
Liverpool,1,1998-08-22
Arsenal,1,1998-08-22
Nottm Forest,3,1998-08-22
Coventry,0,1998-08-22
Tottenham,0,1998-08-22
Sheff Wed,3,1998-08-22
West Ham,1,1998-08-22
Man Utd,1,1998-08-22
Leeds,3,1998-08-24
Blackburn,0,1998-08-24
Arsenal,1,1998-08-29
Charlton,1,1998-08-29
Blackburn,3,1998-08-29
Leicester,0,1998-08-29
Coventry,1,1998-08-29
West Ham,1,1998-08-29
Everton,0,1998-08-29
Tottenham,3,1998-08-29
Middlesbrough,1,1998-08-29
Derby,1,1998-08-29
Sheff Wed,0,1998-08-29
Aston Villa,3,1998-08-29
Southampton,0,1998-08-29
Nottm Forest,3,1998-08-29
Wimbledon FC,1,1998-08-29
Leeds,1,1998-08-29
Newcastle,0,1998-08-30
Liverpool,3,1998-08-30
Leeds,3,1998-09-08
Southampton,0,1998-09-08
Man Utd,3,1998-09-08
Charlton,0,1998-09-08
Nottm Forest,0,1998-09-08
Everton,3,1998-09-08
Aston Villa,3,1998-09-09
Newcastle,0,1998-09-09
Chelsea,1,1998-09-09
Arsenal,1,1998-09-09
Derby,3,1998-09-09
Sheff Wed,0,1998-09-09
Leicester,0,1998-09-09
Middlesbrough,3,1998-09-09
Liverpool,3,1998-09-09
Coventry,0,1998-09-09
Tottenham,3,1998-09-09
Blackburn,0,1998-09-09
West Ham,0,1998-09-09
Wimbledon FC,3,1998-09-09
Aston Villa,3,1998-09-12
Wimbledon FC,0,1998-09-12
Charlton,0,1998-09-12
Derby,3,1998-09-12
Chelsea,3,1998-09-12
Nottm Forest,0,1998-09-12
Everton,1,1998-09-12
Leeds,1,1998-09-12
Leicester,1,1998-09-12
Arsenal,1,1998-09-12
Man Utd,3,1998-09-12
Coventry,0,1998-09-12
Newcastle,3,1998-09-12
Southampton,0,1998-09-12
Sheff Wed,3,1998-09-12
Blackburn,0,1998-09-12
West Ham,3,1998-09-12
Liverpool,0,1998-09-12
Tottenham,0,1998-09-13
Middlesbrough,3,1998-09-13
Coventry,0,1998-09-19
Newcastle,3,1998-09-19
Derby,3,1998-09-19
Leicester,0,1998-09-19
Leeds,1,1998-09-19
Aston Villa,1,1998-09-19
Liverpool,1,1998-09-19
Charlton,1,1998-09-19
Middlesbrough,1,1998-09-19
Everton,1,1998-09-19
Nottm Forest,1,1998-09-19
