team,points,date
Newcastle,3,2012-08-18
Tottenham,0,2012-08-18
Arsenal,1,2012-08-18
Sunderland,1,2012-08-18
Fulham,3,2012-08-18
Norwich,0,2012-08-18
QPR,0,2012-08-18
Swansea,3,2012-08-18
Reading,1,2012-08-18
Stoke,1,2012-08-18
West Brom,3,2012-08-18
Liverpool,0,2012-08-18
West Ham,3,2012-08-18
Aston Villa,0,2012-08-18
Man City,3,2012-08-19
Southampton,0,2012-08-19
Wigan,0,2012-08-19
Chelsea,3,2012-08-19
Everton,3,2012-08-20
Man Utd,0,2012-08-20
Chelsea,3,2012-08-22
Reading,0,2012-08-22
Chelsea,3,2012-08-25
Newcastle,0,2012-08-25
Aston Villa,0,2012-08-25
Everton,3,2012-08-25
Man Utd,3,2012-08-25
Fulham,0,2012-08-25
Norwich,1,2012-08-25
QPR,1,2012-08-25
Southampton,0,2012-08-25
Wigan,3,2012-08-25
Tottenham,1,2012-08-25
West Brom,1,2012-08-25
Swansea,3,2012-08-25
West Ham,0,2012-08-25
Liverpool,1,2012-08-26
Man City,1,2012-08-26
Stoke,1,2012-08-26
Arsenal,1,2012-08-26
Man City,3,2012-09-01
QPR,0,2012-09-01
Swansea,1,2012-09-01
Sunderland,1,2012-09-01
Tottenham,1,2012-09-01
Norwich,1,2012-09-01
West Brom,3,2012-09-01
Everton,0,2012-09-01
Wigan,1,2012-09-01
Stoke,1,2012-09-01
West Ham,3,2012-09-01
Fulham,0,2012-09-01
Newcastle,1,2012-09-02
Aston Villa,1,2012-09-02
Southampton,0,2012-09-02
Man Utd,3,2012-09-02
Liverpool,0,2012-09-02
Arsenal,3,2012-09-02
Sunderland,1,2012-09-15
Liverpool,1,2012-09-15
Arsenal,3,2012-09-15
Southampton,0,2012-09-15
Aston Villa,3,2012-09-15
Swansea,0,2012-09-15
Fulham,3,2012-09-15
West Brom,0,2012-09-15
Man Utd,3,2012-09-15
Wigan,0,2012-09-15
QPR,1,2012-09-15
Chelsea,1,2012-09-15
Stoke,1,2012-09-15
Man City,1,2012-09-15
Norwich,1,2012-09-15
West Ham,1,2012-09-15
Reading,0,2012-09-16
Tottenham,3,2012-09-16
Everton,1,2012-09-17
Newcastle,1,2012-09-17
Chelsea,3,2012-09-22
Stoke,0,2012-09-22
Southampton,3,2012-09-22
Aston Villa,0,2012-09-22
West Brom,3,2012-09-22
Reading,0,2012-09-22
West Ham,1,2012-09-22
Sunderland,1,2012-09-22
Wigan,0,2012-09-22
Fulham,3,2012-09-22
Swansea,0,2012-09-22
Everton,3,2012-09-22
Man City,1,2012-09-23
Arsenal,1,2012-09-23
Tottenham,3,2012-09-23
QPR,0,2012-09-23
Newcastle,3,2012-09-23
Norwich,0,2012-09-23
Liverpool,0,2012-09-23
Man Utd,3,2012-09-23
Man Utd,0,2012-09-29
Tottenham,3,2012-09-29
Everton,3,2012-09-29
Southampton,0,2012-09-29
Fulham,0,2012-09-29
Man City,3,2012-09-29
Norwich,0,2012-09-29
Liverpool,3,2012-09-29
Reading,1,2012-09-29
Newcastle,1,2012-09-29
Stoke,3,2012-09-29
Swansea,0,2012-09-29
Sunderland,3,2012-09-29
Wigan,0,2012-09-29
Arsenal,0,2012-09-29
Chelsea,3,2012-09-29
Aston Villa,1,2012-09-30
West Brom,1,2012-09-30
QPR,0,2012-10-01
West Ham,3,2012-10-01
West Ham,0,2012-10-06
Arsenal,3,2012-10-06
Chelsea,3,2012-10-06
Norwich,0,2012-10-06
Swansea,1,2012-10-06
Reading,1,2012-10-06
West Brom,3,2012-10-06
QPR,0,2012-10-06
Wigan,1,2012-10-06
Everton,1,2012-10-06
Man City,3,2012-10-06
Sunderland,0,2012-10-06
Newcastle,0,2012-10-07
Man Utd,3,2012-10-07
Liverpool,1,2012-10-07
Stoke,1,2012-10-07
Tottenham,3,2012-10-07
Aston Villa,0,2012-10-07
Southampton,1,2012-10-07
Fulham,1,2012-10-07
Norwich,3,2012-10-20
Arsenal,0,2012-10-20
Fulham,3,2012-10-20
Aston Villa,0,2012-10-20
Liverpool,3,2012-10-20
Reading,0,2012-10-20
Man Utd,3,2012-10-20
Stoke,0,2012-10-20
Swansea,3,2012-10-20
Wigan,0,2012-10-20
West Brom,0,2012-10-20
Man City,3,2012-10-20
West Ham,3,2012-10-20
Southampton,0,2012-10-20
Tottenham,0,2012-10-20
Chelsea,3,2012-10-20
QPR,1,2012-10-21
Everton,1,2012-10-21
Sunderland,1,2012-10-21
Newcastle,1,2012-10-21
Man City,3,2012-10-27
Swansea,0,2012-10-27
Arsenal,3,2012-10-27
QPR,0,2012-10-27
Reading,1,2012-10-27
Fulham,1,2012-10-27
Stoke,1,2012-10-27
Sunderland,1,2012-10-27
Wigan,3,2012-10-27
West Ham,0,2012-10-27
Aston Villa,1,2012-10-27
Norwich,1,2012-10-27
Chelsea,0,2012-10-28
Man Utd,3,2012-10-28
Newcastle,3,2012-10-28
West Brom,0,2012-10-28
Southampton,0,2012-10-28
Tottenham,3,2012-10-28
Everton,1,2012-10-28
Liverpool,1,2012-10-28
West Ham,1,2012-11-03
Man City,1,2012-11-03
Fulham,1,2012-11-03
Everton,1,2012-11-03
Norwich,3,2012-11-03
Stoke,0,2012-11-03
Sunderland,0,2012-11-03
Aston Villa,3,2012-11-03
Swansea,1,2012-11-03
Chelsea,1,2012-11-03
Tottenham,0,2012-11-03
Wigan,3,2012-11-03
Man Utd,3,2012-11-03
Arsenal,0,2012-11-03
Liverpool,1,2012-11-04
Newcastle,1,2012-11-04
QPR,1,2012-11-04
Reading,1,2012-11-04
West Brom,3,2012-11-05
Southampton,0,2012-11-05
Aston Villa,0,2012-11-10
Man Utd,3,2012-11-10
Arsenal,1,2012-11-10
Fulham,1,2012-11-10
Everton,3,2012-11-10
Sunderland,0,2012-11-10
Reading,1,2012-11-10
Norwich,1,2012-11-10
Southampton,1,2012-11-10
Swansea,1,2012-11-10
Stoke,3,2012-11-10
QPR,0,2012-11-10
Wigan,0,2012-11-10
West Brom,3,2012-11-10
Chelsea,1,2012-11-11
Liverpool,1,2012-11-11
Newcastle,0,2012-11-11
West Ham,3,2012-11-11
Man City,3,2012-11-11
Tottenham,0,2012-11-11
Norwich,3,2012-11-17
Man Utd,0,2012-11-17
Liverpool,3,2012-11-17
Wigan,0,2012-11-17
Man City,3,2012-11-17
Aston Villa,0,2012-11-17
Newcastle,0,2012-11-17
Swansea,3,2012-11-17
QPR,0,2012-11-17
Southampton,3,2012-11-17
Reading,3,2012-11-17
Everton,0,2012-11-17
West Brom,3,2012-11-17
Chelsea,0,2012-11-17
Arsenal,3,2012-11-17
Tottenham,0,2012-11-17
Fulham,0,2012-11-18
Sunderland,3,2012-11-18
West Ham,1,2012-11-19
Stoke,1,2012-11-19
Aston Villa,1,2012-11-24
Arsenal,1,2012-11-24
Everton,1,2012-11-24
Norwich,1,2012-11-24
Man Utd,3,2012-11-24
QPR,0,2012-11-24
Stoke,3,2012-11-24
Fulham,0,2012-11-24
Wigan,3,2012-11-24
Reading,0,2012-11-24
Sunderland,0,2012-11-24
West Brom,3,2012-11-24
Chelsea,1,2012-11-25
Man City,1,2012-11-25
Tottenham,3,2012-11-25
West Ham,0,2012-11-25
Southampton,3,2012-11-25
Newcastle,0,2012-11-25
Swansea,1,2012-11-25
Liverpool,1,2012-11-25
Aston Villa,3,2012-11-27
Reading,0,2012-11-27
Sunderland,1,2012-11-27
QPR,1,2012-11-27
Man Utd,3,2012-11-28
West Ham,0,2012-11-28
Wigan,0,2012-11-28
Man City,3,2012-11-28
Chelsea,1,2012-11-28
Fulham,1,2012-11-28
Everton,1,2012-11-28
Arsenal,1,2012-11-28
Southampton,1,2012-11-28
Norwich,1,2012-11-28
Stoke,3,2012-11-28
Newcastle,0,2012-11-28
Swansea,3,2012-11-28
West Brom,0,2012-11-28
Tottenham,3,2012-11-28
Liverpool,0,2012-11-28
Reading,0,2012-12-01
Man Utd,3,2012-12-01
Arsenal,0,2012-12-01
Swansea,3,2012-12-01
Fulham,0,2012-12-01
Tottenham,3,2012-12-01
Liverpool,3,2012-12-01
Southampton,0,2012-12-01
Man City,1,2012-12-01
Everton,1,2012-12-01
QPR,1,2012-12-01
Aston Villa,1,2012-12-01
West Brom,0,2012-12-01
Stoke,3,2012-12-01
West Ham,3,2012-12-01
Chelsea,0,2012-12-01
Norwich,3,2012-12-02
Sunderland,0,2012-12-02
Newcastle,3,2012-12-03
Wigan,0,2012-12-03
Arsenal,3,2012-12-08
West Brom,0,2012-12-08
Aston Villa,1,2012-12-08
Stoke,1,2012-12-08
Southampton,3,2012-12-08
Reading,0,2012-12-08
Sunderland,0,2012-12-08
Chelsea,3,2012-12-08
Swansea,0,2012-12-08
Norwich,3,2012-12-08
Wigan,1,2012-12-08
QPR,1,2012-12-08
West Ham,0,2012-12-09
Liverpool,3,2012-12-09
Everton,3,2012-12-09
Tottenham,0,2012-12-09
Man City,0,2012-12-09
Man Utd,3,2012-12-09
Fulham,3,2012-12-10
Newcastle,0,2012-12-10
Sunderland,3,2012-12-11
Reading,0,2012-12-11
Liverpool,0,2012-12-15
Aston Villa,3,2012-12-15
Man Utd,3,2012-12-15
Sunderland,0,2012-12-15
Norwich,3,2012-12-15
Wigan,0,2012-12-15
QPR,3,2012-12-15
Fulham,0,2012-12-15
Stoke,1,2012-12-15
Everton,1,2012-12-15
Newcastle,0,2012-12-15
Man City,3,2012-12-15
West Brom,1,2012-12-16
West Ham,1,2012-12-16
Tottenham,3,2012-12-16
Swansea,0,2012-12-16
Reading,0,2012-12-17
Arsenal,3,2012-12-17
Liverpool,3,2012-12-22
Fulham,0,2012-12-22
Man City,3,2012-12-22
Reading,0,2012-12-22
Newcastle,3,2012-12-22
QPR,0,2012-12-22
Southampton,0,2012-12-22
Sunderland,3,2012-12-22
Tottenham,1,2012-12-22
Stoke,1,2012-12-22
West Brom,3,2012-12-22
Norwich,0,2012-12-22
West Ham,0,2012-12-22
Everton,3,2012-12-22
Wigan,0,2012-12-22
Arsenal,3,2012-12-22
Chelsea,3,2012-12-23
Aston Villa,0,2012-12-23
Swansea,1,2012-12-23
Man Utd,1,2012-12-23
Stoke,3,2012-12-26
Liverpool,0,2012-12-26
Aston Villa,0,2012-12-26
Tottenham,3,2012-12-26
QPR,0,2012-12-26
West Brom,3,2012-12-26
Everton,3,2012-12-26
Wigan,0,2012-12-26
Fulham,1,2012-12-26
Southampton,1,2012-12-26
Man Utd,3,2012-12-26
Newcastle,0,2012-12-26
Norwich,0,2012-12-26
Chelsea,3,2012-12-26
Reading,1,2012-12-26
Swansea,1,2012-12-26
Sunderland,3,2012-12-26
Man City,0,2012-12-26
Arsenal,3,2012-12-29
Newcastle,0,2012-12-29
Aston Villa,0,2012-12-29
Wigan,3,2012-12-29
Fulham,0,2012-12-29
Swansea,3,2012-12-29
Man Utd,3,2012-12-29
West Brom,0,2012-12-29
Norwich,0,2012-12-29
Man City,3,2012-12-29
Reading,3,2012-12-29
West Ham,0,2012-12-29
Stoke,1,2012-12-29
Southampton,1,2012-12-29
Sunderland,0,2012-12-29
Tottenham,3,2012-12-29
QPR,0,2012-12-30
Liverpool,3,2012-12-30
Everton,0,2012-12-30
Chelsea,3,2012-12-30
Southampton,1,2013-01-01
Arsenal,1,2013-01-01
Man City,3,2013-01-01
Stoke,0,2013-01-01
Swansea,1,2013-01-01
Aston Villa,1,2013-01-01
Tottenham,3,2013-01-01
Reading,0,2013-01-01
West Ham,3,2013-01-01
Norwich,0,2013-01-01
Wigan,0,2013-01-01
Man Utd,3,2013-01-01
West Brom,0,2013-01-01
Fulham,3,2013-01-01
Newcastle,0,2013-01-02
Everton,3,2013-01-02
Chelsea,0,2013-01-02
QPR,3,2013-01-02
Liverpool,3,2013-01-02
Sunderland,0,2013-01-02
Aston Villa,0,2013-01-12
Southampton,3,2013-01-12
Everton,1,2013-01-12
Swansea,1,2013-01-12
Fulham,1,2013-01-12
Wigan,1,2013-01-12
Norwich,1,2013-01-12
Newcastle,1,2013-01-12
Reading,3,2013-01-12
West Brom,0,2013-01-12
Stoke,0,2013-01-12
Chelsea,3,2013-01-12
Sunderland,3,2013-01-12
West Ham,0,2013-01-12
QPR,1,2013-01-12
Tottenham,1,2013-01-12
Arsenal,0,2013-01-13
Man City,3,2013-01-13
Man Utd,3,2013-01-13
Liverpool,0,2013-01-13
Chelsea,1,2013-01-16
Southampton,1,2013-01-16
West Brom,1,2013-01-19
Aston Villa,1,2013-01-19
Liverpool,3,2013-01-19
Norwich,0,2013-01-19
Man City,3,2013-01-19
Fulham,0,2013-01-19
Newcastle,0,2013-01-19
Reading,3,2013-01-19
Swansea,3,2013-01-19
Stoke,0,2013-01-19
West Ham,1,2013-01-19
QPR,1,2013-01-19
Wigan,0,2013-01-19
Sunderland,3,2013-01-19
Tottenham,1,2013-01-20
Man Utd,1,2013-01-20
Chelsea,3,2013-01-20
Arsenal,0,2013-01-20
Southampton,1,2013-01-21
Everton,1,2013-01-21
Arsenal,3,2013-01-23
West Ham,0,2013-01-23
Aston Villa,0,2013-01-29
Newcastle,3,2013-01-29
QPR,1,2013-01-29
Man City,1,2013-01-29
Stoke,1,2013-01-29
Wigan,1,2013-01-29
Sunderland,1,2013-01-29
Swansea,1,2013-01-29
Fulham,3,2013-01-30
West Ham,0,2013-01-30
Man Utd,3,2013-01-30
Southampton,0,2013-01-30
Reading,1,2013-01-30
Chelsea,1,2013-01-30
Arsenal,1,2013-01-30
Liverpool,1,2013-01-30
Everton,3,2013-01-30
West Brom,0,2013-01-30
Norwich,1,2013-01-30
Tottenham,1,2013-01-30
Fulham,0,2013-02-02
Man Utd,3,2013-02-02
Arsenal,3,2013-02-02
Stoke,0,2013-02-02
Everton,1,2013-02-02
Aston Villa,1,2013-02-02
Newcastle,3,2013-02-02
Chelsea,0,2013-02-02
Reading,3,2013-02-02
Sunderland,0,2013-02-02
West Ham,3,2013-02-02
Swansea,0,2013-02-02
Wigan,1,2013-02-02
Southampton,1,2013-02-02
QPR,1,2013-02-02
Norwich,1,2013-02-02
Man City,1,2013-02-03
Liverpool,1,2013-02-03
West Brom,0,2013-02-03
Tottenham,3,2013-02-03
Southampton,3,2013-02-09
Man City,0,2013-02-09
Chelsea,3,2013-02-09
Wigan,0,2013-02-09
Norwich,1,2013-02-09
Fulham,1,2013-02-09
Stoke,3,2013-02-09
Reading,0,2013-02-09
Sunderland,0,2013-02-09
Arsenal,3,2013-02-09
Swansea,3,2013-02-09
QPR,0,2013-02-09
Tottenham,3,2013-02-09
Newcastle,0,2013-02-09
Man Utd,3,2013-02-10
Everton,0,2013-02-10
Aston Villa,3,2013-02-10
West Ham,0,2013-02-10
Liverpool,0,2013-02-11
West Brom,3,2013-02-11
Liverpool,3,2013-02-17
Swansea,0,2013-02-17
Arsenal,3,2013-02-23
Aston Villa,0,2013-02-23
Norwich,3,2013-02-23
Everton,0,2013-02-23
QPR,0,2013-02-23
Man Utd,3,2013-02-23
Reading,0,2013-02-23
Wigan,3,2013-02-23
West Brom,3,2013-02-23
Sunderland,0,2013-02-23
Fulham,3,2013-02-23
Stoke,0,2013-02-23
Man City,3,2013-02-24
Chelsea,0,2013-02-24
Newcastle,3,2013-02-24
Southampton,0,2013-02-24
West Ham,0,2013-02-25
Tottenham,3,2013-02-25
Wigan,0,2013-03-02
Liverpool,3,2013-03-02
Chelsea,3,2013-03-02
West Brom,0,2013-03-02
Everton,3,2013-03-02
Reading,0,2013-03-02
Man Utd,3,2013-03-02
Norwich,0,2013-03-02
Southampton,0,2013-03-02
QPR,3,2013-03-02
Stoke,0,2013-03-02
West Ham,3,2013-03-02
Sunderland,1,2013-03-02
Fulham,1,2013-03-02
Swansea,3,2013-03-02
Newcastle,0,2013-03-02
Tottenham,3,2013-03-03
Arsenal,0,2013-03-03
Aston Villa,0,2013-03-04
Man City,3,2013-03-04
Norwich,1,2013-03-09
Southampton,1,2013-03-09
QPR,3,2013-03-09
Sunderland,0,2013-03-09
