team,points,date
Newcastle,1,2011-08-13
Arsenal,1,2011-08-13
Blackburn,0,2011-08-13
Wolves,3,2011-08-13
Fulham,1,2011-08-13
Aston Villa,1,2011-08-13
Liverpool,1,2011-08-13
Sunderland,1,2011-08-13
QPR,0,2011-08-13
Bolton,3,2011-08-13
Wigan,1,2011-08-13
Norwich,1,2011-08-13
West Brom,0,2011-08-14
Man Utd,3,2011-08-14
Stoke,1,2011-08-14
Chelsea,1,2011-08-14
Man City,3,2011-08-15
Swansea,0,2011-08-15
Chelsea,3,2011-08-20
West Brom,0,2011-08-20
Aston Villa,3,2011-08-20
Blackburn,0,2011-08-20
Everton,0,2011-08-20
QPR,3,2011-08-20
Swansea,1,2011-08-20
Wigan,1,2011-08-20
Arsenal,0,2011-08-20
Liverpool,3,2011-08-20
Sunderland,0,2011-08-20
Newcastle,3,2011-08-20
Bolton,0,2011-08-21
Man City,3,2011-08-21
Wolves,3,2011-08-21
Fulham,0,2011-08-21
Norwich,1,2011-08-21
Stoke,1,2011-08-21
Man Utd,3,2011-08-22
Tottenham,0,2011-08-22
Liverpool,3,2011-08-27
Bolton,0,2011-08-27
Blackburn,0,2011-08-27
Everton,3,2011-08-27
Chelsea,3,2011-08-27
Norwich,0,2011-08-27
Swansea,1,2011-08-27
Sunderland,1,2011-08-27
Wigan,3,2011-08-27
QPR,0,2011-08-27
Aston Villa,1,2011-08-27
Wolves,1,2011-08-27
Man Utd,3,2011-08-28
Arsenal,0,2011-08-28
West Brom,0,2011-08-28
Stoke,3,2011-08-28
Tottenham,0,2011-08-28
Man City,3,2011-08-28
Newcastle,3,2011-08-28
Fulham,0,2011-08-28
Bolton,0,2011-09-10
Man Utd,3,2011-09-10
Arsenal,3,2011-09-10
Swansea,0,2011-09-10
Everton,1,2011-09-10
Aston Villa,1,2011-09-10
Man City,3,2011-09-10
Wigan,0,2011-09-10
Stoke,3,2011-09-10
Liverpool,0,2011-09-10
Sunderland,0,2011-09-10
Chelsea,3,2011-09-10
Wolves,0,2011-09-10
Tottenham,3,2011-09-10
Fulham,1,2011-09-11
Blackburn,1,2011-09-11
Norwich,0,2011-09-11
West Brom,3,2011-09-11
QPR,1,2011-09-12
Newcastle,1,2011-09-12
Aston Villa,1,2011-09-17
Newcastle,1,2011-09-17
Bolton,0,2011-09-17
Norwich,3,2011-09-17
Everton,3,2011-09-17
Wigan,0,2011-09-17
