team,points,date
Dortmund,0,1990-08-08
Stuttgart,3,1990-08-08
Hertha,0,1990-08-09
St. Pauli,3,1990-08-09
Nurnberg,1,1990-08-10
Uerdingen,1,1990-08-10
Bayern,1,1990-08-11
Leverkusen,1,1990-08-11
FC Koln,1,1990-08-11
Dusseldorf,1,1990-08-11
Frankfurt,3,1990-08-11
Karlsruher,0,1990-08-11
Hamburger SV,0,1990-08-11
Kaiserslautern,3,1990-08-11
Monchengladbach,0,1990-08-11
Bochum,3,1990-08-11
Wattenscheid,3,1990-08-11
Bremen,0,1990-08-11
St. Pauli,1,1990-08-14
Bayern,1,1990-08-14
Bremen,3,1990-08-17
Monchengladbach,0,1990-08-17
Stuttgart,3,1990-08-17
Hertha,0,1990-08-17
Bochum,3,1990-08-18
FC Koln,0,1990-08-18
Dusseldorf,3,1990-08-18
Hamburger SV,0,1990-08-18
Kaiserslautern,1,1990-08-18
Frankfurt,1,1990-08-18
Karlsruher,0,1990-08-18
Dortmund,3,1990-08-18
Leverkusen,1,1990-08-18
Nurnberg,1,1990-08-18
Uerdingen,0,1990-08-18
Wattenscheid,3,1990-08-18
Dortmund,0,1990-08-24
Kaiserslautern,3,1990-08-24
Frankfurt,3,1990-08-24
Dusseldorf,0,1990-08-24
Hamburger SV,3,1990-08-24
Bochum,0,1990-08-24
Bayern,3,1990-08-25
Stuttgart,0,1990-08-25
FC Koln,3,1990-08-25
Bremen,0,1990-08-25
Hertha,1,1990-08-25
Karlsruher,1,1990-08-25
Nurnberg,3,1990-08-25
St. Pauli,0,1990-08-25
Uerdingen,1,1990-08-25
Leverkusen,1,1990-08-25
Wattenscheid,1,1990-08-25
Monchengladbach,1,1990-08-25
Kaiserslautern,3,1990-08-31
Hertha,0,1990-08-31
Bochum,1,1990-09-01
Frankfurt,1,1990-09-01
Bremen,3,1990-09-01
Hamburger SV,0,1990-09-01
Karlsruher,0,1990-09-01
Bayern,3,1990-09-01
Monchengladbach,1,1990-09-01
FC Koln,1,1990-09-01
St. Pauli,1,1990-09-01
Uerdingen,1,1990-09-01
Stuttgart,3,1990-09-01
Nurnberg,0,1990-09-01
Dusseldorf,1,1990-09-02
Dortmund,1,1990-09-02
Leverkusen,3,1990-09-04
Wattenscheid,0,1990-09-04
Bayern,3,1990-09-07
Kaiserslautern,0,1990-09-07
Dortmund,3,1990-09-07
Bochum,0,1990-09-07
Uerdingen,3,1990-09-07
Stuttgart,0,1990-09-07
Frankfurt,1,1990-09-08
Bremen,1,1990-09-08
Hamburger SV,3,1990-09-08
Monchengladbach,0,1990-09-08
Hertha,0,1990-09-08
Dusseldorf,3,1990-09-08
Leverkusen,3,1990-09-08
St. Pauli,0,1990-09-08
Nurnberg,1,1990-09-08
Karlsruher,1,1990-09-08
Wattenscheid,0,1990-09-08
FC Koln,3,1990-09-08
Kaiserslautern,3,1990-09-14
Nurnberg,0,1990-09-14
Karlsruher,3,1990-09-14
Uerdingen,0,1990-09-14
St. Pauli,1,1990-09-14
Wattenscheid,1,1990-09-14
Bochum,3,1990-09-15
Hertha,0,1990-09-15
Bremen,1,1990-09-15
Dortmund,1,1990-09-15
Dusseldorf,0,1990-09-15
Bayern,3,1990-09-15
FC Koln,3,1990-09-15
Hamburger SV,0,1990-09-15
Monchengladbach,1,1990-09-15
Frankfurt,1,1990-09-15
Stuttgart,0,1990-09-15
Leverkusen,3,1990-09-15
Wattenscheid,0,1990-09-21
Hamburger SV,3,1990-09-21
Bayern,1,1990-09-22
Bochum,1,1990-09-22
Dortmund,1,1990-09-22
Monchengladbach,1,1990-09-22
Frankfurt,3,1990-09-22
FC Koln,0,1990-09-22
Hertha,1,1990-09-22
Bremen,1,1990-09-22
Leverkusen,3,1990-09-22
Karlsruher,0,1990-09-22
St. Pauli,1,1990-09-22
Stuttgart,1,1990-09-22
Uerdingen,0,1990-09-22
Kaiserslautern,3,1990-09-22
Nurnberg,3,1990-09-23
Dusseldorf,0,1990-09-23
Bremen,3,1990-09-28
Bayern,0,1990-09-28
Kaiserslautern,3,1990-09-28
Leverkusen,0,1990-09-28
Monchengladbach,3,1990-09-28
Hertha,0,1990-09-28
Bochum,1,1990-09-29
Nurnberg,1,1990-09-29
Dusseldorf,0,1990-09-29
Uerdingen,3,1990-09-29
FC Koln,0,1990-09-29
Dortmund,3,1990-09-29
Hamburger SV,0,1990-09-29
Frankfurt,3,1990-09-29
Karlsruher,1,1990-09-29
St. Pauli,1,1990-09-29
Stuttgart,0,1990-09-29
Wattenscheid,3,1990-09-29
Uerdingen,3,1990-10-05
Bochum,0,1990-10-05
Bayern,3,1990-10-06
Monchengladbach,0,1990-10-06
Dortmund,1,1990-10-06
Hamburger SV,1,1990-10-06
Hertha,1,1990-10-06
FC Koln,1,1990-10-06
Leverkusen,1,1990-10-06
Dusseldorf,1,1990-10-06
Nurnberg,0,1990-10-06
Bremen,3,1990-10-06
St. Pauli,3,1990-10-06
Kaiserslautern,0,1990-10-06
Stuttgart,1,1990-10-06
Karlsruher,1,1990-10-06
Wattenscheid,3,1990-10-06
Frankfurt,0,1990-10-06
Karlsruher,0,1990-10-12
Wattenscheid,3,1990-10-12
Bochum,3,1990-10-13
Leverkusen,0,1990-10-13
Bremen,3,1990-10-13
Uerdingen,0,1990-10-13
Dusseldorf,1,1990-10-13
St. Pauli,1,1990-10-13
FC Koln,3,1990-10-13
Bayern,0,1990-10-13
Frankfurt,3,1990-10-13
Dortmund,0,1990-10-13
Kaiserslautern,3,1990-10-13
Stuttgart,0,1990-10-13
Monchengladbach,3,1990-10-13
Nurnberg,0,1990-10-13
Hamburger SV,3,1990-10-14
Hertha,0,1990-10-14
Leverkusen,1,1990-10-19
Bremen,1,1990-10-19
St. Pauli,1,1990-10-19
Bochum,1,1990-10-19
Wattenscheid,1,1990-10-19
Dortmund,1,1990-10-19
Bayern,3,1990-10-20
Hamburger SV,0,1990-10-20
Hertha,3,1990-10-20
Frankfurt,0,1990-10-20
Karlsruher,3,1990-10-20
Kaiserslautern,0,1990-10-20
Nurnberg,0,1990-10-20
FC Koln,3,1990-10-20
Stuttgart,1,1990-10-20
Dusseldorf,1,1990-10-20
Uerdingen,1,1990-10-20
Monchengladbach,1,1990-10-20
Bochum,1,1990-10-26
Stuttgart,1,1990-10-26
Bremen,3,1990-10-26
St. Pauli,0,1990-10-26
Dortmund,3,1990-10-27
Hertha,0,1990-10-27
Dusseldorf,3,1990-10-27
Karlsruher,0,1990-10-27
FC Koln,3,1990-10-27
Uerdingen,0,1990-10-27
Frankfurt,0,1990-10-27
Bayern,3,1990-10-27
Hamburger SV,3,1990-10-27
Nurnberg,0,1990-10-27
Kaiserslautern,1,1990-10-27
Wattenscheid,1,1990-10-27
