team,points,date
Hamburger SV,0,2015-01-22
Bayern,3,2015-01-22
Monchengladbach,0,2015-01-23
Dortmund,3,2015-01-23
FC Koln,0,2015-01-23
Stuttgart,3,2015-01-23
Hannover,0,2015-01-23
Darmstadt,3,2015-01-23
Hertha,1,2015-01-23
Augsburg,1,2015-01-23
Hoffenheim,1,2015-01-23
Leverkusen,1,2015-01-23
Ingolstadt,3,2015-01-23
Mainz,0,2015-01-23
Schalke,0,2015-01-24
Bremen,3,2015-01-24
Frankfurt,3,2015-01-24
Wolfsburg,0,2015-01-24
Mainz,3,2015-01-29
Monchengladbach,0,2015-01-29
Stuttgart,3,2015-01-30
Hamburger SV,0,2015-01-30
Augsburg,1,2015-01-30
Frankfurt,1,2015-01-30
Bremen,1,2015-01-30
Hertha,1,2015-01-30
Darmstadt,0,2015-01-30
Schalke,3,2015-01-30
Dortmund,3,2015-01-30
Ingolstadt,0,2015-01-30
Leverkusen,3,2015-01-30
Hannover,0,2015-01-30
Bayern,3,2015-01-31
Hoffenheim,0,2015-01-31
Wolfsburg,1,2015-01-31
FC Koln,1,2015-01-31
Monchengladbach,3,2015-02-05
Bremen,0,2015-02-05
Leverkusen,1,2015-02-06
Bayern,1,2015-02-06
Frankfurt,0,2015-02-06
Stuttgart,3,2015-02-06
Hannover,0,2015-02-06
Mainz,3,2015-02-06
Hertha,1,2015-02-06
Dortmund,1,2015-02-06
Ingolstadt,3,2015-02-06
Augsburg,0,2015-02-06
Schalke,3,2015-02-06
Wolfsburg,0,2015-02-06
Hoffenheim,0,2015-02-07
Darmstadt,3,2015-02-07
Hamburger SV,1,2015-02-07
FC Koln,1,2015-02-07
Mainz,3,2015-02-12
Schalke,0,2015-02-12
FC Koln,3,2015-02-13
Frankfurt,0,2015-02-13
Bremen,1,2015-02-13
Hoffenheim,1,2015-02-13
Darmstadt,0,2015-02-13
Leverkusen,3,2015-02-13
Dortmund,3,2015-02-13
Hannover,0,2015-02-13
Stuttgart,3,2015-02-13
Hertha,0,2015-02-13
Wolfsburg,3,2015-02-13
Ingolstadt,0,2015-02-13
Augsburg,0,2015-02-14
Bayern,3,2015-02-14
Hamburger SV,3,2015-02-14
Monchengladbach,0,2015-02-14
Frankfurt,1,2015-02-19
Hamburger SV,1,2015-02-19
Bayern,3,2015-02-20
Darmstadt,0,2015-02-20
Hertha,1,2015-02-20
Wolfsburg,1,2015-02-20
Hoffenheim,3,2015-02-20
Mainz,0,2015-02-20
Ingolstadt,3,2015-02-20
Bremen,0,2015-02-20
Monchengladbach,3,2015-02-20
FC Koln,0,2015-02-20
Hannover,0,2015-02-21
Augsburg,3,2015-02-21
Schalke,1,2015-02-21
Stuttgart,1,2015-02-21
Leverkusen,0,2015-02-21
Dortmund,3,2015-02-21
FC Koln,0,2015-02-26
Hertha,3,2015-02-26
Bremen,1,2015-02-27
Darmstadt,1,2015-02-27
Hamburger SV,1,2015-02-27
Ingolstadt,1,2015-02-27
Stuttgart,0,2015-02-27
Hannover,3,2015-02-27
Wolfsburg,0,2015-02-27
Bayern,3,2015-02-27
Frankfurt,1,2015-02-28
Schalke,1,2015-02-28
Dortmund,3,2015-02-28
Hoffenheim,0,2015-02-28
Mainz,3,2015-02-28
Leverkusen,0,2015-02-28
Augsburg,1,2015-02-28
Monchengladbach,1,2015-02-28
Hannover,0,2015-03-01
Wolfsburg,3,2015-03-01
Ingolstadt,1,2015-03-01
FC Koln,1,2015-03-01
Bayern,0,2015-03-02
Mainz,3,2015-03-02
Darmstadt,0,2015-03-02
Dortmund,3,2015-03-02
Hertha,3,2015-03-02
Frankfurt,0,2015-03-02
Hoffenheim,3,2015-03-02
Augsburg,0,2015-03-02
Leverkusen,0,2015-03-02
Bremen,3,2015-03-02
Monchengladbach,3,2015-03-02
Stuttgart,0,2015-03-02
Schalke,3,2015-03-02
Hamburger SV,0,2015-03-02
Dortmund,1,2015-03-05
Bayern,1,2015-03-05
Augsburg,1,2015-03-05
Leverkusen,1,2015-03-05
Bremen,3,2015-03-05
Hannover,0,2015-03-05
FC Koln,0,2015-03-05
Schalke,3,2015-03-05
Frankfurt,1,2015-03-05
Ingolstadt,1,2015-03-05
Stuttgart,3,2015-03-05
Hoffenheim,0,2015-03-05
Wolfsburg,3,2015-03-05
Monchengladbach,0,2015-03-05
Hamburger SV,3,2015-03-06
Hertha,0,2015-03-06
Mainz,1,2015-03-06
Darmstadt,1,2015-03-06
Hertha,3,2015-03-11
Schalke,0,2015-03-11
Bayern,3,2015-03-12
Bremen,0,2015-03-12
Darmstadt,1,2015-03-12
Augsburg,1,2015-03-12
Hannover,0,2015-03-12
FC Koln,3,2015-03-12
Hoffenheim,3,2015-03-12
Wolfsburg,0,2015-03-12
Ingolstadt,1,2015-03-12
Stuttgart,1,2015-03-12
Monchengladbach,3,2015-03-12
Frankfurt,0,2015-03-12
Dortmund,3,2015-03-13
Mainz,0,2015-03-13
Leverkusen,3,2015-03-13
Hamburger SV,0,2015-03-13
Schalke,3,2015-03-18
Monchengladbach,0,2015-03-18
Frankfurt,3,2015-03-19
Hannover,0,2015-03-19
Bremen,1,2015-03-19
Mainz,1,2015-03-19
FC Koln,0,2015-03-19
Bayern,3,2015-03-19
Hamburger SV,0,2015-03-19
Hoffenheim,3,2015-03-19
Hertha,3,2015-03-19
Ingolstadt,0,2015-03-19
Wolfsburg,1,2015-03-19
Darmstadt,1,2015-03-19
Augsburg,0,2015-03-20
Dortmund,3,2015-03-20
Stuttgart,0,2015-03-20
Leverkusen,3,2015-03-20
Leverkusen,3,2015-04-01
Wolfsburg,0,2015-04-01
Dortmund,3,2015-04-02
Bremen,0,2015-04-02
Bayern,3,2015-04-02
Frankfurt,0,2015-04-02
Darmstadt,1,2015-04-02
Stuttgart,1,2015-04-02
Hannover,0,2015-04-02
Hamburger SV,3,2015-04-02
Ingolstadt,3,2015-04-02
Schalke,0,2015-04-02
Mainz,3,2015-04-02
Augsburg,0,2015-04-02
Hoffenheim,1,2015-04-03
FC Koln,1,2015-04-03
Monchengladbach,3,2015-04-03
Hertha,0,2015-04-03
Hertha,1,2015-04-08
Hannover,1,2015-04-08
Wolfsburg,1,2015-04-09
Mainz,1,2015-04-09
Bremen,0,2015-04-09
Augsburg,3,2015-04-09
Frankfurt,0,2015-04-09
Hoffenheim,3,2015-04-09
Hamburger SV,0,2015-04-09
Darmstadt,3,2015-04-09
Ingolstadt,3,2015-04-09
Monchengladbach,0,2015-04-09
Stuttgart,0,2015-04-09
Bayern,3,2015-04-09
FC Koln,0,2015-04-10
Leverkusen,3,2015-04-10
Schalke,1,2015-04-10
Dortmund,1,2015-04-10
Hannover,3,2015-04-15
Monchengladbach,0,2015-04-15
Bayern,3,2015-04-16
Schalke,0,2015-04-16
Augsburg,3,2015-04-16
Stuttgart,0,2015-04-16
Bremen,3,2015-04-16
Wolfsburg,0,2015-04-16
Darmstadt,3,2015-04-16
Ingolstadt,0,2015-04-16
Hoffenheim,3,2015-04-16
Hertha,0,2015-04-16
Leverkusen,3,2015-04-16
Frankfurt,0,2015-04-16
Mainz,0,2015-04-17
FC Koln,3,2015-04-17
Dortmund,3,2015-04-17
Hamburger SV,0,2015-04-17
Hamburger SV,3,2015-04-22
Bremen,0,2015-04-22
Schalke,0,2015-04-23
Leverkusen,3,2015-04-23
FC Koln,3,2015-04-23
Darmstadt,0,2015-04-23
Hertha,0,2015-04-23
Bayern,3,2015-04-23
Ingolstadt,1,2015-04-23
Hannover,1,2015-04-23
Stuttgart,0,2015-04-23
Dortmund,3,2015-04-23
Wolfsburg,0,2015-04-23
Augsburg,3,2015-04-23
Frankfurt,3,2015-04-24
Mainz,0,2015-04-24
Monchengladbach,3,2015-04-24
Hoffenheim,0,2015-04-24
Augsburg,1,2015-04-29
FC Koln,1,2015-04-29
Leverkusen,3,2015-04-30
Hertha,0,2015-04-30
Bayern,1,2015-04-30
Monchengladbach,1,2015-04-30
Darmstadt,0,2015-04-30
Frankfurt,3,2015-04-30
Dortmund,3,2015-04-30
Wolfsburg,0,2015-04-30
Hannover,0,2015-04-30
Schalke,3,2015-04-30
Hoffenheim,3,2015-04-30
Ingolstadt,0,2015-04-30
Mainz,1,2015-04-30
Hamburger SV,1,2015-04-30
Bremen,3,2015-05-02
Stuttgart,0,2015-05-02
FC Koln,1,2015-05-07
Bremen,1,2015-05-07
Frankfurt,3,2015-05-07
Dortmund,0,2015-05-07
Hamburger SV,0,2015-05-07
Wolfsburg,3,2015-05-07
Hannover,3,2015-05-07
Hoffenheim,0,2015-05-07
Hertha,0,2015-05-07
Darmstadt,3,2015-05-07
Ingolstadt,0,2015-05-07
Bayern,3,2015-05-07
Monchengladbach,3,2015-05-07
Leverkusen,0,2015-05-07
Schalke,1,2015-05-07
Augsburg,1,2015-05-07
Stuttgart,0,2015-05-07
Mainz,3,2015-05-07
Augsburg,0,2015-05-14
Hamburger SV,3,2015-05-14
Bayern,3,2015-05-14
Hannover,0,2015-05-14
Bremen,3,2015-05-14
Frankfurt,0,2015-05-14
Darmstadt,0,2015-05-14
Monchengladbach,3,2015-05-14
Dortmund,1,2015-05-14
FC Koln,1,2015-05-14
Hoffenheim,0,2015-05-14
Schalke,3,2015-05-14
Leverkusen,3,2015-05-14
Ingolstadt,0,2015-05-14
Mainz,1,2015-05-14
Hertha,1,2015-05-14
Wolfsburg,3,2015-05-14
Stuttgart,0,2015-05-14
Bayern,3,2016-08-14
Hamburger SV,0,2016-08-14
Dortmund,3,2016-08-15
Monchengladbach,0,2016-08-15
Augsburg,0,2016-08-15
Hertha,3,2016-08-15
Bremen,0,2016-08-15
Schalke,3,2016-08-15
Darmstadt,1,2016-08-15
Hannover,1,2016-08-15
Leverkusen,3,2016-08-15
Hoffenheim,0,2016-08-15
Mainz,0,2016-08-15
Ingolstadt,3,2016-08-15
Stuttgart,0,2016-08-16
FC Koln,3,2016-08-16
Wolfsburg,3,2016-08-16
Frankfurt,0,2016-08-16
Hertha,1,2016-08-21
Bremen,1,2016-08-21
Hamburger SV,3,2016-08-22
Stuttgart,0,2016-08-22
FC Koln,1,2016-08-22
Wolfsburg,1,2016-08-22
Frankfurt,1,2016-08-22
Augsburg,1,2016-08-22
Hannover,0,2016-08-22
Leverkusen,3,2016-08-22
Hoffenheim,0,2016-08-22
Bayern,3,2016-08-22
Schalke,1,2016-08-22
Darmstadt,1,2016-08-22
Monchengladbach,0,2016-08-23
Mainz,3,2016-08-23
Ingolstadt,0,2016-08-23
Dortmund,3,2016-08-23
Wolfsburg,3,2016-08-28
Schalke,0,2016-08-28
Bayern,3,2016-08-29
Leverkusen,0,2016-08-29
Augsburg,0,2016-08-29
Ingolstadt,3,2016-08-29
Darmstadt,1,2016-08-29
Hoffenheim,1,2016-08-29
FC Koln,3,2016-08-29
Hamburger SV,0,2016-08-29
Mainz,3,2016-08-29
Hannover,0,2016-08-29
Stuttgart,0,2016-08-29
Frankfurt,3,2016-08-29
Bremen,3,2016-08-30
Monchengladbach,0,2016-08-30
Dortmund,3,2016-08-30
Hertha,0,2016-08-30
Monchengladbach,0,2016-09-11
Hamburger SV,3,2016-09-11
Frankfurt,3,2016-09-12
FC Koln,0,2016-09-12
Bayern,3,2016-09-12
Augsburg,0,2016-09-12
Hannover,0,2016-09-12
Dortmund,3,2016-09-12
Hertha,3,2016-09-12
Stuttgart,0,2016-09-12
Ingolstadt,1,2016-09-12
Wolfsburg,1,2016-09-12
Leverkusen,0,2016-09-12
Darmstadt,3,2016-09-12
Schalke,3,2016-09-13
Mainz,0,2016-09-13
Hoffenheim,0,2016-09-13
Bremen,3,2016-09-13
Mainz,3,2016-09-18
Hoffenheim,0,2016-09-18
Bremen,0,2016-09-19
Ingolstadt,3,2016-09-19
Darmstadt,0,2016-09-19
Bayern,3,2016-09-19
FC Koln,3,2016-09-19
Monchengladbach,0,2016-09-19
Hamburger SV,1,2016-09-19
Frankfurt,1,2016-09-19
Wolfsburg,3,2016-09-19
Hertha,0,2016-09-19
Augsburg,3,2016-09-20
Hannover,0,2016-09-20
Dortmund,3,2016-09-20
Leverkusen,0,2016-09-20
Stuttgart,0,2016-09-20
Schalke,3,2016-09-20
Bayern,3,2016-09-22
Wolfsburg,0,2016-09-22
