team,points,date
Bayern,3,2009-01-15
Hoffenheim,0,2009-01-15
Stuttgart,3,2009-01-16
Wolfsburg,0,2009-01-16
Frankfurt,3,2009-01-16
Bremen,0,2009-01-16
Hamburger SV,3,2009-01-16
Freiburg,0,2009-01-16
Hannover,0,2009-01-16
Hertha,3,2009-01-16
Leverkusen,3,2009-01-16
Mainz,0,2009-01-16
Monchengladbach,0,2009-01-16
Bochum,3,2009-01-16
FC Koln,0,2009-01-17
Dortmund,3,2009-01-17
Schalke,3,2009-01-17
Nurnberg,0,2009-01-17
Freiburg,0,2009-01-22
Stuttgart,3,2009-01-22
Dortmund,3,2009-01-23
Hamburger SV,0,2009-01-23
Bochum,1,2009-01-23
Schalke,1,2009-01-23
Bremen,0,2009-01-23
Bayern,3,2009-01-23
Hertha,1,2009-01-23
Monchengladbach,1,2009-01-23
Mainz,3,2009-01-23
Hannover,0,2009-01-23
Nurnberg,1,2009-01-23
Frankfurt,1,2009-01-23
Hoffenheim,0,2009-01-24
Leverkusen,3,2009-01-24
Wolfsburg,0,2009-01-24
FC Koln,3,2009-01-24
Hamburger SV,1,2009-01-29
Wolfsburg,1,2009-01-29
Schalke,3,2009-01-30
Hoffenheim,0,2009-01-30
Bayern,3,2009-01-30
Mainz,0,2009-01-30
Frankfurt,0,2009-01-30
FC Koln,3,2009-01-30
Hannover,0,2009-01-30
Nurnberg,3,2009-01-30
Hertha,1,2009-01-30
Bochum,1,2009-01-30
Monchengladbach,3,2009-01-30
Bremen,0,2009-01-30
Leverkusen,3,2009-01-31
Freiburg,0,2009-01-31
Stuttgart,3,2009-01-31
Dortmund,0,2009-01-31
Bremen,3,2009-02-05
Hertha,0,2009-02-05
Nurnberg,0,2009-02-06
Stuttgart,3,2009-02-06
Bochum,1,2009-02-06
Leverkusen,1,2009-02-06
FC Koln,1,2009-02-06
Hamburger SV,1,2009-02-06
Freiburg,1,2009-02-06
Schalke,1,2009-02-06
Hoffenheim,3,2009-02-06
Hannover,0,2009-02-06
Wolfsburg,0,2009-02-06
Bayern,3,2009-02-06
Dortmund,0,2009-02-07
Frankfurt,3,2009-02-07
Mainz,3,2009-02-07
Monchengladbach,0,2009-02-07
Monchengladbach,3,2009-02-12
Nurnberg,0,2009-02-12
Bayern,3,2009-02-13
Dortmund,0,2009-02-13
Bochum,3,2009-02-13
Hoffenheim,0,2009-02-13
Hannover,0,2009-02-13
Bremen,3,2009-02-13
Hertha,1,2009-02-13
Mainz,1,2009-02-13
Leverkusen,3,2009-02-13
Wolfsburg,0,2009-02-13
Stuttgart,0,2009-02-13
Hamburger SV,3,2009-02-13
Frankfurt,3,2009-02-14
Freiburg,0,2009-02-14
Schalke,3,2009-02-14
FC Koln,0,2009-02-14
Hoffenheim,1,2009-02-19
Monchengladbach,1,2009-02-19
Dortmund,3,2009-02-20
Hannover,0,2009-02-20
FC Koln,0,2009-02-20
Stuttgart,3,2009-02-20
Hamburger SV,1,2009-02-20
Frankfurt,1,2009-02-20
Mainz,1,2009-02-20
Bochum,1,2009-02-20
Nurnberg,1,2009-02-20
Bayern,1,2009-02-20
Bremen,1,2009-02-21
Leverkusen,1,2009-02-21
Wolfsburg,3,2009-02-21
Schalke,0,2009-02-21
Freiburg,0,2009-02-21
Hertha,3,2009-02-21
Schalke,3,2009-02-26
Dortmund,0,2009-02-26
Leverkusen,1,2009-02-27
FC Koln,1,2009-02-27
Bochum,1,2009-02-27
Nurnberg,1,2009-02-27
Hertha,0,2009-02-27
Hoffenheim,3,2009-02-27
Mainz,0,2009-02-27
Bremen,3,2009-02-27
Monchengladbach,1,2009-02-27
Freiburg,1,2009-02-27
Stuttgart,3,2009-02-27
Frankfurt,0,2009-02-27
Bayern,3,2009-02-28
Hamburger SV,0,2009-02-28
Hannover,0,2009-02-28
Wolfsburg,3,2009-02-28
Dortmund,3,2009-03-06
Monchengladbach,0,2009-03-06
Bremen,1,2009-03-06
Stuttgart,1,2009-03-06
FC Koln,1,2009-03-06
Bayern,1,2009-03-06
Frankfurt,0,2009-03-06
Schalke,3,2009-03-06
Freiburg,0,2009-03-06
Hannover,3,2009-03-06
Hamburger SV,3,2009-03-06
Hertha,0,2009-03-06
Wolfsburg,3,2009-03-06
Bochum,0,2009-03-06
Hoffenheim,0,2009-03-07
Mainz,3,2009-03-07
Nurnberg,3,2009-03-07
