team,points,date
Bochum,3,1997-01-30
Dortmund,0,1997-01-30
Stuttgart,1,1997-01-30
Duisburg,1,1997-01-30
Bayern,3,1997-01-31
Hamburger SV,0,1997-01-31
Bremen,3,1997-01-31
Bielefeld,0,1997-01-31
FC Koln,3,1997-01-31
Monchengladbach,0,1997-01-31
Hertha,3,1997-01-31
Wolfsburg,0,1997-01-31
Rostock,3,1997-01-31
Munich 1860,0,1997-01-31
Schalke,1,1997-01-31
Kaiserslautern,1,1997-01-31
Karlsruher,1,1997-02-01
Leverkusen,1,1997-02-01
Duisburg,3,1997-02-06
Karlsruher,0,1997-02-06
Kaiserslautern,3,1997-02-06
Bochum,0,1997-02-06
Bayern,3,1997-02-07
Rostock,0,1997-02-07
Bielefeld,1,1997-02-07
Munich 1860,1,1997-02-07
Dortmund,3,1997-02-07
Stuttgart,0,1997-02-07
Hamburger SV,1,1997-02-07
Hertha,1,1997-02-07
Leverkusen,3,1997-02-07
Bremen,0,1997-02-07
Monchengladbach,0,1997-02-07
Schalke,3,1997-02-07
Wolfsburg,1,1997-02-08
FC Koln,1,1997-02-08
Bremen,1,1997-02-13
Duisburg,1,1997-02-13
FC Koln,0,1997-02-13
Hamburger SV,3,1997-02-13
Karlsruher,0,1997-02-13
Dortmund,3,1997-02-13
Bochum,3,1997-02-14
Monchengladbach,0,1997-02-14
Hertha,3,1997-02-14
Bayern,0,1997-02-14
Munich 1860,0,1997-02-14
Leverkusen,3,1997-02-14
Rostock,3,1997-02-14
Bielefeld,0,1997-02-14
Schalke,1,1997-02-14
Wolfsburg,1,1997-02-14
Stuttgart,0,1997-02-14
Kaiserslautern,3,1997-02-14
Dortmund,1,1997-02-27
Bremen,1,1997-02-27
Kaiserslautern,1,1997-02-27
Karlsruher,1,1997-02-27
Bayern,0,1997-02-28
FC Koln,3,1997-02-28
Duisburg,0,1997-02-28
Munich 1860,3,1997-02-28
Hamburger SV,1,1997-02-28
Schalke,1,1997-02-28
Leverkusen,1,1997-02-28
Bielefeld,1,1997-02-28
Monchengladbach,1,1997-02-28
Stuttgart,1,1997-02-28
Wolfsburg,0,1997-02-28
Bochum,3,1997-02-28
Hertha,1,1997-03-01
Rostock,1,1997-03-01
Bochum,1,1997-03-06
Hamburger SV,1,1997-03-06
Bremen,1,1997-03-06
Kaiserslautern,1,1997-03-06
Bielefeld,1,1997-03-07
Duisburg,1,1997-03-07
FC Koln,3,1997-03-07
Hertha,0,1997-03-07
Karlsruher,0,1997-03-07
Monchengladbach,3,1997-03-07
Munich 1860,3,1997-03-07
Dortmund,0,1997-03-07
Rostock,0,1997-03-07
Leverkusen,3,1997-03-07
Schalke,3,1997-03-08
Bayern,0,1997-03-08
Stuttgart,3,1997-03-08
Wolfsburg,0,1997-03-08
Duisburg,1,1997-03-13
Leverkusen,1,1997-03-13
Hertha,0,1997-03-13
Schalke,3,1997-03-13
Bayern,1,1997-03-14
Bochum,1,1997-03-14
Dortmund,3,1997-03-14
Bielefeld,0,1997-03-14
Hamburger SV,1,1997-03-14
Stuttgart,1,1997-03-14
Kaiserslautern,3,1997-03-14
Munich 1860,0,1997-03-14
Monchengladbach,1,1997-03-14
Bremen,1,1997-03-14
Wolfsburg,0,1997-03-14
Karlsruher,3,1997-03-14
FC Koln,1,1997-03-15
Rostock,1,1997-03-15
Bremen,3,1997-03-21
Wolfsburg,0,1997-03-21
Karlsruher,0,1997-03-21
Hamburger SV,3,1997-03-21
Munich 1860,3,1997-03-21
Monchengladbach,0,1997-03-21
Rostock,3,1997-03-21
Duisburg,0,1997-03-21
Stuttgart,0,1997-03-22
Bayern,3,1997-03-22
Hamburger SV,3,1997-03-27
Bremen,0,1997-03-27
Wolfsburg,3,1997-03-27
Munich 1860,0,1997-03-27
Bayern,1,1997-03-28
Karlsruher,1,1997-03-28
Dortmund,3,1997-03-28
Duisburg,0,1997-03-28
Hertha,3,1997-03-28
Stuttgart,0,1997-03-28
Kaiserslautern,0,1997-03-28
Leverkusen,3,1997-03-28
Monchengladbach,1,1997-03-28
Bielefeld,1,1997-03-28
Schalke,1,1997-03-28
Rostock,1,1997-03-28
FC Koln,3,1997-03-29
Bochum,0,1997-03-29
Duisburg,1,1997-04-03
Kaiserslautern,1,1997-04-03
Karlsruher,0,1997-04-03
Hertha,3,1997-04-03
Bielefeld,0,1997-04-04
Wolfsburg,3,1997-04-04
Bochum,3,1997-04-04
Schalke,0,1997-04-04
Bremen,0,1997-04-04
Bayern,3,1997-04-04
Leverkusen,1,1997-04-04
Monchengladbach,1,1997-04-04
Munich 1860,1,1997-04-04
Hamburger SV,1,1997-04-04
Rostock,3,1997-04-04
Dortmund,0,1997-04-04
Stuttgart,1,1997-04-05
FC Koln,1,1997-04-05
Bochum,0,1997-04-09
Rostock,3,1997-04-09
Kaiserslautern,1,1997-04-09
Dortmund,1,1997-04-09
Bayern,3,1997-04-11
Munich 1860,0,1997-04-11
FC Koln,0,1997-04-11
Karlsruher,3,1997-04-11
Hamburger SV,3,1997-04-11
Bielefeld,0,1997-04-11
Hertha,0,1997-04-11
Bremen,3,1997-04-11
Schalke,0,1997-04-11
Stuttgart,3,1997-04-11
Wolfsburg,3,1997-04-11
Leverkusen,0,1997-04-11
Monchengladbach,0,1997-04-12
Duisburg,3,1997-04-12
Bremen,3,1997-04-17
FC Koln,0,1997-04-17
Duisburg,1,1997-04-17
Wolfsburg,1,1997-04-17
Bielefeld,1,1997-04-18
Bayern,1,1997-04-18
Dortmund,0,1997-04-18
Monchengladbach,3,1997-04-18
Karlsruher,1,1997-04-18
Schalke,1,1997-04-18
Leverkusen,3,1997-04-18
Hamburger SV,0,1997-04-18
Munich 1860,3,1997-04-18
Hertha,0,1997-04-18
Rostock,1,1997-04-18
Kaiserslautern,1,1997-04-18
Stuttgart,3,1997-04-19
Bochum,0,1997-04-19
Hertha,1,1997-04-24
Bielefeld,1,1997-04-24
Kaiserslautern,3,1997-04-24
Monchengladbach,0,1997-04-24
Bochum,1,1997-04-25
Karlsruher,1,1997-04-25
FC Koln,0,1997-04-25
Munich 1860,3,1997-04-25
Hamburger SV,3,1997-04-25
Duisburg,0,1997-04-25
Rostock,1,1997-04-25
Stuttgart,1,1997-04-25
Schalke,0,1997-04-25
Bremen,3,1997-04-25
Wolfsburg,0,1997-04-25
Dortmund,3,1997-04-25
Bayern,3,1997-04-26
Leverkusen,0,1997-04-26
Bielefeld,1,1997-04-29
Kaiserslautern,1,1997-04-29
Bochum,3,1997-04-29
Hertha,0,1997-04-29
