team,points,date
Kaiserslautern,3,1989-07-28
Monchengladbach,0,1989-07-28
Uerdingen,3,1989-07-28
Homburg,0,1989-07-28
Bayern,3,1989-07-29
Nurnberg,0,1989-07-29
Bochum,0,1989-07-29
FC Koln,3,1989-07-29
Dusseldorf,1,1989-07-29
Hamburger SV,1,1989-07-29
Frankfurt,3,1989-07-29
Mannheim,0,1989-07-29
Leverkusen,3,1989-07-29
Dortmund,0,1989-07-29
St. Pauli,1,1989-07-29
Bremen,1,1989-07-29
Stuttgart,3,1989-07-29
Karlsruher,0,1989-07-29
Dortmund,3,1989-08-04
St. Pauli,0,1989-08-04
Hamburger SV,1,1989-08-04
Frankfurt,1,1989-08-04
Bremen,1,1989-08-05
Dusseldorf,1,1989-08-05
Homburg,1,1989-08-05
Kaiserslautern,1,1989-08-05
Karlsruher,1,1989-08-05
Uerdingen,1,1989-08-05
Mannheim,3,1989-08-05
Bochum,0,1989-08-05
Monchengladbach,1,1989-08-05
Bayern,1,1989-08-05
Nurnberg,1,1989-08-05
Leverkusen,1,1989-08-05
Dusseldorf,0,1989-08-08
Frankfurt,3,1989-08-08
Bayern,3,1989-08-09
Homburg,0,1989-08-09
FC Koln,1,1989-08-09
Stuttgart,1,1989-08-09
Kaiserslautern,3,1989-08-11
Karlsruher,0,1989-08-11
Bochum,3,1989-08-12
Hamburger SV,0,1989-08-12
Bremen,3,1989-08-12
Dortmund,0,1989-08-12
Leverkusen,1,1989-08-12
Monchengladbach,1,1989-08-12
St. Pauli,0,1989-08-12
Nurnberg,3,1989-08-12
Stuttgart,3,1989-08-12
Mannheim,0,1989-08-12
Uerdingen,0,1989-08-12
FC Koln,3,1989-08-12
Homburg,3,1989-08-15
Leverkusen,0,1989-08-15
Mannheim,1,1989-08-15
Uerdingen,1,1989-08-15
Monchengladbach,3,1989-08-15
St. Pauli,0,1989-08-15
Nurnberg,1,1989-08-15
Bremen,1,1989-08-15
Dortmund,3,1989-08-16
Dusseldorf,0,1989-08-16
FC Koln,3,1989-08-16
Kaiserslautern,0,1989-08-16
Frankfurt,3,1989-08-16
Bochum,0,1989-08-16
Hamburger SV,3,1989-08-16
Stuttgart,0,1989-08-16
Karlsruher,1,1989-08-16
Bayern,1,1989-08-16
Bremen,1,1989-08-22
Monchengladbach,1,1989-08-22
Dortmund,3,1989-08-22
Nurnberg,0,1989-08-22
St. Pauli,1,1989-08-22
Homburg,1,1989-08-22
Bayern,3,1989-08-23
FC Koln,0,1989-08-23
Dusseldorf,1,1989-08-23
Bochum,1,1989-08-23
Kaiserslautern,0,1989-08-23
Mannheim,3,1989-08-23
Leverkusen,1,1989-08-23
Karlsruher,1,1989-08-23
Stuttgart,1,1989-08-23
Frankfurt,1,1989-08-23
Uerdingen,3,1989-08-23
Hamburger SV,0,1989-08-23
Bochum,3,1989-08-26
Stuttgart,0,1989-08-26
FC Koln,1,1989-08-26
Leverkusen,1,1989-08-26
Frankfurt,3,1989-08-26
Uerdingen,0,1989-08-26
Hamburger SV,3,1989-08-26
Kaiserslautern,0,1989-08-26
Homburg,1,1989-08-26
Bremen,1,1989-08-26
Karlsruher,1,1989-08-26
St. Pauli,1,1989-08-26
Mannheim,3,1989-08-26
Bayern,0,1989-08-26
Monchengladbach,1,1989-08-26
Dortmund,1,1989-08-26
Nurnberg,3,1989-08-26
Dusseldorf,0,1989-08-26
Bayern,3,1989-08-31
Hamburger SV,0,1989-08-31
Bremen,3,1989-09-01
Karlsruher,0,1989-09-01
Uerdingen,3,1989-09-01
Bochum,0,1989-09-01
Dortmund,3,1989-09-02
Homburg,0,1989-09-02
Dusseldorf,3,1989-09-02
