team,points,date
Hoffenheim,0,2018-01-18
Bayern,3,2018-01-18
RB Leipzig,0,2018-01-19
Dortmund,3,2018-01-19
Augsburg,0,2018-01-19
Dusseldorf,3,2018-01-19
Frankfurt,3,2018-01-19
Freiburg,0,2018-01-19
Hannover,0,2018-01-19
Bremen,3,2018-01-19
Leverkusen,0,2018-01-19
Monchengladbach,3,2018-01-19
Stuttgart,0,2018-01-19
Mainz,3,2018-01-19
Schalke,3,2018-01-20
Wolfsburg,0,2018-01-20
Nurnberg,0,2018-01-20
Hertha,3,2018-01-20
Hertha,1,2018-01-25
Schalke,1,2018-01-25
Bremen,1,2018-01-26
Frankfurt,1,2018-01-26
Dortmund,3,2018-01-26
Hannover,0,2018-01-26
Freiburg,0,2018-01-26
Hoffenheim,3,2018-01-26
Mainz,3,2018-01-26
Nurnberg,0,2018-01-26
Monchengladbach,3,2018-01-26
Augsburg,0,2018-01-26
Wolfsburg,0,2018-01-26
Leverkusen,3,2018-01-26
Dusseldorf,0,2018-01-27
RB Leipzig,3,2018-01-27
Bayern,3,2018-01-27
Stuttgart,0,2018-01-27
Hannover,0,2018-02-01
RB Leipzig,3,2018-02-01
Schalke,0,2018-02-02
Monchengladbach,3,2018-02-02
Frankfurt,1,2018-02-02
Dortmund,1,2018-02-02
Hertha,0,2018-02-02
Wolfsburg,3,2018-02-02
Hoffenheim,1,2018-02-02
Dusseldorf,1,2018-02-02
Leverkusen,3,2018-02-02
Bayern,0,2018-02-02
Nurnberg,1,2018-02-02
Bremen,1,2018-02-02
Stuttgart,1,2018-02-03
Freiburg,1,2018-02-03
Augsburg,3,2018-02-03
Mainz,0,2018-02-03
Mainz,0,2018-02-08
Leverkusen,3,2018-02-08
Bayern,3,2018-02-09
Schalke,0,2018-02-09
Dortmund,1,2018-02-09
Hoffenheim,1,2018-02-09
Freiburg,1,2018-02-09
Wolfsburg,1,2018-02-09
Hannover,3,2018-02-09
Nurnberg,0,2018-02-09
Monchengladbach,0,2018-02-09
Hertha,3,2018-02-09
RB Leipzig,1,2018-02-09
Frankfurt,1,2018-02-09
Dusseldorf,3,2018-02-10
Stuttgart,0,2018-02-10
Bremen,3,2018-02-10
Augsburg,0,2018-02-10
Augsburg,0,2018-02-15
Bayern,3,2018-02-15
Hertha,1,2018-02-16
Bremen,1,2018-02-16
Hoffenheim,3,2018-02-16
Hannover,0,2018-02-16
Schalke,1,2018-02-16
Freiburg,1,2018-02-16
Stuttgart,0,2018-02-16
RB Leipzig,3,2018-02-16
