team,points,date
Dortmund,0,1999-02-04
Kaiserslautern,3,1999-02-04
Rostock,0,1999-02-04
Hertha,3,1999-02-04
Bielefeld,0,1999-02-05
Schalke,3,1999-02-05
Bremen,3,1999-02-05
Stuttgart,0,1999-02-05
Freiburg,3,1999-02-05
Ulm,0,1999-02-05
Leverkusen,3,1999-02-05
Duisburg,0,1999-02-05
Munich 1860,0,1999-02-05
Wolfsburg,3,1999-02-05
Hamburger SV,1,1999-02-06
Bayern,1,1999-02-06
Unterhaching,3,1999-02-06
Frankfurt,0,1999-02-06
Hertha,3,1999-02-08
Bielefeld,0,1999-02-08
Kaiserslautern,1,1999-02-08
Rostock,1,1999-02-08
Schalke,3,1999-02-08
Bremen,0,1999-02-08
Ulm,3,1999-02-08
Munich 1860,0,1999-02-08
Bayern,3,1999-02-09
Leverkusen,0,1999-02-09
Duisburg,3,1999-02-09
Unterhaching,0,1999-02-09
Frankfurt,3,1999-02-09
Freiburg,0,1999-02-09
Stuttgart,0,1999-02-09
Hamburger SV,3,1999-02-09
Wolfsburg,3,1999-02-09
Dortmund,0,1999-02-09
Bielefeld,0,1999-02-11
Kaiserslautern,3,1999-02-11
Bremen,3,1999-02-11
Hertha,0,1999-02-11
Dortmund,1,1999-02-12
Ulm,1,1999-02-12
Duisburg,0,1999-02-12
Frankfurt,3,1999-02-12
Leverkusen,3,1999-02-12
Stuttgart,0,1999-02-12
Rostock,1,1999-02-12
Wolfsburg,1,1999-02-12
Unterhaching,0,1999-02-12
Bayern,3,1999-02-12
Hamburger SV,3,1999-02-13
Schalke,0,1999-02-13
Munich 1860,3,1999-02-13
Freiburg,0,1999-02-13
Hertha,3,1999-02-18
Hamburger SV,0,1999-02-18
Schalke,1,1999-02-18
Leverkusen,1,1999-02-18
Bayern,3,1999-02-19
Duisburg,0,1999-02-19
Frankfurt,3,1999-02-19
Munich 1860,0,1999-02-19
Freiburg,1,1999-02-19
Dortmund,1,1999-02-19
Kaiserslautern,3,1999-02-19
Bremen,0,1999-02-19
Stuttgart,0,1999-02-19
Unterhaching,3,1999-02-19
Ulm,1,1999-02-20
Rostock,1,1999-02-20
Wolfsburg,3,1999-02-20
Bielefeld,0,1999-02-20
