team,points,date
Freiburg,0,2016-01-20
Bayern,3,2016-01-20
RB Leipzig,3,2016-01-21
Frankfurt,0,2016-01-21
Augsburg,0,2016-01-21
Hoffenheim,3,2016-01-21
Bremen,0,2016-01-21
Dortmund,3,2016-01-21
Darmstadt,1,2016-01-21
Monchengladbach,1,2016-01-21
Schalke,3,2016-01-21
Ingolstadt,0,2016-01-21
Wolfsburg,3,2016-01-21
Hamburger SV,0,2016-01-21
Mainz,1,2016-01-22
FC Koln,1,2016-01-22
Leverkusen,3,2016-01-22
Hertha,0,2016-01-22
Schalke,0,2016-01-27
Frankfurt,3,2016-01-27
Leverkusen,0,2016-01-28
Monchengladbach,3,2016-01-28
Bremen,0,2016-01-28
Bayern,3,2016-01-28
Darmstadt,0,2016-01-28
FC Koln,3,2016-01-28
Ingolstadt,3,2016-01-28
Hamburger SV,0,2016-01-28
RB Leipzig,3,2016-01-28
Hoffenheim,0,2016-01-28
Wolfsburg,0,2016-01-28
Augsburg,3,2016-01-28
Mainz,1,2016-01-29
Dortmund,1,2016-01-29
Freiburg,3,2016-01-29
Hertha,0,2016-01-29
Hamburger SV,3,2016-02-03
Leverkusen,0,2016-02-03
Dortmund,3,2016-02-04
RB Leipzig,0,2016-02-04
Bayern,1,2016-02-04
Schalke,1,2016-02-04
FC Koln,3,2016-02-04
Wolfsburg,0,2016-02-04
Hertha,3,2016-02-04
Ingolstadt,0,2016-02-04
Hoffenheim,3,2016-02-04
Mainz,0,2016-02-04
Monchengladbach,3,2016-02-04
Freiburg,0,2016-02-04
Frankfurt,3,2016-02-05
Darmstadt,0,2016-02-05
Augsburg,3,2016-02-05
Bremen,0,2016-02-05
Mainz,3,2016-02-10
Augsburg,0,2016-02-10
Schalke,3,2016-02-11
Hertha,0,2016-02-11
Bremen,0,2016-02-11
Monchengladbach,3,2016-02-11
Darmstadt,3,2016-02-11
Dortmund,0,2016-02-11
Ingolstadt,0,2016-02-11
Bayern,3,2016-02-11
Leverkusen,3,2016-02-11
Frankfurt,0,2016-02-11
RB Leipzig,0,2016-02-11
Hamburger SV,3,2016-02-11
Freiburg,3,2016-02-12
FC Koln,0,2016-02-12
Wolfsburg,3,2016-02-12
Hoffenheim,0,2016-02-12
Augsburg,0,2016-02-17
Leverkusen,3,2016-02-17
Hamburger SV,1,2016-02-18
Freiburg,1,2016-02-18
Dortmund,3,2016-02-18
Wolfsburg,0,2016-02-18
Frankfurt,0,2016-02-18
Ingolstadt,3,2016-02-18
Hertha,1,2016-02-18
Bayern,1,2016-02-18
Hoffenheim,3,2016-02-18
Darmstadt,0,2016-02-18
Mainz,0,2016-02-18
Bremen,3,2016-02-18
FC Koln,1,2016-02-19
Schalke,1,2016-02-19
Monchengladbach,0,2016-02-19
RB Leipzig,3,2016-02-19
Wolfsburg,0,2016-02-24
Bremen,3,2016-02-24
Hertha,3,2016-02-25
Frankfurt,0,2016-02-25
Bayern,3,2016-02-25
Hamburger SV,0,2016-02-25
Darmstadt,0,2016-02-25
Augsburg,3,2016-02-25
Freiburg,0,2016-02-25
Dortmund,3,2016-02-25
Leverkusen,0,2016-02-25
Mainz,3,2016-02-25
RB Leipzig,3,2016-02-25
FC Koln,0,2016-02-25
Schalke,1,2016-02-26
Hoffenheim,1,2016-02-26
Ingolstadt,0,2016-02-26
Monchengladbach,3,2016-02-26
Augsburg,1,2016-03-03
RB Leipzig,1,2016-03-03
Monchengladbach,3,2016-03-04
Schalke,0,2016-03-04
Bremen,3,2016-03-04
Darmstadt,0,2016-03-04
Dortmund,3,2016-03-04
Leverkusen,0,2016-03-04
FC Koln,0,2016-03-04
Bayern,3,2016-03-04
Hoffenheim,3,2016-03-04
Ingolstadt,0,2016-03-04
Mainz,1,2016-03-04
Wolfsburg,1,2016-03-04
Hamburger SV,3,2016-03-05
Hertha,0,2016-03-05
Frankfurt,0,2016-03-05
Freiburg,3,2016-03-05
Leverkusen,1,2016-03-10
Bremen,1,2016-03-10
Ingolstadt,1,2016-03-11
FC Koln,1,2016-03-11
Bayern,3,2016-03-11
Frankfurt,0,2016-03-11
Darmstadt,3,2016-03-11
Mainz,0,2016-03-11
Freiburg,1,2016-03-11
Hoffenheim,1,2016-03-11
Hertha,3,2016-03-11
Dortmund,0,2016-03-11
RB Leipzig,0,2016-03-11
Wolfsburg,3,2016-03-11
Hamburger SV,3,2016-03-12
Monchengladbach,0,2016-03-12
Schalke,3,2016-03-12
Augsburg,0,2016-03-12
Dortmund,3,2016-03-17
Ingolstadt,0,2016-03-17
Frankfurt,1,2016-03-18
Hamburger SV,1,2016-03-18
Augsburg,1,2016-03-18
Freiburg,1,2016-03-18
Bremen,3,2016-03-18
RB Leipzig,0,2016-03-18
FC Koln,3,2016-03-18
Hertha,0,2016-03-18
Hoffenheim,3,2016-03-18
Leverkusen,0,2016-03-18
Wolfsburg,3,2016-03-18
Darmstadt,0,2016-03-18
Monchengladbach,0,2016-03-19
Bayern,3,2016-03-19
Mainz,0,2016-03-19
Schalke,3,2016-03-19
Hertha,0,2016-03-31
Hoffenheim,3,2016-03-31
Frankfurt,1,2016-04-01
Monchengladbach,1,2016-04-01
Bayern,3,2016-04-01
Augsburg,0,2016-04-01
Freiburg,0,2016-04-01
Bremen,3,2016-04-01
Hamburger SV,3,2016-04-01
FC Koln,0,2016-04-01
RB Leipzig,3,2016-04-01
Darmstadt,0,2016-04-01
Schalke,1,2016-04-01
Dortmund,1,2016-04-01
Leverkusen,1,2016-04-02
Wolfsburg,1,2016-04-02
Ingolstadt,3,2016-04-02
Mainz,0,2016-04-02
Bremen,3,2016-04-04
Schalke,0,2016-04-04
Dortmund,3,2016-04-04
Hamburger SV,0,2016-04-04
FC Koln,3,2016-04-04
Frankfurt,0,2016-04-04
Hoffenheim,3,2016-04-04
Bayern,0,2016-04-04
Augsburg,0,2016-04-05
Ingolstadt,3,2016-04-05
Darmstadt,0,2016-04-05
Leverkusen,3,2016-04-05
Mainz,0,2016-04-05
RB Leipzig,3,2016-04-05
Monchengladbach,3,2016-04-05
Hertha,0,2016-04-05
Wolfsburg,0,2016-04-05
Freiburg,3,2016-04-05
Frankfurt,1,2016-04-07
Bremen,1,2016-04-07
