,Dortmund,Stuttgart,Hertha,St. Pauli,Nurnberg,Uerdingen,Bayern,Leverkusen,FC Koln,Dusseldorf,Frankfurt,Karlsruher,Hamburger SV,Kaiserslautern,Monchengladbach,Bochum,Wattenscheid,Bremen
1991-05-05,33,41,13,27,26,27,50,41,45,41,45,32,48,56,30,33,31,48
1991-05-10,33,42,13,27,26,27,50,41,45,42,45,33,48,56,33,34,31,48
1991-05-11,34,42,14,28,29,27,53,41,48,42,45,33,48,57,33,34,32,49
1991-05-17,34,45,14,28,32,27,56,41,48,42,45,33,48,57,33,34,32,49
1991-05-18,34,45,14,29,32,27,56,42,49,43,45,36,51,58,34,34,35,49
1991-05-24,35,45,14,29,33,27,56,42,49,43,48,36,51,61,34,34,35,49
1991-05-25,35,46,14,32,33,27,59,43,49,43,48,37,52,61,35,34,38,50
1991-05-30,35,46,14,32,33,27,59,43,49,43,51,37,52,61,35,34,38,50
1991-05-31,38,46,14,32,33,27,59,43,49,43,51,37,52,61,35,37,38,50
1991-06-01,38,49,14,32,36,27,59,43,49,43,51,37,55,64,38,37,41,50
1991-06-08,41,52,17,33,36,27,62,43,50,43,52,38,55,64,41,38,42,53
1991-06-15,44,52,17,33,39,28,63,46,50,43,55,39,56,67,44,38,42,56
