team,points,date
Wolfsburg,1,1998-02-19
Rostock,1,1998-02-19
Duisburg,0,1998-02-20
Bayern,3,1998-02-20
Hertha,3,1998-02-20
Dortmund,0,1998-02-20
Leverkusen,1,1998-02-20
Freiburg,1,1998-02-20
Munich 1860,3,1998-02-20
Frankfurt,0,1998-02-20
Nurnberg,1,1998-02-20
Bremen,1,1998-02-20
Stuttgart,3,1998-02-20
Schalke,0,1998-02-20
Monchengladbach,0,1998-02-21
Kaiserslautern,3,1998-02-21
Bremen,1,1998-02-26
Bochum,1,1998-02-26
Kaiserslautern,1,1998-02-26
Stuttgart,1,1998-02-26
Dortmund,3,1998-02-27
Nurnberg,0,1998-02-27
Frankfurt,1,1998-02-27
Monchengladbach,1,1998-02-27
Freiburg,1,1998-02-27
Wolfsburg,1,1998-02-27
Hamburger SV,1,1998-02-27
Leverkusen,1,1998-02-27
Munich 1860,1,1998-02-27
Duisburg,1,1998-02-27
Rostock,0,1998-02-27
Bayern,3,1998-02-27
Schalke,1,1998-02-28
Hertha,1,1998-02-28
Duisburg,3,1998-03-05
Rostock,0,1998-03-05
Nurnberg,3,1998-03-05
Schalke,0,1998-03-05
Bayern,3,1998-03-06
Freiburg,0,1998-03-06
Bochum,0,1998-03-06
Dortmund,3,1998-03-06
Hertha,1,1998-03-06
Kaiserslautern,1,1998-03-06
Monchengladbach,3,1998-03-06
Munich 1860,0,1998-03-06
Stuttgart,3,1998-03-06
Frankfurt,0,1998-03-06
Wolfsburg,3,1998-03-06
Hamburger SV,0,1998-03-06
Leverkusen,3,1998-03-07
Bremen,0,1998-03-07
Dortmund,3,1998-03-12
Leverkusen,0,1998-03-12
Freiburg,3,1998-03-12
Rostock,0,1998-03-12
Bremen,0,1998-03-13
Wolfsburg,3,1998-03-13
Hamburger SV,0,1998-03-13
Bayern,3,1998-03-13
Kaiserslautern,3,1998-03-13
Nurnberg,0,1998-03-13
Monchengladbach,0,1998-03-13
Duisburg,3,1998-03-13
Munich 1860,1,1998-03-13
Stuttgart,1,1998-03-13
Schalke,1,1998-03-13
Bochum,1,1998-03-13
Frankfurt,1,1998-03-14
Hertha,1,1998-03-14
Bochum,3,1998-03-16
Hamburger SV,0,1998-03-16
Leverkusen,1,1998-03-19
Schalke,1,1998-03-19
Wolfsburg,1,1998-03-19
Dortmund,1,1998-03-19
Bayern,3,1998-03-20
Bremen,0,1998-03-20
Bochum,0,1998-03-20
Kaiserslautern,3,1998-03-20
Duisburg,3,1998-03-20
Freiburg,0,1998-03-20
Hertha,3,1998-03-20
Munich 1860,0,1998-03-20
Nurnberg,1,1998-03-20
Frankfurt,1,1998-03-20
Stuttgart,1,1998-03-20
Monchengladbach,1,1998-03-20
Rostock,0,1998-03-21
Hamburger SV,3,1998-03-21
Bremen,0,1998-04-03
Rostock,3,1998-04-03
Dortmund,1,1998-04-03
Bayern,1,1998-04-03
Hamburger SV,3,1998-04-03
Freiburg,0,1998-04-03
Kaiserslautern,0,1998-04-03
Leverkusen,3,1998-04-03
Munich 1860,0,1998-04-03
Nurnberg,3,1998-04-03
Schalke,3,1998-04-03
Wolfsburg,0,1998-04-03
Stuttgart,1,1998-04-03
Duisburg,1,1998-04-03
Frankfurt,3,1998-04-04
Bochum,0,1998-04-04
Monchengladbach,0,1998-04-04
Hertha,3,1998-04-04
Duisburg,0,1998-04-09
Hamburger SV,3,1998-04-09
Freiburg,0,1998-04-09
Bremen,3,1998-04-09
Bayern,1,1998-04-10
Schalke,1,1998-04-10
Hertha,3,1998-04-10
Stuttgart,0,1998-04-10
Leverkusen,3,1998-04-10
Frankfurt,0,1998-04-10
Nurnberg,3,1998-04-10
Monchengladbach,0,1998-04-10
Rostock,3,1998-04-10
Dortmund,0,1998-04-10
Wolfsburg,3,1998-04-10
Kaiserslautern,0,1998-04-10
Bochum,3,1998-04-11
Munich 1860,0,1998-04-11
Bremen,1,1998-04-13
Hamburger SV,1,1998-04-13
Frankfurt,0,1998-04-13
Wolfsburg,3,1998-04-13
Kaiserslautern,3,1998-04-13
Bayern,0,1998-04-13
Schalke,3,1998-04-13
Rostock,0,1998-04-13
Stuttgart,1,1998-04-13
Nurnberg,1,1998-04-13
Dortmund,3,1998-04-14
Freiburg,0,1998-04-14
Hertha,0,1998-04-14
Duisburg,3,1998-04-14
Monchengladbach,1,1998-04-14
Bochum,1,1998-04-14
Munich 1860,0,1998-04-14
Leverkusen,3,1998-04-14
Bayern,3,1998-04-16
Frankfurt,0,1998-04-16
Rostock,3,1998-04-16
Kaiserslautern,0,1998-04-16
Bochum,1,1998-04-17
Stuttgart,1,1998-04-17
Duisburg,3,1998-04-17
Bremen,0,1998-04-17
