Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,8 wickets,Christchurch,2/16/2019,ODI # 4094,4094,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,88 runs,Dunedin,2/20/2019,ODI # 4095,4095,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,10 wickets,Cardiff,6/1/2019,ODI # 4145,4145,Wales,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,2 wickets,The Oval,6/5/2019,ODI # 4151,4151,England,New Zealand
Afghanistan,New Zealand,New Zealand,Afghanistan,7 wickets,Taunton,6/8/2019,ODI # 4154,4154,England,New Zealand
New Zealand,South Africa,New Zealand,South Africa,4 wickets,Birmingham,6/19/2019,ODI # 4165,4165,England,New Zealand
New Zealand,West Indies,New Zealand,West Indies,5 runs,Manchester,6/22/2019,ODI # 4170,4170,England,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,6 wickets,Birmingham,6/26/2019,ODI # 4174,4174,England,New Zealand
Australia,New Zealand,Australia,New Zealand,86 runs,Lord's,6/29/2019,ODI # 4178,4178,England,New Zealand
England,New Zealand,England,New Zealand,119 runs,Chester-le-Street,7/3/2019,ODI # 4183,4183,England,New Zealand
India,New Zealand,New Zealand,India,18 runs,Manchester,7/9/2019,ODI # 4190,4190,England,New Zealand
England,New Zealand,tied,England,,Lord's,7/14/2019,ODI # 4192,4192,England,New Zealand
New Zealand,India,New Zealand,India,4 wickets,Hamilton,2/5/2020,ODI # 4235,4235,New Zealand,New Zealand
New Zealand,India,New Zealand,India,22 runs,Auckland,2/8/2020,ODI # 4239,4239,New Zealand,New Zealand
New Zealand,India,New Zealand,India,5 wickets,Mount Maunganui,2/11/2020,ODI # 4243,4243,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,71 runs,Sydney,3/13/2020,ODI # 4255,4255,Australia,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,8 wickets,Dunedin,3/20/2021,ODI # 4279,4279,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,5 wickets,Christchurch,3/23/2021,ODI # 4280,4280,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,164 runs,Wellington,3/26/2021,ODI # 4282,4282,New Zealand,New Zealand
New Zealand,Netherlands,New Zealand,Netherlands,7 wickets,Mount Maunganui,3/29/2022,ODI # 4378,4378,New Zealand,New Zealand
New Zealand,Netherlands,New Zealand,Netherlands,118 runs,Hamilton,4/2/2022,ODI # 4381,4381,New Zealand,New Zealand
New Zealand,Netherlands,New Zealand,Netherlands,115 runs,Hamilton,4/4/2022,ODI # 4383,4383,New Zealand,New Zealand
Ireland,New Zealand,New Zealand,Ireland,1 wicket,Dublin (Malahide),7/10/2022,ODI # 4419,4419,Ireland,New Zealand
Ireland,New Zealand,New Zealand,Ireland,3 wickets,Dublin (Malahide),7/12/2022,ODI # 4423,4423,Ireland,New Zealand
Ireland,New Zealand,New Zealand,Ireland,1 run,Dublin (Malahide),7/15/2022,ODI # 4429,4429,Ireland,New Zealand
Scotland,New Zealand,New Zealand,Scotland,7 wickets,Edinburgh,7/31/2022,ODI # 4440,4440,Scotland,New Zealand
West Indies,New Zealand,West Indies,New Zealand,5 wickets,Bridgetown,8/17/2022,ODI # 4450,4450,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,50 runs,Bridgetown,8/19/2022,ODI # 4453,4453,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,5 wickets,Bridgetown,8/21/2022,ODI # 4456,4456,West Indies,New Zealand
Australia,New Zealand,Australia,New Zealand,2 wickets,Cairns,9/6/2022,ODI # 4461,4461,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,113 runs,Cairns,9/8/2022,ODI # 4462,4462,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,25 runs,Cairns,9/11/2022,ODI # 4464,4464,Australia,New Zealand
New Zealand,India,New Zealand,India,7 wickets,Auckland,11/25/2022,ODI # 4483,4483,New Zealand,New Zealand
New Zealand,India,no result,New Zealand,,Hamilton,11/27/2022,ODI # 4487,4487,New Zealand,New Zealand
New Zealand,India,no result,New Zealand,,Christchurch,11/30/2022,ODI # 4489,4489,New Zealand,New Zealand
