Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Afghanistan
Afghanistan,U.A.E.,Afghanistan,U.A.E.,5 wickets,Harare,2018-03-20,ODI # 4003,4003,Zimbabwe,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,5 wickets,Harare,2018-03-23,ODI # 4006,4006,Zimbabwe,Afghanistan
Afghanistan,West Indies,Afghanistan,West Indies,7 wickets,Harare,2018-03-25,ODI # 4007,4007,Zimbabwe,Afghanistan
Ireland,Afghanistan,Afghanistan,Ireland,29 runs,Belfast,2018-08-27,ODI # 4032,4032,Northern Ireland,Afghanistan
Ireland,Afghanistan,Ireland,Afghanistan,3 wickets,Belfast,2018-08-29,ODI # 4033,4033,Northern Ireland,Afghanistan
Ireland,Afghanistan,Afghanistan,Ireland,8 wickets,Belfast,2018-08-31,ODI # 4035,4035,Northern Ireland,Afghanistan
Afghanistan,Sri Lanka,Afghanistan,Sri Lanka,91 runs,Abu Dhabi,2018-09-17,ODI # 4038,4038,United Arab Emirates,Afghanistan
Afghanistan,Bangladesh,Afghanistan,Bangladesh,136 runs,Abu Dhabi,2018-09-20,ODI # 4041,4041,United Arab Emirates,Afghanistan
Afghanistan,Pakistan,Pakistan,Afghanistan,3 wickets,Abu Dhabi,2018-09-21,ODI # 4043,4043,United Arab Emirates,Afghanistan
Afghanistan,Bangladesh,Bangladesh,Afghanistan,3 runs,Abu Dhabi,2018-09-23,ODI # 4045,4045,United Arab Emirates,Afghanistan
Afghanistan,India,tied,Afghanistan,,Dubai (DSC),2018-09-25,ODI # 4046,4046,United Arab Emirates,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,5 wickets,Dehradun,2019-02-28,ODI # 4100,4100,India,Afghanistan
Afghanistan,Ireland,no result,Afghanistan,,Dehradun,2019-03-02,ODI # 4101,4101,India,Afghanistan
Afghanistan,Ireland,Ireland,Afghanistan,4 wickets,Dehradun,2019-03-05,ODI # 4105,4105,India,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,109 runs,Dehradun,2019-03-08,ODI # 4108,4108,India,Afghanistan
Afghanistan,Ireland,Ireland,Afghanistan,5 wickets,Dehradun,2019-03-10,ODI # 4110,4110,India,Afghanistan
Scotland,Afghanistan,Afghanistan,Scotland,2 runs,Edinburgh,2019-05-10,ODI # 4131,4131,Scotland,Afghanistan
Ireland,Afghanistan,Ireland,Afghanistan,72 runs,Belfast,2019-05-19,ODI # 4139,4139,Northern Ireland,Afghanistan
Ireland,Afghanistan,Afghanistan,Ireland,126 runs,Belfast,2019-05-21,ODI # 4141,4141,Northern Ireland,Afghanistan
Afghanistan,Australia,Australia,Afghanistan,7 wickets,Bristol,2019-06-01,ODI # 4146,4146,England,Afghanistan
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,34 runs,Cardiff,2019-06-04,ODI # 4149,4149,Wales,Afghanistan
Afghanistan,New Zealand,New Zealand,Afghanistan,7 wickets,Taunton,2019-06-08,ODI # 4154,4154,England,Afghanistan
Afghanistan,South Africa,South Africa,Afghanistan,9 wickets,Cardiff,2019-06-15,ODI # 4160,4160,Wales,Afghanistan
England,Afghanistan,England,Afghanistan,150 runs,Manchester,2019-06-18,ODI # 4163,4163,England,Afghanistan
Afghanistan,India,India,Afghanistan,11 runs,Southampton,2019-06-22,ODI # 4169,4169,England,Afghanistan
Afghanistan,Bangladesh,Bangladesh,Afghanistan,62 runs,Southampton,2019-06-24,ODI # 4172,4172,England,Afghanistan
Afghanistan,Pakistan,Pakistan,Afghanistan,3 wickets,Leeds,2019-06-29,ODI # 4177,4177,England,Afghanistan
Afghanistan,West Indies,West Indies,Afghanistan,23 runs,Leeds,2019-07-04,ODI # 4184,4184,England,Afghanistan
Afghanistan,West Indies,West Indies,Afghanistan,7 wickets,Lucknow,2019-11-06,ODI # 4213,4213,India,Afghanistan
Afghanistan,West Indies,West Indies,Afghanistan,47 runs,Lucknow,2019-11-09,ODI # 4214,4214,India,Afghanistan
Afghanistan,West Indies,West Indies,Afghanistan,5 wickets,Lucknow,2019-11-11,ODI # 4215,4215,India,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,16 runs,Abu Dhabi,2021-01-21,ODI # 4271,4271,United Arab Emirates,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,7 wickets,Abu Dhabi,2021-01-24,ODI # 4273,4273,United Arab Emirates,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,36 runs,Abu Dhabi,2021-01-26,ODI # 4275,4275,United Arab Emirates,Afghanistan
Afghanistan,Netherlands,Afghanistan,Netherlands,36 runs,Doha,2022-01-21,ODI # 4345,4345,Qatar,Afghanistan
Afghanistan,Netherlands,Afghanistan,Netherlands,48 runs,Doha,2022-01-23,ODI # 4348,4348,Qatar,Afghanistan
Afghanistan,Netherlands,Afghanistan,Netherlands,75 runs,Doha,2022-01-25,ODI # 4350,4350,Qatar,Afghanistan
Bangladesh,Afghanistan,Bangladesh,Afghanistan,4 wickets,Chattogram,2022-02-23,ODI # 4357,4357,Bangladesh,Afghanistan
Bangladesh,Afghanistan,Bangladesh,Afghanistan,88 runs,Chattogram,2022-02-25,ODI # 4358,4358,Bangladesh,Afghanistan
Bangladesh,Afghanistan,Afghanistan,Bangladesh,7 wickets,Chattogram,2022-02-28,ODI # 4359,4359,Bangladesh,Afghanistan
Zimbabwe,Afghanistan,Afghanistan,Zimbabwe,60 runs,Harare,2022-06-04,ODI # 4397,4397,Zimbabwe,Afghanistan
Zimbabwe,Afghanistan,Afghanistan,Zimbabwe,8 wickets,Harare,2022-06-06,ODI # 4400,4400,Zimbabwe,Afghanistan
Zimbabwe,Afghanistan,Afghanistan,Zimbabwe,4 wickets,Harare,2022-06-09,ODI # 4403,4403,Zimbabwe,Afghanistan
Sri Lanka,Afghanistan,Afghanistan,Sri Lanka,60 runs,Pallekele,2022-11-25,ODI # 4485,4485,Sri Lanka,Afghanistan
Sri Lanka,Afghanistan,no result,Sri Lanka,,Pallekele,2022-11-27,ODI # 4488,4488,Sri Lanka,Afghanistan
Sri Lanka,Afghanistan,Sri Lanka,Afghanistan,4 wickets,Pallekele,2022-11-30,ODI # 4490,4490,Sri Lanka,Afghanistan
