Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,5 wickets,Colombo (RPS),3/29/2011,ODI # 3146,3146,Sri Lanka,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Wankhede,4/2/2011,ODI # 3148,3148,India,Sri Lanka
England,Sri Lanka,England,Sri Lanka,110 runs,The Oval,6/28/2011,ODI # 3165,3165,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,69 runs,Leeds,7/1/2011,ODI # 3167,3167,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,6 wickets,Lord's,7/3/2011,ODI # 3168,3168,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,10 wickets,Nottingham,7/6/2011,ODI # 3169,3169,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,16 runs,Manchester,7/9/2011,ODI # 3170,3170,England,Sri Lanka
Scotland,Sri Lanka,Sri Lanka,Scotland,183 runs,Edinburgh,7/13/2011,ODI # 3172,3172,Scotland,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,7 wickets,Pallekele,8/10/2011,ODI # 3175,3175,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,8 wickets,Hambantota,8/14/2011,ODI # 3178,3178,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,78 runs,Hambantota,8/16/2011,ODI # 3180,3180,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,5 wickets,Colombo (RPS),8/20/2011,ODI # 3182,3182,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,4 wickets,Colombo (RPS),8/22/2011,ODI # 3184,3184,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Dubai (DSC),11/11/2011,ODI # 3212,3212,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,25 runs,Dubai (DSC),11/14/2011,ODI # 3213,3213,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,21 runs,Dubai (DSC),11/18/2011,ODI # 3214,3214,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,26 runs,Sharjah,11/20/2011,ODI # 3215,3215,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,3 wickets,Abu Dhabi,11/23/2011,ODI # 3216,3216,United Arab Emirates,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,258 runs,Paarl,1/11/2012,ODI # 3225,3225,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,5 wickets,East London,1/14/2012,ODI # 3226,3226,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,4 runs,Bloemfontein,1/17/2012,ODI # 3227,3227,South Africa,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,South Africa,5 wickets,Kimberley,1/20/2012,ODI # 3228,3228,South Africa,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,South Africa,2 wickets,Johannesburg,1/22/2012,ODI # 3229,3229,South Africa,Sri Lanka
India,Sri Lanka,India,Sri Lanka,4 wickets,Perth,2/8/2012,ODI # 3233,3233,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,5 runs,Perth,2/10/2012,ODI # 3235,3235,Australia,Sri Lanka
India,Sri Lanka,tied,India,,Adelaide,2/14/2012,ODI # 3239,3239,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,8 wickets,Sydney,2/17/2012,ODI # 3241,3241,Australia,Sri Lanka
India,Sri Lanka,Sri Lanka,India,51 runs,Brisbane,2/21/2012,ODI # 3246,3246,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,3 wickets,Hobart,2/24/2012,ODI # 3248,3248,Australia,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Hobart,2/28/2012,ODI # 3251,3251,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,9 runs,Melbourne,3/2/2012,ODI # 3253,3253,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,15 runs,Brisbane,3/4/2012,ODI # 3255,3255,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,8 wickets,Adelaide,3/6/2012,ODI # 3256,3256,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,16 runs,Adelaide,3/8/2012,ODI # 3257,3257,Australia,Sri Lanka
India,Sri Lanka,India,Sri Lanka,50 runs,Mirpur,3/13/2012,ODI # 3259,3259,Bangladesh,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Mirpur,3/15/2012,ODI # 3260,3260,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Mirpur,3/20/2012,ODI # 3265,3265,Bangladesh,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,6 wickets,Pallekele,6/7/2012,ODI # 3272,3272,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,76 runs,Pallekele,6/9/2012,ODI # 3273,3273,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,no result,Sri Lanka,,Colombo (RPS),6/13/2012,ODI # 3274,3274,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,44 runs,Colombo (RPS),6/16/2012,ODI # 3275,3275,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,2 wickets,Colombo (RPS),6/18/2012,ODI # 3277,3277,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,21 runs,Hambantota,7/21/2012,ODI # 3291,3291,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,9 wickets,Hambantota,7/24/2012,ODI # 3292,3292,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,5 wickets,Colombo (RPS),7/28/2012,ODI # 3293,3293,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,6 wickets,Colombo (RPS),7/31/2012,ODI # 3294,3294,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,20 runs,Pallekele,8/4/2012,ODI # 3295,3295,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,14 runs,Pallekele,11/4/2012,ODI # 3305,3305,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,7 wickets,Pallekele,11/6/2012,ODI # 3306,3306,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,7 wickets,Hambantota,11/10/2012,ODI # 3307,3307,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,no result,Sri Lanka,,Hambantota,11/12/2012,ODI # 3308,3308,Sri Lanka,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,107 runs,Melbourne,1/11/2013,ODI # 3317,3317,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,8 wickets,Adelaide,1/13/2013,ODI # 3319,3319,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,4 wickets,Brisbane,1/18/2013,ODI # 3321,3321,Australia,Sri Lanka
Australia,Sri Lanka,no result,Australia,,Sydney,1/20/2013,ODI # 3324,3324,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,32 runs,Hobart,1/23/2013,ODI # 3326,3326,Australia,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,8 wickets,Hambantota,3/23/2013,ODI # 3349,3349,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,no result,Sri Lanka,,Hambantota,3/25/2013,ODI # 3351,3351,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,3 wickets,Pallekele,3/28/2013,ODI # 3352,3352,Sri Lanka,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,1 wicket,Cardiff,6/9/2013,ODI # 3366,3366,Wales,Sri Lanka
England,Sri Lanka,Sri Lanka,England,7 wickets,The Oval,6/13/2013,ODI # 3370,3370,England,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,20 runs,The Oval,6/17/2013,ODI # 3374,3374,England,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Cardiff,6/20/2013,ODI # 3376,3376,Wales,Sri Lanka
West Indies,Sri Lanka,West Indies,Sri Lanka,6 wickets,Kingston,6/28/2013,ODI # 3378,3378,West Indies,Sri Lanka
India,Sri Lanka,Sri Lanka,India,161 runs,Kingston,7/2/2013,ODI # 3382,3382,West Indies,Sri Lanka
West Indies,Sri Lanka,Sri Lanka,West Indies,39 runs,Port of Spain,7/7/2013,ODI # 3385,3385,West Indies,Sri Lanka
India,Sri Lanka,India,Sri Lanka,81 runs,Port of Spain,7/9/2013,ODI # 3387,3387,West Indies,Sri Lanka
India,Sri Lanka,India,Sri Lanka,1 wicket,Port of Spain,7/11/2013,ODI # 3388,3388,West Indies,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,180 runs,Colombo (RPS),7/20/2013,ODI # 3392,3392,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,17 runs,Colombo (RPS),7/23/2013,ODI # 3394,3394,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,56 runs,Pallekele,7/26/2013,ODI # 3398,3398,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,8 wickets,Pallekele,7/28/2013,ODI # 3400,3400,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,128 runs,Colombo (RPS),7/31/2013,ODI # 3401,3401,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,no result,Sri Lanka,,Hambantota,11/10/2013,ODI # 3432,3432,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,4 wickets,Hambantota,11/12/2013,ODI # 3434,3434,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,36 runs,Dambulla,11/16/2013,ODI # 3435,3435,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,11 runs,Sharjah,12/18/2013,ODI # 3445,3445,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,2 wickets,Dubai (DSC),12/20/2013,ODI # 3446,3446,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,113 runs,Sharjah,12/22/2013,ODI # 3447,3447,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Abu Dhabi,12/25/2013,ODI # 3448,3448,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,12/27/2013,ODI # 3450,3450,United Arab Emirates,Sri Lanka
