web-scraper-order,web-scraper-start-url,BATSMEN,Run,Ball,Min,Four,Six,Strike
"1603232595-9291","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","12","null","0","0","1","null"
"1603232595-9250","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9289","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","25","null","0","2","1","null"
"1603232595-9266","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","W Jaffer","6","16","-","0","0","37.50"
"1603232595-9283","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9263","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","24","null","0","2","2","null"
"1603232595-9285","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9274","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","MV Boucherʠ","7","9","-","1","0","77.77"
"1603232595-9272","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","CL White","6","10","-","0","0","60.00"
"1603232595-9249","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","BB McCullum","158","73","-","10","13","216.43"
"1603232595-9261","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","48","null","0","5","3","null"
"1603232595-9260","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","40","null","0","2","2","null"
"1603232595-9262","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","26","null","0","0","2","null"
