,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
1976-08-30,3,10,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1977-06-02,4,10,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1977-06-04,5,10,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1977-06-06,5,11,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1977-12-23,5,11,4,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1977-12-30,5,11,4,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1978-01-13,5,12,4,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1978-05-24,5,12,4,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1978-05-26,5,12,4,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1978-07-15,5,12,5,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1978-07-17,5,12,6,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1979-01-13,6,12,6,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1979-01-24,7,12,6,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
