Team1,Team2,Winner,Result,Venue,Date,MatchNumber
New Zealand,West Indies,New Zealand,36 runs,Hamilton,2008-12-28,T20I # 79
Australia,South Africa,Australia,52 runs,Melbourne,2009-01-11,T20I # 80
Australia,South Africa,Australia,6 wickets,Brisbane,2009-01-13,T20I # 81
Sri Lanka,India,India,3 wickets,Colombo (RPS),2009-02-10,T20I # 82
Australia,New Zealand,Australia,1 run,Sydney,2009-02-15,T20I # 83
New Zealand,India,New Zealand,7 wickets,Christchurch,2009-02-25,T20I # 84
New Zealand,India,New Zealand,5 wickets,Wellington,2009-02-27,T20I # 85
West Indies,England,West Indies,6 wickets,Port of Spain,2009-03-15,T20I # 86
South Africa,Australia,South Africa,4 wickets,Johannesburg,2009-03-27,T20I # 87
South Africa,Australia,South Africa,17 runs,Centurion,2009-03-29,T20I # 88
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),2009-05-07,T20I # 89
England,Netherlands,Netherlands,4 wickets,Lord's,2009-06-05,T20I # 90
New Zealand,Scotland,New Zealand,7 wickets,The Oval,2009-06-06,T20I # 91
Australia,West Indies,West Indies,7 wickets,The Oval,2009-06-06,T20I # 92
Bangladesh,India,India,25 runs,Nottingham,2009-06-06,T20I # 93
Scotland,South Africa,South Africa,130 runs,The Oval,2009-06-07,T20I # 94
England,Pakistan,England,48 runs,The Oval,2009-06-07,T20I # 95
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,2009-06-08,T20I # 96
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,2009-06-08,T20I # 97
Netherlands,Pakistan,Pakistan,82 runs,Lord's,2009-06-09,T20I # 98
New Zealand,South Africa,South Africa,1 run,Lord's,2009-06-09,T20I # 99
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,2009-06-10,T20I # 100
India,Ireland,India,8 wickets,Nottingham,2009-06-10,T20I # 101
Ireland,New Zealand,New Zealand,83 runs,Nottingham,2009-06-11,T20I # 102
England,South Africa,South Africa,7 wickets,Nottingham,2009-06-11,T20I # 103
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,2009-06-12,T20I # 104
India,West Indies,West Indies,7 wickets,Lord's,2009-06-12,T20I # 105
South Africa,West Indies,South Africa,20 runs,The Oval,2009-06-13,T20I # 106
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,2009-06-13,T20I # 107
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,2009-06-14,T20I # 108
England,India,England,3 runs,Lord's,2009-06-14,T20I # 109
Ireland,Pakistan,Pakistan,39 runs,The Oval,2009-06-15,T20I # 110
England,West Indies,West Indies,5 wickets,The Oval,2009-06-15,T20I # 111
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,2009-06-16,T20I # 112
India,South Africa,South Africa,12 runs,Nottingham,2009-06-16,T20I # 113
Pakistan,South Africa,Pakistan,7 runs,Nottingham,2009-06-18,T20I # 114
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,2009-06-19,T20I # 115
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,2009-06-21,T20I # 116
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,2009-08-02,T20I # 117
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),2009-08-12,T20I # 118
England,Australia,no result,,Manchester,2009-08-30,T20I # 119
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),2009-09-02,T20I # 120
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),2009-09-04,T20I # 121
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DSC),2009-11-12,T20I # 122
