Team1,Team2,Winner,Result,Venue,Date,MatchNumber
Canada,Ireland,Ireland,2 runs,Abu Dhabi,2013-11-16,T20I # 338
Kenya,Scotland,Kenya,92 runs,ICCA Dubai,2013-11-19,T20I # 339
South Africa,Pakistan,South Africa,4 runs,Johannesburg,2013-11-20,T20I # 340
Sri Lanka,New Zealand,Sri Lanka,8 wickets,Pallekele,2013-11-21,T20I # 341
Netherlands,Scotland,Scotland,15 runs,ICCA Dubai,2013-11-22,T20I # 342
South Africa,Pakistan,Pakistan,6 runs,Cape Town,2013-11-22,T20I # 343
Kenya,Netherlands,Netherlands,29 runs,ICCA Dubai,2013-11-23,T20I # 344
Afghanistan,Kenya,Afghanistan,34 runs,Sharjah,2013-11-24,T20I # 345
Canada,Kenya,Kenya,21 runs,Sharjah,2013-11-26,T20I # 346
Netherlands,Scotland,Netherlands,8 wickets,Abu Dhabi,2013-11-28,T20I # 347
Afghanistan,Ireland,Ireland,68 runs,Abu Dhabi,2013-11-30,T20I # 348
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,2013-12-08,T20I # 349
Pakistan,Sri Lanka,Pakistan,3 wickets,Dubai (DSC),2013-12-11,T20I # 350
Pakistan,Sri Lanka,Sri Lanka,24 runs,Dubai (DSC),2013-12-13,T20I # 351
New Zealand,West Indies,New Zealand,81 runs,Auckland,2014-01-11,T20I # 352
New Zealand,West Indies,New Zealand,4 wickets,Wellington,2014-01-15,T20I # 353
Australia,England,Australia,13 runs,Hobart,2014-01-29,T20I # 354
Australia,England,Australia,8 wickets,Melbourne,2014-01-31,T20I # 355
Australia,England,Australia,84 runs,Sydney,2014-02-02,T20I # 356
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,2014-02-12,T20I # 357
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,2014-02-14,T20I # 358
West Indies,Ireland,Ireland,6 wickets,Kingston,2014-02-19,T20I # 359
West Indies,Ireland,West Indies,11 runs,Kingston,2014-02-21,T20I # 360
West Indies,England,West Indies,27 runs,Bridgetown,2014-03-09,T20I # 361
West Indies,England,West Indies,5 wickets,Bridgetown,2014-03-11,T20I # 362
South Africa,Australia,Australia,5 wickets,Durban,2014-03-12,T20I # 363
West Indies,England,England,5 runs,Bridgetown,2014-03-13,T20I # 364
South Africa,Australia,Australia,6 wickets,Centurion,2014-03-14,T20I # 365
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,2014-03-16,T20I # 366
Hong Kong,Nepal,Nepal,80 runs,Chattogram,2014-03-16,T20I # 367
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,2014-03-17,T20I # 368
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,2014-03-17,T20I # 369
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,2014-03-18,T20I # 370
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,2014-03-18,T20I # 371
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014-03-19,T20I # 372
Ireland,U.A.E.,Ireland,21 runs,Sylhet,2014-03-19,T20I # 373
Afghanistan,Nepal,Nepal,9 runs,Chattogram,2014-03-20,T20I # 374
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,2014-03-20,T20I # 375
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,2014-03-21,T20I # 376
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,2014-03-21,T20I # 377
India,Pakistan,India,7 wickets,Mirpur,2014-03-21,T20I # 378
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,2014-03-22,T20I # 379
England,New Zealand,New Zealand,9 runs,Chattogram,2014-03-22,T20I # 380
Australia,Pakistan,Pakistan,16 runs,Mirpur,2014-03-23,T20I # 381
India,West Indies,India,7 wickets,Mirpur,2014-03-23,T20I # 382
New Zealand,South Africa,South Africa,2 runs,Chattogram,2014-03-24,T20I # 383
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,2014-03-24,T20I # 384
Bangladesh,West Indies,West Indies,73 runs,Mirpur,2014-03-25,T20I # 385
Netherlands,South Africa,South Africa,6 runs,Chattogram,2014-03-27,T20I # 386
England,Sri Lanka,England,6 wickets,Chattogram,2014-03-27,T20I # 387
Australia,West Indies,West Indies,6 wickets,Mirpur,2014-03-28,T20I # 388
Bangladesh,India,India,8 wickets,Mirpur,2014-03-28,T20I # 389
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,2014-03-29,T20I # 390
England,South Africa,South Africa,3 runs,Chattogram,2014-03-29,T20I # 391
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,2014-03-30,T20I # 392
Australia,India,India,73 runs,Mirpur,2014-03-30,T20I # 393
England,Netherlands,Netherlands,45 runs,Chattogram,2014-03-31,T20I # 394
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,2014-03-31,T20I # 395
Bangladesh,Australia,Australia,7 wickets,Mirpur,2014-04-01,T20I # 396
Pakistan,West Indies,West Indies,84 runs,Mirpur,2014-04-01,T20I # 397
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,2014-04-03,T20I # 398
India,South Africa,India,6 wickets,Mirpur,2014-04-04,T20I # 399
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,2014-04-06,T20I # 400
England,Sri Lanka,Sri Lanka,9 runs,The Oval,2014-05-20,T20I # 401
West Indies,New Zealand,New Zealand,12 runs,Roseau,2014-07-05,T20I # 402
West Indies,New Zealand,West Indies,39 runs,Roseau,2014-07-06,T20I # 403
West Indies,Bangladesh,no result,,Basseterre,2014-08-27,T20I # 404
England,India,England,3 runs,Birmingham,2014-09-07,T20I # 405
Australia,Pakistan,Australia,6 wickets,Dubai (DSC),2014-10-05,T20I # 406
Australia,South Africa,South Africa,7 wickets,Adelaide,2014-11-05,T20I # 407
Australia,South Africa,Australia,7 wickets,Melbourne,2014-11-07,T20I # 408
Australia,South Africa,Australia,2 wickets,Sydney,2014-11-09,T20I # 409
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),2014-11-24,T20I # 410
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DSC),2014-12-04,T20I # 411
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DSC),2014-12-05,T20I # 412
South Africa,West Indies,West Indies,4 wickets,Cape Town,2015-01-09,T20I # 413
South Africa,West Indies,West Indies,4 wickets,Johannesburg,2015-01-11,T20I # 414
South Africa,West Indies,South Africa,69 runs,Durban,2015-01-14,T20I # 415
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,2015-04-24,T20I # 416
Pakistan,Zimbabwe,Pakistan,5 wickets,Lahore,2015-05-22,T20I # 417
Pakistan,Zimbabwe,Pakistan,2 wickets,Lahore,2015-05-24,T20I # 418
Ireland,Scotland,Scotland,6 wickets,Bready,2015-06-18,T20I # 419
Ireland,Scotland,no result,,Bready,2015-06-19,T20I # 420
Ireland,Scotland,Scotland,6 wickets,Bready,2015-06-20,T20I # 421
Ireland,Scotland,no result,,Bready,2015-06-21,T20I # 422
England,New Zealand,England,56 runs,Manchester,2015-06-23,T20I # 423
Netherlands,Nepal,Netherlands,18 runs,Amstelveen,2015-06-30,T20I # 424
Netherlands,Nepal,Netherlands,103 runs,Amstelveen,2015-07-01,T20I # 425
Netherlands,Nepal,Netherlands,18 runs,Rotterdam,2015-07-02,T20I # 426
Netherlands,Nepal,Nepal,3 wickets,Rotterdam,2015-07-03,T20I # 427
Bangladesh,South Africa,South Africa,52 runs,Mirpur,2015-07-05,T20I # 428
Bangladesh,South Africa,South Africa,31 runs,Mirpur,2015-07-07,T20I # 429
Scotland,U.A.E.,Scotland,9 wickets,Edinburgh,2015-07-09,T20I # 430
Afghanistan,Netherlands,Afghanistan,32 runs,Edinburgh,2015-07-09,T20I # 431
Afghanistan,U.A.E.,Afghanistan,8 wickets,Edinburgh,2015-07-10,T20I # 432
Scotland,Netherlands,Netherlands,32 runs,Edinburgh,2015-07-11,T20I # 433
Netherlands,U.A.E.,Netherlands,7 wickets,Edinburgh,2015-07-12,T20I # 434
Scotland,Afghanistan,Afghanistan,37 runs,Edinburgh,2015-07-12,T20I # 435
Ireland,Nepal,Ireland,8 wickets,Belfast,2015-07-13,T20I # 436
Ireland,P.N.G.,P.N.G.,2 wickets,Belfast,2015-07-15,T20I # 437
Hong Kong,Nepal,Hong Kong,5 wickets,Belfast,2015-07-15,T20I # 438
Nepal,P.N.G.,P.N.G.,8 wickets,Dublin (Malahide),2015-07-17,T20I # 439
Zimbabwe,India,India,54 runs,Harare,2015-07-17,T20I # 440
Ireland,Hong Kong,Hong Kong,5 runs,Dublin (Malahide),2015-07-17,T20I # 441
Zimbabwe,India,Zimbabwe,10 runs,Harare,2015-07-19,T20I # 442
Afghanistan,Hong Kong,Hong Kong,5 wickets,Dublin (Malahide),2015-07-21,T20I # 443
Afghanistan,P.N.G.,Afghanistan,6 wickets,Dublin (Malahide),2015-07-23,T20I # 444
Hong Kong,Scotland,Scotland,5 wickets,Dublin (Malahide),2015-07-25,T20I # 445
Afghanistan,Oman,Afghanistan,5 wickets,Dublin,2015-07-25,T20I # 446
Ireland,Netherlands,Netherlands,5 wickets,Dublin (Malahide),2015-07-25,T20I # 447
Sri Lanka,Pakistan,Pakistan,29 runs,Colombo (RPS),2015-07-30,T20I # 448
Sri Lanka,Pakistan,Pakistan,1 wicket,Colombo (RPS),2015-08-01,T20I # 449
Zimbabwe,New Zealand,New Zealand,80 runs,Harare,2015-08-09,T20I # 450
South Africa,New Zealand,South Africa,6 wickets,Durban,2015-08-14,T20I # 451
South Africa,New Zealand,New Zealand,32 runs,Centurion,2015-08-16,T20I # 452
England,Australia,England,5 runs,Cardiff,2015-08-31,T20I # 453
Zimbabwe,Pakistan,Pakistan,13 runs,Harare,2015-09-27,T20I # 454
Zimbabwe,Pakistan,Pakistan,15 runs,Harare,2015-09-29,T20I # 455
India,South Africa,South Africa,7 wickets,Dharamsala,2015-10-02,T20I # 456
India,South Africa,South Africa,6 wickets,Cuttack,2015-10-05,T20I # 457
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Bulawayo,2015-10-26,T20I # 458
Zimbabwe,Afghanistan,Afghanistan,5 wickets,Bulawayo,2015-10-28,T20I # 459
Sri Lanka,West Indies,Sri Lanka,30 runs,Pallekele,2015-11-09,T20I # 460
Sri Lanka,West Indies,West Indies,23 runs,Colombo (RPS),2015-11-11,T20I # 461
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Mirpur,2015-11-13,T20I # 462
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Mirpur,2015-11-15,T20I # 463
Hong Kong,Oman,Oman,6 wickets,Abu Dhabi,2015-11-21,T20I # 464
U.A.E.,Oman,U.A.E.,7 wickets,Abu Dhabi,2015-11-22,T20I # 465
Hong Kong,Oman,Oman,4 runs,Abu Dhabi,2015-11-25,T20I # 466
Hong Kong,Oman,Hong Kong,8 wickets,Abu Dhabi,2015-11-26,T20I # 467
England,Pakistan,England,14 runs,Dubai (DSC),2015-11-26,T20I # 468
England,Pakistan,England,3 runs,Dubai (DSC),2015-11-27,T20I # 469
Afghanistan,Hong Kong,Hong Kong,4 wickets,Abu Dhabi,2015-11-28,T20I # 470
Afghanistan,Oman,Afghanistan,27 runs,Abu Dhabi,2015-11-29,T20I # 471
Afghanistan,Oman,Afghanistan,12 runs,Abu Dhabi,2015-11-30,T20I # 472
England,Pakistan,tied,,Sharjah,2015-11-30,T20I # 473
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,2016-01-07,T20I # 474
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,2016-01-08,T20I # 475
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,2016-01-10,T20I # 476
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,2016-01-10,T20I # 477
New Zealand,Pakistan,Pakistan,16 runs,Auckland,2016-01-15,T20I # 478
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,2016-01-15,T20I # 479
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,2016-01-17,T20I # 480
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,2016-01-17,T20I # 481
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,2016-01-20,T20I # 482
New Zealand,Pakistan,New Zealand,95 runs,Wellington,2016-01-22,T20I # 483
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,2016-01-22,T20I # 484
Australia,India,India,37 runs,Adelaide,2016-01-26,T20I # 485
Australia,India,India,27 runs,Melbourne,2016-01-29,T20I # 486
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,2016-01-30,T20I # 487
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,2016-01-31,T20I # 488
Australia,India,India,7 wickets,Sydney,2016-01-31,T20I # 489
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,2016-02-03,T20I # 490
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,2016-02-04,T20I # 491
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,2016-02-05,T20I # 492
Ireland,P.N.G.,Ireland,5 wickets,Townsville,2016-02-06,T20I # 493
Ireland,P.N.G.,Ireland,7 runs,Townsville,2016-02-07,T20I # 494
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,2016-02-09,T20I # 495
India,Sri Lanka,Sri Lanka,5 wickets,Pune,2016-02-09,T20I # 496
India,Sri Lanka,India,69 runs,Ranchi,2016-02-12,T20I # 497
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,2016-02-14,T20I # 498
India,Sri Lanka,India,9 wickets,Visakhapatnam,2016-02-14,T20I # 499
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,2016-02-16,T20I # 500
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,2016-02-19,T20I # 501
Hong Kong,Oman,Oman,5 runs,Fatullah,2016-02-19,T20I # 502
South Africa,England,South Africa,3 wickets,Cape Town,2016-02-19,T20I # 503
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,2016-02-20,T20I # 504
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,2016-02-21,T20I # 505
South Africa,England,South Africa,9 wickets,Johannesburg,2016-02-21,T20I # 506
Afghanistan,Hong Kong,Afghanistan,66 runs,Mirpur,2016-02-22,T20I # 507
Oman,U.A.E.,U.A.E.,71 runs,Mirpur,2016-02-22,T20I # 508
Bangladesh,India,India,45 runs,Mirpur,2016-02-24,T20I # 509
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Mirpur,2016-02-25,T20I # 510
Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur,2016-02-26,T20I # 511
India,Pakistan,India,5 wickets,Mirpur,2016-02-27,T20I # 512
Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur,2016-02-28,T20I # 513
Pakistan,U.A.E.,Pakistan,7 wickets,Mirpur,2016-02-29,T20I # 514
India,Sri Lanka,India,5 wickets,Mirpur,2016-03-01,T20I # 515
Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur,2016-03-02,T20I # 516
India,U.A.E.,India,9 wickets,Mirpur,2016-03-03,T20I # 517
Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur,2016-03-04,T20I # 518
South Africa,Australia,South Africa,3 wickets,Durban,2016-03-04,T20I # 519
South Africa,Australia,Australia,5 wickets,Johannesburg,2016-03-06,T20I # 520
Bangladesh,India,India,8 wickets,Mirpur,2016-03-06,T20I # 521
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,2016-03-08,T20I # 522
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,2016-03-08,T20I # 523
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,2016-03-09,T20I # 524
Ireland,Oman,Oman,2 wickets,Dharamsala,2016-03-09,T20I # 525
South Africa,Australia,Australia,6 wickets,Cape Town,2016-03-09,T20I # 526
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,2016-03-10,T20I # 527
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,2016-03-10,T20I # 528
Netherlands,Oman,no result,,Dharamsala,2016-03-11,T20I # 529
Bangladesh,Ireland,no result,,Dharamsala,2016-03-11,T20I # 530
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,2016-03-12,T20I # 531
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,2016-03-12,T20I # 532
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,2016-03-13,T20I # 533
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,2016-03-13,T20I # 534
India,New Zealand,New Zealand,47 runs,Nagpur,2016-03-15,T20I # 535
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,2016-03-16,T20I # 536
England,West Indies,West Indies,6 wickets,Wankhede,2016-03-16,T20I # 537
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,2016-03-17,T20I # 538
Australia,New Zealand,New Zealand,8 runs,Dharamsala,2016-03-18,T20I # 539
England,South Africa,England,2 wickets,Wankhede,2016-03-18,T20I # 540
India,Pakistan,India,6 wickets,Eden Gardens,2016-03-19,T20I # 541
Afghanistan,South Africa,South Africa,37 runs,Wankhede,2016-03-20,T20I # 542
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,2016-03-20,T20I # 543
Australia,Bangladesh,Australia,3 wickets,Bengaluru,2016-03-21,T20I # 544
New Zealand,Pakistan,New Zealand,22 runs,Mohali,2016-03-22,T20I # 545
Afghanistan,England,England,15 runs,Delhi,2016-03-23,T20I # 546
India,Bangladesh,India,1 run,Bengaluru,2016-03-23,T20I # 547
Australia,Pakistan,Australia,21 runs,Mohali,2016-03-25,T20I # 548
South Africa,West Indies,West Indies,3 wickets,Nagpur,2016-03-25,T20I # 549
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,2016-03-26,T20I # 550
England,Sri Lanka,England,10 runs,Delhi,2016-03-26,T20I # 551
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,2016-03-27,T20I # 552
India,Australia,India,6 wickets,Mohali,2016-03-27,T20I # 553
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,2016-03-28,T20I # 554
England,New Zealand,England,7 wickets,Delhi,2016-03-30,T20I # 555
India,West Indies,West Indies,7 wickets,Wankhede,2016-03-31,T20I # 556
England,West Indies,West Indies,4 wickets,Eden Gardens,2016-04-03,T20I # 557
Zimbabwe,India,Zimbabwe,2 runs,Harare,2016-06-18,T20I # 558
Zimbabwe,India,India,10 wickets,Harare,2016-06-20,T20I # 559
Zimbabwe,India,India,3 runs,Harare,2016-06-22,T20I # 560
England,Sri Lanka,England,8 wickets,Southampton,2016-07-05,T20I # 561
India,West Indies,West Indies,1 run,Lauderhill,2016-08-27,T20I # 562
India,West Indies,no result,,Lauderhill,2016-08-28,T20I # 563
Ireland,Hong Kong,Hong Kong,40 runs,Bready,2016-09-05,T20I # 564
Sri Lanka,Australia,Australia,85 runs,Pallekele,2016-09-06,T20I # 565
England,Pakistan,Pakistan,9 wickets,Manchester,2016-09-07,T20I # 566
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),2016-09-09,T20I # 567
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DSC),2016-09-23,T20I # 568
Pakistan,West Indies,Pakistan,16 runs,Dubai (DSC),2016-09-24,T20I # 569
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,2016-09-27,T20I # 570
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,2016-12-14,T20I # 571
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DSC),2016-12-16,T20I # 572
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,2016-12-18,T20I # 573
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,2017-01-03,T20I # 574
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,2017-01-06,T20I # 575
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,2017-01-08,T20I # 576
Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,2017-01-14,T20I # 577
Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,2017-01-14,T20I # 578
Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,2017-01-15,T20I # 579
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,2017-01-16,T20I # 580
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,2017-01-16,T20I # 581
Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,2017-01-17,T20I # 582
U.A.E.,Ireland,Ireland,24 runs,Dubai (DSC),2017-01-18,T20I # 583
Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DSC),2017-01-18,T20I # 584
Oman,Scotland,Scotland,7 wickets,Dubai (DSC),2017-01-19,T20I # 585
Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DSC),2017-01-20,T20I # 586
Ireland,Scotland,Ireland,98 runs,Dubai (DSC),2017-01-20,T20I # 587
Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DSC),2017-01-20,T20I # 588
South Africa,Sri Lanka,South Africa,19 runs,Centurion,2017-01-20,T20I # 589
South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,2017-01-22,T20I # 590
South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,2017-01-25,T20I # 591
India,England,England,7 wickets,Kanpur,2017-01-26,T20I # 592
India,England,India,5 runs,Nagpur,2017-01-29,T20I # 593
India,England,India,75 runs,Bengaluru,2017-02-01,T20I # 594
New Zealand,South Africa,South Africa,78 runs,Auckland,2017-02-17,T20I # 595
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,2017-02-17,T20I # 596
Australia,Sri Lanka,Sri Lanka,2 wickets,Geelong,2017-02-19,T20I # 597
Australia,Sri Lanka,Australia,41 runs,Adelaide,2017-02-22,T20I # 598
Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,2017-03-08,T20I # 599
Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,2017-03-10,T20I # 600
Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,2017-03-12,T20I # 601
West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,2017-03-26,T20I # 602
West Indies,Pakistan,Pakistan,3 runs,Port of Spain,2017-03-30,T20I # 603
West Indies,Pakistan,West Indies,7 wickets,Port of Spain,2017-04-01,T20I # 604
West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,2017-04-02,T20I # 605
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),2017-04-04,T20I # 606
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),2017-04-06,T20I # 607
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,2017-04-12,T20I # 608
U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,2017-04-14,T20I # 609
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,2017-04-14,T20I # 610
West Indies,Afghanistan,West Indies,6 wickets,Basseterre,2017-06-02,T20I # 611
West Indies,Afghanistan,West Indies,29 runs,Basseterre,2017-06-03,T20I # 612
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,2017-06-05,T20I # 613
England,South Africa,England,9 wickets,Southampton,2017-06-21,T20I # 614
England,South Africa,South Africa,3 runs,Taunton,2017-06-23,T20I # 615
England,South Africa,England,19 runs,Cardiff,2017-06-25,T20I # 616
West Indies,India,West Indies,9 wickets,Kingston,2017-07-09,T20I # 617
Sri Lanka,India,India,7 wickets,Colombo (RPS),2017-09-06,T20I # 618
Pakistan,World-XI,Pakistan,20 runs,Lahore,2017-09-12,T20I # 619
Pakistan,World-XI,World-XI,7 wickets,Lahore,2017-09-13,T20I # 620
Pakistan,World-XI,Pakistan,33 runs,Lahore,2017-09-15,T20I # 621
England,West Indies,West Indies,21 runs,Chester-le-Street,2017-09-16,T20I # 622
India,Australia,India,9 wickets,Ranchi,2017-10-07,T20I # 623
India,Australia,Australia,8 wickets,Guwahati,2017-10-10,T20I # 624
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,2017-10-26,T20I # 625
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,2017-10-26,T20I # 626
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,2017-10-27,T20I # 627
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,2017-10-29,T20I # 628
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,2017-10-29,T20I # 629
India,New Zealand,India,53 runs,Delhi,2017-11-01,T20I # 630
India,New Zealand,New Zealand,40 runs,Rajkot,2017-11-04,T20I # 631
India,New Zealand,India,6 runs,Thiruvananthapuram,2017-11-07,T20I # 632
India,Sri Lanka,India,93 runs,Cuttack,2017-12-20,T20I # 633
India,Sri Lanka,India,88 runs,Indore,2017-12-22,T20I # 634
India,Sri Lanka,India,5 wickets,Wankhede,2017-12-24,T20I # 635
New Zealand,West Indies,New Zealand,47 runs,Nelson,2017-12-29,T20I # 636
New Zealand,West Indies,no result,,Mount Maunganui,2018-01-01,T20I # 637
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,2018-01-03,T20I # 638
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,2018-01-22,T20I # 639
New Zealand,Pakistan,Pakistan,48 runs,Auckland,2018-01-25,T20I # 640
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,2018-01-28,T20I # 641
Australia,New Zealand,Australia,7 wickets,Sydney,2018-02-03,T20I # 642
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,2018-02-05,T20I # 643
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,2018-02-06,T20I # 644
Australia,England,Australia,5 wickets,Hobart,2018-02-07,T20I # 645
Australia,England,Australia,7 wickets,Melbourne,2018-02-10,T20I # 646
New Zealand,England,New Zealand,12 runs,Wellington,2018-02-13,T20I # 647
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,2018-02-15,T20I # 648
New Zealand,Australia,Australia,5 wickets,Auckland,2018-02-16,T20I # 649
New Zealand,England,England,2 runs,Hamilton,2018-02-18,T20I # 650
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,2018-02-18,T20I # 651
South Africa,India,India,28 runs,Johannesburg,2018-02-18,T20I # 652
New Zealand,Australia,Australia,19 runs,Auckland,2018-02-21,T20I # 653
South Africa,India,South Africa,6 wickets,Centurion,2018-02-21,T20I # 654
South Africa,India,India,7 runs,Cape Town,2018-02-24,T20I # 655
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),2018-03-06,T20I # 656
Bangladesh,India,India,6 wickets,Colombo (RPS),2018-03-08,T20I # 657
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),2018-03-10,T20I # 658
Sri Lanka,India,India,6 wickets,Colombo (RPS),2018-03-12,T20I # 659
Bangladesh,India,India,17 runs,Colombo (RPS),2018-03-14,T20I # 660
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),2018-03-16,T20I # 661
Bangladesh,India,India,4 wickets,Colombo (RPS),2018-03-18,T20I # 662
Pakistan,West Indies,Pakistan,143 runs,Karachi,2018-04-01,T20I # 663
Pakistan,West Indies,Pakistan,82 runs,Karachi,2018-04-02,T20I # 664
Pakistan,West Indies,Pakistan,8 wickets,Karachi,2018-04-03,T20I # 665
ICC World XI,West Indies,West Indies,72 runs,Lord's,2018-05-31,T20I # 666
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,2018-06-03,T20I # 667
