web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603231421-7450","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2125","https://stats.espncricinfo.com/ci/engine/match/730279.html","IS Sodhi","0","10","16","0","0","0.00"
"1603230427-1726","https://stats.espncricinfo.com/ci/content/records/307847.html","2020","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2020;type=year","Test # 2387","https://stats.espncricinfo.com/ci/engine/match/1187686.html","","null","null","null","null","null","null"
"1603230497-2026","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2374","https://stats.espncricinfo.com/ci/engine/match/1183532.html","TD Paine (c) †","39","105","181","2","0","37.14"
"1603230556-2515","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2351","https://stats.espncricinfo.com/ci/engine/match/1168120.html","A Balbirnie","4","7","-","1","0","57.14"
"1603230724-3656","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2299","https://stats.espncricinfo.com/ci/engine/match/1115780.html","DJ Malan","2","6","9","0","0","33.33"
"1603230424-1698","https://stats.espncricinfo.com/ci/content/records/307847.html","2020","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2020;type=year","Test # 2388","https://stats.espncricinfo.com/ci/engine/match/1225247.html","JL Denly","18","58","102","4","0","31.03"
"1603231173-6099","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2187","https://stats.espncricinfo.com/ci/engine/match/892511.html","","null","null","null","null","null","null"
"1603230851-4335","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2268","https://stats.espncricinfo.com/ci/engine/match/1031443.html","JE Root (c)","52","101","135","6","0","51.48"
"1603231199-6231","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2181","https://stats.espncricinfo.com/ci/engine/match/915773.html","","null","null","null","null","null","null"
"1603231110-5779","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2202","https://stats.espncricinfo.com/ci/engine/match/914239.html","MJ Guptill","18","22","26","3","0","81.81"
"1603231323-6885","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2151","https://stats.espncricinfo.com/ci/engine/match/749777.html","","null","null","null","null","null","null"
"1603231450-7593","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2118","https://stats.espncricinfo.com/ci/engine/match/667651.html","LRPL Taylor","3","15","23","0","0","20.00"
"1603230568-2633","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2346","https://stats.espncricinfo.com/ci/engine/match/1158064.html","","null","null","null","null","null","null"
"1603231090-5677","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2207","https://stats.espncricinfo.com/ci/engine/match/1022593.html","","null","null","null","null","null","null"
"1603231648-8688","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2069","https://stats.espncricinfo.com/ci/engine/match/567356.html","","null","null","null","null","null","null"
"1603231033-5384","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2221","https://stats.espncricinfo.com/ci/engine/match/1030213.html","AM Rahane","18","36","49","2","0","50.00"
"1603231033-5389","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2221","https://stats.espncricinfo.com/ci/engine/match/1030213.html","","null","null","null","null","null","null"
"1603230683-3415","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2310","https://stats.espncricinfo.com/ci/engine/match/1146717.html","Kamrul Islam Rabbi","0","3","-","0","0","0.00"
"1603231166-6065","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2189","https://stats.espncricinfo.com/ci/engine/match/903607.html","","null","null","null","null","null","null"
"1603230548-2450","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2354","https://stats.espncricinfo.com/ci/engine/match/1192873.html","HM Nicholls","42","78","108","2","0","53.84"
"1603231057-5505","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2215","https://stats.espncricinfo.com/ci/engine/match/1022597.html","","null","null","null","null","null","null"
"1603231399-7315","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2131","https://stats.espncricinfo.com/ci/engine/match/730091.html","","null","null","null","null","null","null"
"1603231330-6936","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2149","https://stats.espncricinfo.com/ci/engine/match/754739.html","VR Aaron","4","11","14","0","0","36.36"
"1603230740-3745","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2295","https://stats.espncricinfo.com/ci/engine/match/1130744.html","","null","null","null","null","null","null"
"1603230515-2163","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2367","https://stats.espncricinfo.com/ci/engine/match/1187671.html","JL Denly","74","181","251","8","1","40.88"
"1603231273-6637","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2163","https://stats.espncricinfo.com/ci/engine/match/743941.html","","null","null","null","null","null","null"
"1603231692-8901","https://stats.espncricinfo.com/ci/content/records/307847.html","2012","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2012;type=year","Test # 2059","https://stats.espncricinfo.com/ci/engine/match/582192.html","KS Williamson","0","2","3","0","0","0.00"
"1603231623-8545","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2076","https://stats.espncricinfo.com/ci/engine/match/598813.html","MJ Clarke (c)","91","186","268","9","1","48.92"
"1603230563-2594","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2348","https://stats.espncricinfo.com/ci/engine/match/1144165.html","KA Maharaj","0","5","11","0","0","0.00"
"1603230959-4946","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2241","https://stats.espncricinfo.com/ci/engine/match/1034817.html","BA Stokes","6","32","40","0","0","18.75"
"1603231365-7112","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2140","https://stats.espncricinfo.com/ci/engine/match/727927.html","","null","null","null","null","null","null"
"1603231190-6196","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2183","https://stats.espncricinfo.com/ci/engine/match/902637.html","Imran Khan","0","1","13","0","0","0.00"
"1603230914-4709","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2252","https://stats.espncricinfo.com/ci/engine/match/1083444.html","MDK Perera","51","77","100","7","1","66.23"
