team,points,date
Bolton,3,2006-08-19
Tottenham,0,2006-08-19
Arsenal,1,2006-08-19
Aston Villa,1,2006-08-19
Everton,3,2006-08-19
Watford,0,2006-08-19
Newcastle,3,2006-08-19
Wigan,0,2006-08-19
Portsmouth,3,2006-08-19
Blackburn,0,2006-08-19
Reading,3,2006-08-19
Middlesbrough,0,2006-08-19
West Ham,3,2006-08-19
Charlton,0,2006-08-19
Sheff Utd,1,2006-08-19
Liverpool,1,2006-08-19
Chelsea,3,2006-08-20
Man City,0,2006-08-20
Man Utd,3,2006-08-20
Fulham,0,2006-08-20
Tottenham,3,2006-08-22
Sheff Utd,0,2006-08-22
Watford,1,2006-08-22
West Ham,1,2006-08-22
Charlton,0,2006-08-23
Man Utd,3,2006-08-23
Fulham,1,2006-08-23
Bolton,1,2006-08-23
Middlesbrough,3,2006-08-23
Chelsea,0,2006-08-23
Aston Villa,3,2006-08-23
Reading,0,2006-08-23
Blackburn,1,2006-08-23
Everton,1,2006-08-23
Man City,1,2006-08-23
Portsmouth,1,2006-08-23
Man City,3,2006-08-26
Arsenal,0,2006-08-26
Charlton,3,2006-08-26
Bolton,0,2006-08-26
Fulham,3,2006-08-26
Sheff Utd,0,2006-08-26
Tottenham,0,2006-08-26
Everton,3,2006-08-26
Watford,0,2006-08-26
Man Utd,3,2006-08-26
Wigan,3,2006-08-26
Reading,0,2006-08-26
Liverpool,3,2006-08-26
West Ham,0,2006-08-26
Blackburn,0,2006-08-27
Chelsea,3,2006-08-27
Aston Villa,3,2006-08-27
Newcastle,0,2006-08-27
Middlesbrough,0,2006-08-28
Portsmouth,3,2006-08-28
Man Utd,3,2006-09-09
Tottenham,0,2006-09-09
Arsenal,1,2006-09-09
Middlesbrough,1,2006-09-09
Bolton,3,2006-09-09
Watford,0,2006-09-09
Chelsea,3,2006-09-09
Charlton,0,2006-09-09
Newcastle,0,2006-09-09
Fulham,3,2006-09-09
Portsmouth,3,2006-09-09
Wigan,0,2006-09-09
Sheff Utd,1,2006-09-09
Blackburn,1,2006-09-09
Everton,3,2006-09-09
Liverpool,0,2006-09-09
West Ham,1,2006-09-10
Aston Villa,1,2006-09-10
Reading,3,2006-09-11
Man City,0,2006-09-11
Watford,1,2006-09-16
Aston Villa,1,2006-09-16
Bolton,1,2006-09-16
Middlesbrough,1,2006-09-16
Everton,1,2006-09-16
Wigan,1,2006-09-16
Sheff Utd,0,2006-09-16
Reading,3,2006-09-16
Charlton,0,2006-09-16
Portsmouth,3,2006-09-16
Man Utd,0,2006-09-17
Arsenal,3,2006-09-17
